t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.012,0.500000,0.500000,0.675000,0.575000,0.468889,0.353783,0.968889,0.056000,0.984707,-0.174217
0.039,0.751067,0.693680,0.674825,0.574925,0.447456,0.362355,0.968889,0.056000,-0.976191,0.216911
0.054,0.762877,0.702791,0.674650,0.574850,0.438432,0.365965,0.968889,0.056000,-0.976191,0.216911
0.071,0.767845,0.706623,0.674476,0.574775,0.429407,0.369574,0.968889,0.056000,-0.976191,0.216911
0.087,0.772808,0.710452,0.674301,0.574700,0.419819,0.373409,0.968889,0.056000,-0.976191,0.216911
0.103,0.778076,0.714515,0.674127,0.574626,0.410795,0.377018,0.968889,0.056000,-0.976191,0.216911
0.120,0.783028,0.718336,0.673953,0.574551,0.401770,0.380628,0.968889,0.056000,-0.976191,0.216911
0.136,0.787976,0.722153,0.673779,0.574477,0.392182,0.384463,0.968889,0.056000,-0.976191,0.216911
0.153,0.793228,0.726205,0.673605,0.574402,0.383158,0.388072,0.968889,0.056000,-0.976191,0.216911
0.169,0.798167,0.730014,0.673431,0.574328,0.374133,0.391682,0.968889,0.056000,-0.976191,0.216911
0.185,0.803100,0.733820,0.673258,0.574253,0.364545,0.395517,0.968889,0.056000,-0.976191,0.216911
0.203,0.808336,0.737859,0.673085,0.574179,0.354957,0.399352,0.968889,0.056000,-0.976191,0.216911
0.219,0.813567,0.741894,0.672912,0.574105,0.345932,0.402961,0.968889,0.056000,-0.976191,0.216911
0.235,0.818485,0.745689,0.672739,0.574031,0.336344,0.406796,0.968889,0.056000,-0.976191,0.216911
0.252,0.823706,0.749716,0.672566,0.573957,0.326755,0.410631,0.968889,0.056000,-0.976191,0.216911
0.270,0.828921,0.753739,0.672393,0.573883,0.336908,0.406570,0.968889,0.056000,0.976191,-0.216911
0.287,0.834438,0.757995,0.672221,0.573809,0.327319,0.410405,0.968889,0.056000,-0.976191,0.216911
0.305,0.839643,0.762010,0.672049,0.573735,0.336908,0.406570,0.968889,0.056000,0.976191,-0.216911
0.320,0.844842,0.766021,0.671877,0.573661,0.327883,0.410180,0.968889,0.056000,-0.976191,0.216911
0.337,0.849731,0.769793,0.671705,0.573588,0.337472,0.406345,0.968889,0.056000,0.976191,-0.216911
0.354,0.854921,0.773796,0.671533,0.573514,0.327883,0.410180,0.968889,0.056000,-0.976191,0.216911
0.370,0.860105,0.777795,0.671362,0.573441,0.336908,0.406570,0.968889,0.056000,0.976191,-0.216911
0.386,0.864979,0.781555,0.671190,0.573367,0.327883,0.410180,0.968889,0.056000,-0.976191,0.216911
0.403,0.869848,0.785312,0.671019,0.573294,0.337472,0.406345,0.968889,0.056000,0.976191,-0.216911
0.420,0.875017,0.789299,0.670848,0.573221,0.327883,0.410180,0.968889,0.056000,-0.976191,0.216911
0.436,0.880180,0.793282,0.670677,0.573147,0.336908,0.406570,0.968889,0.056000,0.976191,-0.216911
0.453,0.885035,0.797027,0.670506,0.573074,0.327319,0.410405,0.968889,0.056000,-0.976191,0.216911
0.470,0.890188,0.801002,0.670336,0.573001,0.336908,0.406570,0.968889,0.056000,0.976191,-0.216911
0.487,0.895336,0.804974,0.670166,0.572928,0.327319,0.410405,0.968889,0.057025,-0.976191,0.216911
0.503,0.900479,0.808941,0.669995,0.572855,0.336344,0.406796,0.968889,0.057328,0.976191,-0.216911
0.520,0.905314,0.812671,0.669825,0.572782,0.326755,0.410631,0.968889,0.059679,-0.976191,0.216911
0.537,0.910447,0.816630,0.669656,0.572710,0.336344,0.406796,0.968889,0.061164,0.976191,-0.216911
0.554,0.915574,0.820586,0.669486,0.572637,0.326755,0.410631,0.968889,0.064703,-0.976191,0.216911
0.571,0.920696,0.824537,0.669316,0.572564,0.335780,0.407022,0.968889,0.067237,0.976191,-0.216911
0.587,0.925513,0.828253,0.669147,0.572492,0.326191,0.410857,0.968889,0.071883,-0.976191,0.216911
0.605,0.930625,0.832196,0.668978,0.572419,0.335780,0.407022,0.968889,0.075586,0.976191,-0.216911
0.622,0.935731,0.836136,0.668809,0.572347,0.325627,0.411082,0.968889,0.081587,-0.976191,0.216911
0.640,0.941133,0.840303,0.668640,0.572274,0.334652,0.407473,0.968889,0.086145,0.976191,-0.216911
0.655,0.945930,0.844003,0.668472,0.572202,0.325063,0.411308,0.968889,0.092732,-0.976191,0.216911
0.672,0.951022,0.847931,0.668303,0.572130,0.331109,0.397373,0.968889,0.098812,0.615466,-0.788164
0.690,0.956108,0.851855,0.668135,0.572058,0.334446,0.380745,0.968889,0.104709,0.339775,-0.940507
0.706,0.961190,0.855775,0.667967,0.571986,0.337688,0.365161,0.968889,0.110136,0.350676,-0.936497
