t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.009,0.500000,0.500000,0.675000,0.575000,0.149204,0.440937,0.968889,0.472754,0.954285,-0.298899
0.037,0.559111,0.545600,0.674825,0.574925,0.169053,0.429747,0.968889,0.462723,0.954285,-0.298899
0.054,0.570300,0.554231,0.674650,0.574850,0.178426,0.424462,0.968889,0.456899,0.954285,-0.298899
0.071,0.575578,0.558303,0.674476,0.574775,0.187799,0.419178,0.968889,0.450084,0.954285,-0.298899
0.087,0.580851,0.562371,0.674301,0.574700,0.196621,0.414204,0.968889,0.442500,0.954285,-0.298899
0.104,0.585809,0.566196,0.674127,0.574626,0.205994,0.408919,0.968889,0.433052,0.954285,-0.298899
0.120,0.591072,0.570255,0.673953,0.574551,0.214816,0.403946,0.968889,0.422985,0.954285,-0.298899
0.136,0.596020,0.574072,0.673779,0.574477,0.223638,0.398972,0.968889,0.411884,0.954285,-0.298899
0.152,0.600963,0.577886,0.673605,0.574402,0.233011,0.393687,0.968889,0.399144,0.954285,-0.298899
0.170,0.606209,0.581933,0.673431,0.574328,0.242384,0.388403,0.968889,0.385823,0.954285,-0.298899
0.186,0.611451,0.585976,0.673258,0.574253,0.251206,0.383429,0.968889,0.372818,0.954285,-0.298899
0.202,0.616379,0.589778,0.673085,0.574179,0.260579,0.378145,0.968889,0.358746,0.954285,-0.298899
0.219,0.621610,0.593814,0.672912,0.574105,0.269401,0.373171,0.968889,0.345298,0.954285,-0.298899
0.236,0.626529,0.597608,0.672739,0.574031,0.278774,0.367886,0.968889,0.330824,0.954285,-0.298899
0.253,0.631749,0.601635,0.672566,0.573957,0.288148,0.362602,0.968889,0.316211,0.954285,-0.298899
0.269,0.636964,0.605658,0.672393,0.573883,0.296969,0.357628,0.968889,0.302343,0.954285,-0.298899
0.285,0.641868,0.609441,0.672221,0.573809,0.305791,0.352655,0.968889,0.288368,0.954285,-0.298899
0.301,0.646767,0.613220,0.672049,0.573735,0.315164,0.347370,0.968889,0.273458,0.954285,-0.298899
0.318,0.651966,0.617231,0.671877,0.573661,0.324538,0.342085,0.968889,0.258574,0.954285,-0.298899
0.336,0.657161,0.621238,0.671705,0.573588,0.333911,0.336801,0.968889,0.243783,0.954285,-0.298899
0.352,0.662350,0.625242,0.671533,0.573514,0.342733,0.331827,0.968889,0.230157,0.954285,-0.298899
0.369,0.667229,0.629005,0.671362,0.573441,0.352106,0.326543,0.968889,0.216015,0.954285,-0.298899
0.386,0.672408,0.633001,0.671190,0.573367,0.361479,0.321258,0.968889,0.202219,0.954285,-0.298899
0.402,0.677582,0.636992,0.671019,0.573294,0.370301,0.316284,0.968889,0.189547,0.954285,-0.298899
0.418,0.682447,0.640745,0.670848,0.573221,0.379123,0.311311,0.968889,0.177178,0.954285,-0.298899
0.435,0.687306,0.644493,0.670677,0.573147,0.388496,0.306026,0.968889,0.164364,0.954285,-0.298899
0.451,0.692464,0.648473,0.670506,0.573074,0.397318,0.301053,0.968889,0.152606,0.954285,-0.298899
0.467,0.697314,0.652214,0.670336,0.573001,0.406140,0.296079,0.968889,0.141134,0.954285,-0.298899
0.483,0.702160,0.655952,0.670166,0.572928,0.414961,0.291105,0.968889,0.129942,0.954285,-0.298899
0.500,0.707000,0.659686,0.669995,0.572855,0.424886,0.285510,0.968889,0.117678,0.954285,-0.298899
0.517,0.712440,0.663882,0.669825,0.572782,0.433708,0.280536,0.968889,0.107056,0.954285,-0.298899
0.534,0.717270,0.667608,0.669656,0.572710,0.424335,0.285821,0.968889,0.095769,-0.954285,0.298899
0.550,0.722398,0.671564,0.669486,0.572637,0.433156,0.280847,0.968889,0.085419,0.954285,-0.298899
0.567,0.727219,0.675283,0.669316,0.572564,0.423783,0.286131,0.968889,0.074430,-0.954285,0.298899
0.584,0.732336,0.679230,0.669147,0.572492,0.433156,0.280847,0.968889,0.063739,0.954285,-0.298899
0.600,0.737448,0.683174,0.668978,0.572419,0.423783,0.286131,0.968889,0.056000,-0.954285,0.298899
0.617,0.742555,0.687114,0.668809,0.572347,0.432605,0.281158,0.968889,0.056000,0.954285,-0.298899
0.634,0.747356,0.690818,0.668640,0.572274,0.423232,0.286442,0.968889,0.056000,-0.954285,0.298899
