t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.005,0.500000,0.500000,0.675000,0.575000,0.053573,0.497378,0.964400,0.501593,0.987511,-0.157552
0.020,0.504978,0.503840,0.674825,0.574925,0.063294,0.494840,0.968889,0.503014,0.989644,-0.143545
0.036,0.510261,0.507916,0.674650,0.574850,0.072456,0.492630,0.968889,0.504150,0.991137,-0.132843
0.052,0.515229,0.511748,0.674476,0.574775,0.081632,0.490595,0.968889,0.505059,0.992497,-0.122265
0.068,0.520192,0.515577,0.674301,0.574700,0.090822,0.488802,0.968889,0.505657,0.994177,-0.107756
0.085,0.525150,0.519401,0.674127,0.574626,0.100589,0.486934,0.968889,0.505948,0.994401,-0.105673
0.101,0.530412,0.523461,0.673953,0.574551,0.109785,0.485226,0.968889,0.505933,0.994717,-0.102652
0.117,0.535360,0.527278,0.673779,0.574477,0.118987,0.483624,0.968889,0.505596,0.995357,-0.096249
0.134,0.540303,0.531091,0.673605,0.574402,0.128187,0.482009,0.968889,0.504936,0.995278,-0.097064
0.149,0.545242,0.534901,0.673431,0.574328,0.137962,0.480278,0.968889,0.503862,0.995194,-0.097924
0.167,0.550483,0.538944,0.673258,0.574253,0.147735,0.478497,0.968889,0.502415,0.994916,-0.100709
0.184,0.555719,0.542983,0.673085,0.574179,0.157504,0.476662,0.968889,0.500592,0.994599,-0.103790
0.200,0.560950,0.547019,0.672912,0.574105,0.166696,0.474898,0.968889,0.498505,0.994360,-0.106055
0.217,0.565869,0.550813,0.672739,0.574031,0.176461,0.472990,0.968889,0.495687,0.994161,-0.107906
0.234,0.571089,0.554840,0.672566,0.573957,0.186224,0.471058,0.968889,0.492248,0.994015,-0.109245
0.251,0.576305,0.558864,0.672393,0.573883,0.195413,0.469229,0.968889,0.488374,0.993935,-0.109968
0.267,0.581208,0.562646,0.672221,0.573809,0.205175,0.467271,0.968889,0.483548,0.993849,-0.110743
0.285,0.586413,0.566661,0.672049,0.573735,0.214927,0.465165,0.968889,0.477806,0.992882,-0.119101
0.300,0.591613,0.570673,0.671877,0.573661,0.224103,0.463150,0.968889,0.471436,0.992645,-0.121065
0.317,0.596502,0.574444,0.671705,0.573588,0.233849,0.460952,0.968889,0.463611,0.992236,-0.124367
0.334,0.601691,0.578447,0.671533,0.573514,0.243017,0.458819,0.968889,0.455319,0.991752,-0.128169
0.350,0.606570,0.582211,0.671362,0.573441,0.252755,0.456501,0.968889,0.445527,0.991371,-0.131090
0.368,0.611749,0.586206,0.671190,0.573367,0.262490,0.454154,0.968889,0.434810,0.991147,-0.132773
0.384,0.616923,0.590198,0.671019,0.573294,0.272220,0.451736,0.968889,0.423345,0.990607,-0.136736
0.400,0.622091,0.594185,0.670848,0.573221,0.281393,0.449674,0.968889,0.411966,0.992294,-0.123909
0.416,0.626951,0.597934,0.670677,0.573147,0.290576,0.447759,0.968889,0.400161,0.993354,-0.115102
0.433,0.631806,0.601679,0.670506,0.573074,0.300380,0.446671,0.968889,0.387243,0.998104,-0.061546
0.449,0.636959,0.605654,0.670336,0.573001,0.309623,0.446387,0.968889,0.374840,0.999854,-0.017064
0.466,0.641804,0.609392,0.670166,0.572928,0.319416,0.447762,0.968889,0.361600,0.996972,0.077766
