t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.009,0.500000,0.500000,0.675000,0.575000,0.070360,0.496235,0.968889,0.502765,0.996758,-0.080456
0.033,0.514000,0.510800,0.674825,0.574925,0.088213,0.493641,0.968889,0.504020,0.996758,-0.080456
0.049,0.523635,0.518233,0.674650,0.574850,0.098004,0.492218,0.968889,0.504447,0.996758,-0.080456
0.065,0.528913,0.522304,0.674476,0.574775,0.107794,0.490796,0.968889,0.504544,0.996758,-0.080456
0.082,0.534186,0.526372,0.674301,0.574700,0.117008,0.489457,0.968889,0.504326,0.996758,-0.080456
0.098,0.539144,0.530197,0.674127,0.574626,0.126223,0.488118,0.968889,0.503793,0.996758,-0.080456
0.114,0.544097,0.534018,0.673953,0.574551,0.135437,0.486780,0.968889,0.502942,0.996758,-0.080456
0.130,0.549045,0.537835,0.673779,0.574477,0.144652,0.485441,0.968889,0.501771,0.996758,-0.080456
0.146,0.553988,0.541648,0.673605,0.574402,0.153866,0.484102,0.968889,0.500277,0.996758,-0.080456
0.163,0.558926,0.545457,0.673431,0.574328,0.163657,0.482679,0.968889,0.498313,0.996758,-0.080456
0.179,0.564168,0.549501,0.673258,0.574253,0.173447,0.481257,0.968889,0.495821,0.996758,-0.080456
0.196,0.569404,0.553540,0.673085,0.574179,0.183237,0.479835,0.968889,0.492800,0.996758,-0.080456
0.213,0.574635,0.557575,0.672912,0.574105,0.192452,0.478496,0.968889,0.489484,0.996758,-0.080456
0.229,0.579553,0.561370,0.672739,0.574031,0.201666,0.477157,0.968889,0.485632,0.996758,-0.080456
0.246,0.584467,0.565160,0.672566,0.573957,0.210881,0.475818,0.968889,0.481200,0.996758,-0.080456
0.262,0.589375,0.568947,0.672393,0.573883,0.220671,0.474396,0.968889,0.475571,0.996758,-0.080456
0.278,0.594585,0.572966,0.672221,0.573809,0.229886,0.473057,0.968889,0.469373,0.996758,-0.080456
0.294,0.599484,0.576745,0.672049,0.573735,0.239676,0.471635,0.968889,0.461806,0.996758,-0.080456
0.312,0.604684,0.580756,0.671877,0.573661,0.249467,0.470212,0.968889,0.453278,0.996758,-0.080456
0.328,0.609878,0.584763,0.671705,0.573588,0.259257,0.468790,0.968889,0.443891,0.996758,-0.080456
