t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.012,0.500000,0.500000,0.675000,0.575000,0.086292,0.484425,0.960000,0.534183,0.934266,-0.356578,1.778197
0.031,0.516800,0.510080,0.674825,0.574925,0.101561,0.476266,0.960000,0.549521,0.934266,-0.356578,1.822750
0.047,0.525591,0.515355,0.674650,0.574850,0.113359,0.469962,0.960000,0.559244,0.934266,-0.356578,1.856530
0.064,0.532378,0.519427,0.674476,0.574775,0.125157,0.463658,0.960000,0.566768,0.934266,-0.356578,1.882816
0.082,0.539157,0.523494,0.674301,0.574700,0.137650,0.456982,0.960000,0.573349,0.934266,-0.356578,1.901728
0.099,0.546328,0.527797,0.674127,0.574626,0.149446,0.450668,0.960000,0.579476,0.934047,-0.357151,1.914601
0.117,0.553095,0.531857,0.673953,0.574551,0.161246,0.444370,0.960000,0.585520,0.934407,-0.356207,1.924000
0.134,0.559854,0.535912,0.673779,0.574477,0.173057,0.438113,0.960000,0.591468,0.935285,-0.353895,1.931238
0.150,0.566606,0.539964,0.673605,0.574402,0.184887,0.431927,0.960000,0.597300,0.936792,-0.349887,1.937044
0.168,0.573352,0.544011,0.673431,0.574328,0.196747,0.425852,0.960000,0.602989,0.939110,-0.343615,1.941861
0.185,0.580091,0.548055,0.673258,0.574253,0.208639,0.419902,0.960000,0.608475,0.941671,-0.336534,1.945988
0.202,0.586824,0.552094,0.673085,0.574179,0.220544,0.414002,0.960000,0.613343,0.942674,-0.333715,1.949790
0.217,0.593549,0.556129,0.672912,0.574105,0.231758,0.408489,0.960000,0.617111,0.943513,-0.331336,1.953342
0.235,0.599873,0.559924,0.672739,0.574031,0.243687,0.402686,0.960000,0.619964,0.944598,-0.328231,1.956617
0.252,0.606585,0.563951,0.672566,0.573957,0.255613,0.396871,0.960000,0.623015,0.944365,-0.328900,1.959430
0.269,0.613290,0.567974,0.672393,0.573883,0.267544,0.391079,0.960000,0.626603,0.944811,-0.327617,1.961809
0.285,0.619989,0.571993,0.672221,0.573809,0.279479,0.385297,0.960000,0.631016,0.945025,-0.326998,1.963731
0.302,0.626681,0.576009,0.672049,0.573735,0.290733,0.379947,0.960000,0.635686,0.946898,-0.321535,1.965300
0.318,0.632973,0.579784,0.671877,0.573661,0.302025,0.374752,0.960000,0.640691,0.950022,-0.312183,1.966617
0.334,0.639259,0.583555,0.671705,0.573588,0.314066,0.369422,0.960000,0.646263,0.953481,-0.301452,1.967749
0.351,0.645931,0.587558,0.671533,0.573514,0.325429,0.364542,0.960000,0.651700,0.956027,-0.293280,1.968740
0.367,0.652204,0.591322,0.671362,0.573441,0.336842,0.359895,0.960000,0.657271,0.960213,-0.279270,1.969628
0.384,0.658471,0.595083,0.671190,0.573367,0.349038,0.355310,0.960000,0.663294,0.965780,-0.259363,1.970442
0.400,0.665123,0.599074,0.671019,0.573294,0.361313,0.351152,0.960000,0.669599,0.971953,-0.235175,1.971143
0.418,0.671768,0.603061,0.670848,0.573221,0.372948,0.347750,0.960000,0.676026,0.978884,-0.204415,1.971673
0.433,0.678016,0.606810,0.670677,0.573147,0.385375,0.344612,0.960000,0.683318,0.984116,-0.177528,1.972064
0.451,0.684648,0.610789,0.670506,0.573074,0.397846,0.341822,0.960000,0.690971,0.987472,-0.157792,1.972369
0.466,0.691274,0.614764,0.670336,0.573001,0.409618,0.339528,0.960000,0.698293,0.990457,-0.137826,1.972679
0.484,0.697503,0.618502,0.670166,0.572928,0.422162,0.337484,0.960000,0.706204,0.993289,-0.115658,1.972992
0.502,0.704115,0.622469,0.669995,0.572855,0.434722,0.335650,0.960000,0.714212,0.994606,-0.103721,1.973326
0.518,0.710721,0.626433,0.669825,0.572782,0.447299,0.334046,0.960000,0.722248,0.995877,-0.090710,1.973699
0.536,0.717320,0.630392,0.669656,0.572710,0.459886,0.332606,0.960000,0.730109,0.996680,-0.081424,1.974154
0.553,0.723912,0.634347,0.669486,0.572637,0.460000,0.331180,0.960000,0.738212,0.997093,-0.076198,1.974678
0.571,0.730885,0.638531,0.669316,0.572564,0.460000,0.329929,0.960000,0.746082,0.997763,-0.066845,1.975255
0.588,0.737851,0.642711,0.669147,0.572492,0.460000,0.329106,0.960000,0.753287,0.998917,-0.046525,1.975864
0.605,0.744424,0.646654,0.668978,0.572419,0.460000,0.328732,0.960000,0.760273,0.999776,-0.021145,1.976486
0.621,0.750990,0.650594,0.668809,0.572347,0.460000,0.330007,0.960000,0.767000,0.997399,0.072072,1.977106
0.637,0.757549,0.654530,0.668640,0.572274,0.460000,0.332330,0.960000,0.773065,0.990205,0.139623,1.977707
0.654,0.763717,0.658230,0.668472,0.572202,0.460000,0.336015,0.960000,0.778844,0.975173,0.221443,1.978274
0.670,0.769878,0.661927,0.668303,0.572130,0.460000,0.340933,0.960000,0.784647,0.960531,0.278174,1.978790
0.687,0.776418,0.665851,0.668135,0.572058,0.460000,0.347223,0.960000,0.790062,0.934573,0.355771,1.979235
0.705,0.782951,0.669771,0.667967,0.571986,0.460000,0.354725,0.960000,0.795053,0.905506,0.424334,1.979589
0.722,0.789478,0.673687,0.667799,0.571914,0.460000,0.363694,0.960000,0.799737,0.861780,0.507283,1.979851
0.737,0.795998,0.677599,0.667631,0.571842,0.460000,0.372483,0.960000,0.803944,0.849138,0.528172,1.980027
0.754,0.802128,0.681277,0.667463,0.571770,0.460000,0.381578,0.960000,0.807949,0.837397,0.546595,1.980114
0.770,0.808253,0.684952,0.667296,0.571698,0.460000,0.390595,0.960000,0.811811,0.840457,0.541878,1.980118
0.786,0.814371,0.688623,0.667129,0.571626,0.460000,0.400033,0.960000,0.815774,0.845606,0.533808,1.980036
0.803,0.820865,0.692519,0.666961,0.571555,0.460000,0.409206,0.960000,0.819582,0.854843,0.518887,1.979857
0.820,0.827353,0.696412,0.666794,0.571483,0.460000,0.417946,0.960000,0.823244,0.869275,0.494329,1.979577
0.837,0.833834,0.700300,0.666628,0.571412,0.460000,0.425343,0.960000,0.826575,0.895779,0.444499,1.979195
0.853,0.839928,0.703957,0.666461,0.571340,0.460000,0.432101,0.960000,0.830055,0.924054,0.382261,1.978725
0.870,0.846396,0.707838,0.666295,0.571269,0.460000,0.437260,0.960000,0.833517,0.956477,0.291808,1.978164
0.888,0.852858,0.711715,0.666128,0.571198,0.460000,0.441281,0.960000,0.836958,0.973800,0.227407,1.977502
0.905,0.859313,0.715588,0.665962,0.571127,0.460000,0.444793,0.960000,0.840370,0.980073,0.198639,1.976727
0.921,0.865762,0.719457,0.665796,0.571055,0.460000,0.448021,0.960000,0.843761,0.983186,0.182608,1.975827
0.938,0.872204,0.723323,0.665630,0.570984,0.460000,0.451097,0.960000,0.847139,0.984749,0.173984,1.974792
0.955,0.878640,0.727184,0.665465,0.570913,0.460000,0.453908,0.960000,0.850311,0.985626,0.168940,1.973606
0.972,0.884691,0.730815,0.665299,0.570843,0.460000,0.456794,0.960000,0.853670,0.986588,0.163229,1.972261
0.988,0.891114,0.734669,0.665134,0.570772,0.460000,0.459413,0.960000,0.856827,0.987543,0.157349,1.970728
1.004,0.897154,0.738292,0.664969,0.570701,0.460000,0.462100,0.960000,0.860174,0.988381,0.152000,1.968995
1.022,0.903564,0.742138,0.664804,0.570630,0.460000,0.464842,0.960000,0.863711,0.989211,0.146496,1.967022
1.039,0.910344,0.746207,0.664639,0.570560,0.460000,0.467333,0.960000,0.867053,0.990029,0.140864,1.964759
1.056,0.916742,0.750045,0.664474,0.570489,0.460000,0.469733,0.960000,0.870396,0.990745,0.135739,1.962190
1.074,0.923133,0.753880,0.664310,0.570419,0.460000,0.472181,0.960000,0.873930,0.991410,0.130789,1.959277
1.092,0.929893,0.757936,0.664146,0.570348,0.460000,0.474404,0.960000,0.877268,0.992065,0.125729,1.955953
1.107,0.936271,0.761763,0.663981,0.570278,0.460000,0.476420,0.960000,0.880410,0.992637,0.121127,1.952206
1.124,0.942268,0.765361,0.663817,0.570207,0.460000,0.478487,0.960000,0.883747,0.993138,0.116947,1.948032
1.141,0.948634,0.769180,0.663654,0.570137,0.460000,0.480479,0.960000,0.887088,0.993634,0.112653,1.943365
1.159,0.954993,0.772996,0.663490,0.570067,0.460000,0.482510,0.960000,0.890629,0.994095,0.108510,1.938175
1.176,0.961719,0.777032,0.663327,0.569997,0.460000,0.484354,0.960000,0.893983,0.994548,0.104280,1.932400
1.193,0.968066,0.780839,0.663163,0.569927,0.460000,0.486130,0.960000,0.897346,0.994944,0.100435,1.926069
1.210,0.974406,0.784643,0.663000,0.569857,0.460000,0.487840,0.960000,0.900719,0.995311,0.096728,1.919181
1.226,0.980739,0.788444,0.662837,0.569787,0.460000,0.489390,0.960000,0.903904,0.995652,0.093153,1.911747
1.243,0.982857,0.792017,0.337326,0.569718,0.460000,0.490979,0.960000,0.908769,0.995950,0.089910,1.905134
1.260,0.976536,0.795809,0.337488,0.569648,0.460000,0.492350,0.960000,0.913281,0.996600,0.082390,1.899362
1.277,0.970593,0.799375,0.337651,0.569578,0.460000,0.493756,0.960000,0.918032,0.996834,0.079514,1.894352
1.292,0.964284,0.803160,0.337813,0.569509,0.460000,0.494960,0.960000,0.922584,0.997379,0.072360,1.890154
1.310,0.958353,0.806719,0.337976,0.569439,0.460000,0.496120,0.960000,0.927499,0.997845,0.065621,1.886658
1.327,0.952057,0.810497,0.338138,0.569370,0.460000,0.496891,0.960000,0.932216,0.998927,0.046305,1.883835
1.343,0.946138,0.814048,0.338299,0.569300,0.460000,0.497491,0.960000,0.937077,0.999349,0.036072,1.881605
