t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.014,0.500000,0.500000,0.675000,0.575000,0.057227,0.471795,0.968889,0.503338,0.632127,-0.774865
0.036,0.510889,0.508400,0.674825,0.574925,0.068036,0.448750,0.968889,0.503992,0.645099,-0.764099
0.047,0.519902,0.515353,0.674650,0.574850,0.074087,0.436168,0.968889,0.503599,0.654476,-0.756083
0.063,0.524870,0.519185,0.674476,0.574775,0.080230,0.423734,0.968889,0.503325,0.664495,-0.747293
0.079,0.529833,0.523014,0.674301,0.574700,0.086523,0.411545,0.968889,0.503392,0.680779,-0.732489
0.095,0.534791,0.526839,0.674127,0.574626,0.092871,0.399448,0.968889,0.503869,0.686687,-0.726953
0.111,0.539744,0.530659,0.673953,0.574551,0.099278,0.387453,0.968889,0.504856,0.693039,-0.720900
0.128,0.544692,0.534476,0.673779,0.574477,0.106537,0.375542,0.968889,0.506407,0.739044,-0.673657
0.144,0.549944,0.538528,0.673605,0.574402,0.113683,0.364986,0.968889,0.510126,0.773010,-0.634394
0.161,0.554882,0.542337,0.673431,0.574328,0.121827,0.355104,0.968889,0.516315,0.829194,-0.558962
0.177,0.560123,0.546381,0.673258,0.574253,0.130622,0.347229,0.968889,0.522435,0.895338,-0.445386
0.195,0.565359,0.550420,0.673085,0.574179,0.139932,0.341597,0.968889,0.527598,0.947907,-0.318546
0.211,0.570590,0.554455,0.672912,0.574105,0.148933,0.337799,0.968889,0.531421,0.973602,-0.228253
0.227,0.575509,0.558250,0.672739,0.574031,0.158123,0.335996,0.968889,0.533850,0.994115,-0.108333
0.244,0.580422,0.562040,0.672566,0.573957,0.167945,0.335997,0.968889,0.534311,1.000000,0.000044
0.261,0.585638,0.566063,0.672393,0.573883,0.177699,0.338073,0.968889,0.532221,0.993086,0.117393
0.277,0.590848,0.570082,0.672221,0.573809,0.186846,0.340483,0.968889,0.528110,0.989450,0.144872
0.293,0.595746,0.573861,0.672049,0.573735,0.196422,0.344419,0.968889,0.521198,0.974907,0.222611
0.311,0.600946,0.577873,0.671877,0.573661,0.205251,0.349349,0.968889,0.512793,0.955111,0.296248
0.328,0.605835,0.581644,0.671705,0.573588,0.213003,0.360206,0.968889,0.502133,0.789214,0.614119
0.343,0.611024,0.585647,0.671533,0.573514,0.203909,0.353525,0.968889,0.494150,-0.925848,-0.377895
0.361,0.616208,0.589646,0.671362,0.573441,0.210393,0.366805,0.968889,0.484010,0.660135,0.751147
0.377,0.621387,0.593642,0.671190,0.573367,0.204042,0.380292,0.968889,0.474235,-0.646617,0.762814
0.396,0.626561,0.597633,0.671019,0.573294,0.205676,0.362859,0.968889,0.466179,0.166401,-0.986058
0.412,0.631730,0.601620,0.670848,0.573221,0.201091,0.378493,0.968889,0.457677,-0.466882,0.884320
0.428,0.636893,0.605603,0.670677,0.573147,0.194799,0.392069,0.968889,0.449348,-0.640592,0.767881
0.446,0.642051,0.609582,0.670506,0.573074,0.187676,0.404243,0.968889,0.441586,-0.725204,0.688534
0.462,0.647204,0.613558,0.670336,0.573001,0.180974,0.415705,0.968889,0.434868,-0.724928,0.688825
0.479,0.652049,0.617295,0.670166,0.572928,0.173999,0.428152,0.968889,0.428393,-0.710150,0.704051
0.495,0.657192,0.621263,0.669995,0.572855,0.167474,0.439941,0.968889,0.422963,-0.705750,0.708461
0.513,0.662028,0.624993,0.669825,0.572782,0.160542,0.452466,0.968889,0.417948,-0.705767,0.708444
0.528,0.667160,0.628952,0.669656,0.572710,0.153974,0.464175,0.968889,0.414016,-0.710538,0.703658
0.545,0.671986,0.632675,0.669486,0.572637,0.146995,0.476616,0.968889,0.410331,-0.710538,0.703658
0.561,0.677108,0.636626,0.669316,0.572564,0.140426,0.488325,0.968889,0.408330,-0.710538,0.703658
0.577,0.681924,0.640342,0.669147,0.572492,0.133447,0.500766,0.968889,0.407821,-0.710538,0.703658
0.594,0.687036,0.644285,0.668978,0.572419,0.126468,0.513206,0.968889,0.408829,-0.710538,0.703658
0.612,0.692143,0.648225,0.668809,0.572347,0.119489,0.525647,0.968889,0.411324,-0.710538,0.703658
0.628,0.697245,0.652160,0.668640,0.572274,0.112510,0.538088,0.968889,0.415246,-0.710538,0.703658
0.646,0.702342,0.656092,0.668472,0.572202,0.105418,0.550320,0.968889,0.420521,-0.721991,0.691903
0.662,0.707433,0.660020,0.668303,0.572130,0.098744,0.561834,0.968889,0.426649,-0.721991,0.691903
0.678,0.712221,0.663713,0.668135,0.572058,0.091891,0.573002,0.968889,0.434187,-0.741326,0.671145
0.695,0.717003,0.667402,0.667967,0.571986,0.084025,0.583590,0.968889,0.444153,-0.800818,0.598908
0.711,0.722079,0.671318,0.667799,0.571914,0.075419,0.589665,0.968889,0.455754,-0.930974,0.365085
0.727,0.726852,0.675000,0.667631,0.571842,0.080963,0.576351,0.968889,0.466601,0.599780,-0.800165
0.744,0.731620,0.678679,0.667463,0.571770,0.071159,0.575272,0.968889,0.480711,-0.998136,-0.061024
0.760,0.736682,0.682583,0.667296,0.571698,0.080352,0.573505,0.968889,0.492607,0.994351,-0.106139
0.776,0.741440,0.686254,0.667129,0.571626,0.074399,0.560773,0.968889,0.506094,-0.643856,-0.765147
0.793,0.746194,0.689921,0.666961,0.571555,0.083461,0.564063,0.968889,0.518217,0.980258,0.197721
0.808,0.750943,0.693585,0.666794,0.571483,0.076871,0.552394,0.968889,0.532552,-0.712901,-0.701265
0.823,0.755688,0.697245,0.666628,0.571412,0.078635,0.536060,0.968889,0.547903,0.190860,-0.981617
0.842,0.760427,0.700901,0.666461,0.571340,0.078635,0.536060,0.968889,0.564470,0.000000,0.000000
0.857,0.765458,0.704782,0.666295,0.571269,0.076896,0.519717,0.968889,0.580434,-0.188103,-0.982149
0.873,0.770188,0.708431,0.666128,0.571198,0.082172,0.533382,0.968889,0.596324,0.570677,0.821175
0.890,0.774914,0.712076,0.665962,0.571127,0.078679,0.517975,0.968805,0.612324,-0.377850,-0.925867
0.905,0.779634,0.715718,0.665796,0.571055,0.077360,0.500455,0.968069,0.629272,-0.134247,-0.990948
0.922,0.784645,0.719583,0.665630,0.570984,0.077360,0.500455,0.967188,0.645193,0.000000,0.000000
0.938,0.789356,0.723218,0.665465,0.570913,0.074617,0.484565,0.965588,0.660932,-0.296739,-0.954959
0.955,0.794063,0.726848,0.665299,0.570843,0.074617,0.484565,0.963849,0.677641,0.000000,0.000000
0.972,0.799059,0.730702,0.665134,0.570772,0.078025,0.467983,0.962617,0.694496,0.346991,-0.937869
0.988,0.804049,0.734552,0.664969,0.570701,0.070180,0.476784,0.961004,0.710230,-0.848709,0.528860
1.005,0.808742,0.738172,0.664804,0.570630,0.078025,0.467983,0.959748,0.726070,0.848709,-0.528860
1.021,0.813429,0.741788,0.664639,0.570560,0.068781,0.468016,0.958222,0.741832,-0.999998,0.001974
