t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.761,0.796472,0.677883,0.667129,0.571626,0.298571,0.532000,0.960000,0.793376,-1.000000,0.000000,1.981714
0.778,0.802966,0.681780,0.666961,0.571555,0.298571,0.532000,0.960000,0.800747,0.000000,0.000000,1.982095
0.794,0.809072,0.685443,0.666794,0.571483,0.298571,0.532000,0.960000,0.808661,0.000000,0.000000,1.982459
0.812,0.815554,0.689332,0.666628,0.571412,0.298571,0.532000,0.960000,0.816665,0.000000,0.000000,1.982800
0.828,0.822028,0.693217,0.666461,0.571340,0.298571,0.532000,0.960000,0.824756,0.000000,0.000000,1.983111
0.845,0.828497,0.697098,0.666295,0.571269,0.298571,0.532000,0.960000,0.832455,0.000000,0.000000,1.983384
0.862,0.834578,0.700747,0.666128,0.571198,0.297143,0.530000,0.960000,0.840802,-0.707107,-0.707107,1.983617
0.877,0.841033,0.704620,0.665962,0.571127,0.295714,0.530000,0.960000,0.848730,-1.000000,0.000000,1.983791
0.894,0.847103,0.708262,0.665796,0.571055,0.294286,0.528000,0.960000,0.856753,-0.707107,-0.707107,1.983902
0.911,0.853166,0.711900,0.665630,0.570984,0.294286,0.528000,0.960000,0.865297,0.000000,0.000000,1.983926
0.927,0.859602,0.715761,0.665465,0.570913,0.294286,0.528000,0.960000,0.873860,0.000000,0.000000,1.983844
0.944,0.866032,0.719619,0.665299,0.570843,0.294286,0.526000,0.960000,0.881968,0.000000,-1.000000,1.983645
0.960,0.872077,0.723246,0.665134,0.570772,0.292857,0.524000,0.960000,0.890685,-0.707107,-0.707107,1.983335
0.977,0.878494,0.727096,0.664969,0.570701,0.291429,0.522000,0.960000,0.899502,-0.707107,-0.707107,1.982893
0.994,0.884904,0.730942,0.664804,0.570630,0.291429,0.522000,0.960000,0.907820,0.000000,0.000000,1.982285
1.010,0.890931,0.734559,0.664639,0.570560,0.291429,0.520000,0.960000,0.916709,0.000000,-1.000000,1.981521
1.028,0.897328,0.738397,0.664474,0.570489,0.291429,0.520000,0.960000,0.925617,0.000000,0.000000,1.980570
1.045,0.903719,0.742232,0.664310,0.570419,0.291429,0.518000,0.960000,0.934577,0.000000,-1.000000,1.979432
1.061,0.910104,0.746062,0.664146,0.570348,0.291429,0.518000,0.960000,0.943551,0.000000,0.000000,1.978089
1.079,0.916482,0.749889,0.663981,0.570278,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.976527
1.095,0.922854,0.753712,0.663817,0.570207,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.974806
1.112,0.928845,0.757307,0.663654,0.570137,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.972926
1.129,0.935204,0.761122,0.663490,0.570067,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.970857
1.147,0.941931,0.765158,0.663327,0.569997,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.968564
1.163,0.948277,0.768966,0.663163,0.569927,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.966042
1.179,0.954244,0.772546,0.663000,0.569857,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.963290
1.197,0.960578,0.776347,0.662837,0.569787,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.960266
1.214,0.966905,0.780143,0.662674,0.569718,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.956928
1.231,0.973226,0.783936,0.662512,0.569648,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.953254
1.248,0.979541,0.787725,0.662349,0.569578,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.949223
1.265,0.982857,0.791510,0.337813,0.569509,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.944194
1.281,0.976555,0.795291,0.337976,0.569439,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.939904
1.297,0.970630,0.798846,0.338138,0.569370,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.936281
1.315,0.964340,0.802620,0.338299,0.569300,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.933320
1.331,0.958057,0.806390,0.338461,0.569231,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.930979
1.348,0.952149,0.809934,0.338623,0.569162,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.929178
1.364,0.945878,0.813697,0.338784,0.569093,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.927900
1.381,0.939614,0.817455,0.338945,0.569023,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.927086
1.397,0.933724,0.820989,0.339106,0.568954,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.926657
1.413,0.927840,0.824520,0.339267,0.568886,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.926556
1.429,0.921962,0.828047,0.339428,0.568817,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.926727
1.445,0.916089,0.831570,0.339588,0.568748,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.927116
1.462,0.909856,0.835310,0.339749,0.568679,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.927677
1.478,0.903996,0.838827,0.339909,0.568610,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.928348
1.494,0.897775,0.842559,0.340069,0.568542,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.929089
1.511,0.891926,0.846068,0.340229,0.568473,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.929852
1.528,0.886083,0.849574,0.340389,0.568405,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.930605
1.545,0.879881,0.853295,0.340549,0.568336,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.931316
1.562,0.873685,0.857013,0.340708,0.568268,0.291429,0.518000,0.960000,0.944000,0.000000,0.000000,1.931959
1.578,0.867496,0.860727,0.340867,0.568200,0.290000,0.518000,0.960000,0.944000,-1.000000,0.000000,1.932507
1.595,0.861676,0.864218,0.341026,0.568132,0.288571,0.518000,0.960000,0.944000,-1.000000,0.000000,1.932944
