t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.044444,0.500000,0.968764,0.503272,0.000000,0.000000
0.020,0.507467,0.505760,0.674825,0.574925,0.044444,0.500000,0.968889,0.506083,0.000000,0.000000
0.035,0.513372,0.510315,0.674650,0.574850,0.044444,0.500000,0.968889,0.508604,0.000000,0.000000
0.051,0.518340,0.514148,0.674476,0.574775,0.044444,0.500000,0.968889,0.511263,0.000000,0.000000
0.067,0.523303,0.517976,0.674301,0.574700,0.044444,0.500000,0.968889,0.514065,0.000000,0.000000
0.083,0.528260,0.521801,0.674127,0.574626,0.044444,0.500000,0.968889,0.517200,0.000000,0.000000
0.101,0.533523,0.525861,0.673953,0.574551,0.044444,0.500000,0.968889,0.520495,0.000000,0.000000
0.117,0.538780,0.529916,0.673779,0.574477,0.044444,0.500000,0.968889,0.523806,0.000000,0.000000
0.134,0.543723,0.533729,0.673605,0.574402,0.044444,0.500000,0.968889,0.527765,0.000000,0.000000
0.152,0.549279,0.538015,0.673431,0.574328,0.044444,0.500000,0.968889,0.531766,0.000000,0.000000
0.169,0.554520,0.542058,0.673258,0.574253,0.044444,0.500000,0.968889,0.536027,0.000000,0.000000
0.186,0.559756,0.546098,0.673085,0.574179,0.044444,0.500000,0.968889,0.540562,0.000000,0.000000
0.202,0.564987,0.550133,0.672912,0.574105,0.044444,0.500000,0.968889,0.545104,0.000000,0.000000
0.219,0.569906,0.553927,0.672739,0.574031,0.044444,0.500000,0.968889,0.550217,0.000000,0.000000
0.235,0.575126,0.557954,0.672566,0.573957,0.044444,0.500000,0.968889,0.555651,0.000000,0.000000
0.265,0.580342,0.561978,0.672393,0.573883,0.044444,0.500000,0.968889,0.565500,0.000000,0.000000
0.282,0.589229,0.568834,0.672221,0.573809,0.044444,0.500000,0.968889,0.571512,0.000000,0.000000
0.298,0.594128,0.572613,0.672049,0.573735,0.044444,0.500000,0.968889,0.578669,0.000000,0.000000
0.316,0.599634,0.576860,0.671877,0.573661,0.044444,0.500000,0.968889,0.586291,0.000000,0.000000
0.335,0.605134,0.581103,0.671705,0.573588,0.054280,0.493918,0.968889,0.592845,0.945756,-0.324878
0.351,0.610628,0.585342,0.671533,0.573514,0.063475,0.492186,0.968889,0.597886,0.994568,-0.104087
0.368,0.615507,0.589106,0.671362,0.573441,0.072716,0.492614,0.968889,0.602193,0.999669,0.025732
0.384,0.620382,0.592866,0.671190,0.573367,0.081857,0.495100,0.968889,0.605822,0.988780,0.149376
0.401,0.625251,0.596622,0.671019,0.573294,0.091330,0.499772,0.968889,0.609014,0.964455,0.264247
0.417,0.630420,0.600609,0.670848,0.573221,0.100088,0.505100,0.968889,0.611587,0.947359,0.320172
0.435,0.635279,0.604358,0.670677,0.573147,0.109144,0.511945,0.968889,0.613612,0.922007,0.387174
0.449,0.640438,0.608338,0.670506,0.573074,0.117519,0.521182,0.968889,0.615072,0.852658,0.522469
0.469,0.645591,0.612313,0.670336,0.573001,0.124758,0.531531,0.968889,0.616064,0.783060,0.621946
0.484,0.650436,0.616050,0.670166,0.572928,0.130898,0.543971,0.968889,0.616965,0.664179,0.747574
0.499,0.655276,0.619784,0.669995,0.572855,0.136585,0.558385,0.968889,0.617844,0.579045,0.815296
0.517,0.660414,0.623748,0.669825,0.572782,0.141033,0.574149,0.968889,0.618621,0.452837,0.891593
0.533,0.665546,0.627707,0.669656,0.572710,0.142296,0.591682,0.968889,0.619560,0.128636,0.991692
0.551,0.670674,0.631662,0.669486,0.572637,0.140563,0.609084,0.968889,0.620777,-0.176443,0.984311
0.567,0.675796,0.635614,0.669316,0.572564,0.134798,0.623398,0.968889,0.622329,-0.586970,0.809609
0.585,0.680913,0.639561,0.669147,0.572492,0.127248,0.636273,0.968889,0.624528,-0.725959,0.687738
0.601,0.686326,0.643737,0.668978,0.572419,0.119469,0.645262,0.968889,0.627137,-0.841542,0.540191
0.617,0.691132,0.647445,0.668809,0.572347,0.111175,0.652612,0.968889,0.630596,-0.897138,0.441750
0.634,0.695934,0.651149,0.668640,0.572274,0.102618,0.658910,0.968889,0.635164,-0.925617,0.378461
0.650,0.700731,0.654849,0.668472,0.572202,0.093240,0.664165,0.968889,0.641669,-0.954799,0.297252
