t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.005,0.500000,0.500000,0.675000,0.575000,0.063715,0.483342,0.968889,0.502868,0.901444,-0.432897
0.027,0.511511,0.508880,0.674825,0.574925,0.077174,0.471332,0.968889,0.504251,0.895945,-0.444166
0.044,0.519592,0.515114,0.674650,0.574850,0.085962,0.463435,0.968889,0.504544,0.894694,-0.446680
0.060,0.524870,0.519186,0.674476,0.574775,0.094208,0.455912,0.968889,0.504181,0.891974,-0.452087
0.077,0.529833,0.523014,0.674301,0.574700,0.102955,0.447867,0.968889,0.503026,0.890492,-0.454999
0.094,0.535101,0.527078,0.674127,0.574626,0.111701,0.439823,0.968889,0.501051,0.890492,-0.454999
0.111,0.540363,0.531137,0.673953,0.574551,0.120448,0.431779,0.968889,0.498210,0.890492,-0.454999
0.127,0.545621,0.535193,0.673779,0.574477,0.128680,0.424208,0.968889,0.494724,0.890492,-0.454999
0.143,0.550564,0.539006,0.673605,0.574402,0.136912,0.416636,0.968889,0.490398,0.890492,-0.454999
0.159,0.555502,0.542816,0.673431,0.574328,0.145144,0.409065,0.968889,0.485206,0.890492,-0.454999
0.176,0.560435,0.546621,0.673258,0.574253,0.153891,0.401021,0.968889,0.478901,0.890492,-0.454999
0.192,0.565671,0.550661,0.673085,0.574179,0.162123,0.393450,0.968889,0.472237,0.890492,-0.454999
0.209,0.570594,0.554459,0.672912,0.574105,0.170870,0.385405,0.968889,0.464369,0.890492,-0.454999
0.226,0.575820,0.558490,0.672739,0.574031,0.179616,0.377361,0.968889,0.456113,0.890492,-0.454999
0.243,0.581041,0.562517,0.672566,0.573957,0.188363,0.369316,0.968889,0.447482,0.890492,-0.454999
0.260,0.586256,0.566540,0.672393,0.573883,0.197109,0.361272,0.968889,0.438391,0.890492,-0.454999
0.275,0.591466,0.570560,0.672221,0.573809,0.205341,0.353701,0.968889,0.429213,0.890492,-0.454999
0.293,0.596365,0.574339,0.672049,0.573735,0.214088,0.345656,0.968889,0.418630,0.890492,-0.454999
0.309,0.601565,0.578350,0.671877,0.573661,0.222320,0.338085,0.968889,0.408786,0.890492,-0.454999
0.326,0.606454,0.582121,0.671705,0.573588,0.231067,0.330041,0.968889,0.398545,0.890492,-0.454999
0.342,0.611643,0.586124,0.671533,0.573514,0.231067,0.330041,0.968889,0.388846,0.000000,0.000000
0.359,0.616827,0.590124,0.671362,0.573441,0.231067,0.330041,0.968889,0.379719,0.000000,0.000000
0.376,0.622006,0.594119,0.671190,0.573367,0.231067,0.330041,0.968889,0.371699,0.000000,0.000000
0.392,0.626875,0.597875,0.671019,0.573294,0.231067,0.330041,0.968889,0.363773,0.000000,0.000000
0.409,0.632044,0.601862,0.670848,0.573221,0.231067,0.330041,0.968889,0.356936,0.000000,0.000000
0.425,0.636904,0.605611,0.670677,0.573147,0.231067,0.330041,0.968889,0.350706,0.000000,0.000000
0.442,0.641758,0.609356,0.670506,0.573074,0.231067,0.330041,0.968889,0.344752,0.000000,0.000000
0.458,0.646911,0.613332,0.670336,0.573001,0.231067,0.330041,0.968889,0.339831,0.000000,0.000000
0.474,0.651757,0.617069,0.670166,0.572928,0.222974,0.340061,0.968889,0.335501,-0.823872,0.566776
0.491,0.656899,0.621037,0.669995,0.572855,0.214782,0.349815,0.968889,0.332324,-0.834041,0.551702
0.509,0.662037,0.625000,0.669825,0.572782,0.206199,0.358411,0.968889,0.330803,-0.873862,0.486173
0.526,0.667169,0.628959,0.669656,0.572710,0.197414,0.366319,0.968889,0.331212,-0.894390,0.447287
0.542,0.672297,0.632915,0.669486,0.572637,0.188423,0.373435,0.968889,0.333280,-0.915421,0.402498
0.559,0.677419,0.636866,0.669316,0.572564,0.179819,0.379525,0.968889,0.336759,-0.930637,0.365944
0.575,0.682235,0.640581,0.669147,0.572492,0.170595,0.385600,0.968889,0.342392,-0.939096,0.343656
0.593,0.687347,0.644525,0.668978,0.572419,0.161190,0.390693,0.968889,0.350447,-0.957623,0.288026
0.609,0.692454,0.648465,0.668809,0.572347,0.151778,0.395752,0.968889,0.360803,-0.958188,0.286138
0.628,0.697556,0.652400,0.668640,0.572274,0.142295,0.400361,0.968889,0.373237,-0.965418,0.260706
0.643,0.702653,0.656332,0.668472,0.572202,0.133318,0.404334,0.968889,0.386442,-0.971071,0.238790
