t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.003,0.500000,0.500000,0.675000,0.575000,0.052225,0.491015,0.964396,0.501670,0.841694,-0.539955
0.016,0.504978,0.503840,0.674825,0.574925,0.058968,0.479632,0.968889,0.503220,0.729381,-0.684108
0.032,0.509951,0.507676,0.674650,0.574850,0.061028,0.463410,0.968889,0.504516,0.222776,-0.974870
0.050,0.514918,0.511508,0.674476,0.574775,0.051852,0.461388,0.968889,0.506344,-0.992588,-0.121527
0.065,0.519881,0.515337,0.674301,0.574700,0.042281,0.465362,0.968889,0.509269,-0.974408,0.224788
0.082,0.525149,0.519401,0.674127,0.574626,0.032808,0.470036,0.968889,0.513613,-0.964423,0.264362
0.099,0.530412,0.523460,0.673953,0.574551,0.031111,0.475520,0.968889,0.518473,-0.950670,0.310203
0.116,0.535669,0.527516,0.673779,0.574477,0.031111,0.475520,0.968889,0.523289,0.000000,0.000000
0.132,0.540612,0.531329,0.673605,0.574402,0.031111,0.475520,0.968889,0.528660,0.000000,0.000000
0.149,0.545859,0.535377,0.673431,0.574328,0.031111,0.475520,0.968889,0.534311,0.000000,0.000000
0.167,0.551100,0.539420,0.673258,0.574253,0.031111,0.475520,0.968889,0.540258,0.000000,0.000000
0.183,0.556336,0.543459,0.673085,0.574179,0.031111,0.475520,0.968889,0.546515,0.000000,0.000000
0.200,0.561567,0.547495,0.672912,0.574105,0.031111,0.475520,0.968889,0.552709,0.000000,0.000000
0.217,0.566486,0.551289,0.672739,0.574031,0.031111,0.475520,0.968889,0.560016,0.000000,0.000000
0.234,0.572013,0.555553,0.672566,0.573957,0.031111,0.475520,0.968889,0.566915,0.000000,0.000000
0.250,0.576922,0.559340,0.672393,0.573883,0.031111,0.475520,0.968889,0.574198,0.000000,0.000000
0.266,0.581825,0.563122,0.672221,0.573809,0.031111,0.475520,0.968889,0.582359,0.000000,0.000000
0.283,0.587030,0.567138,0.672049,0.573735,0.031111,0.475520,0.968889,0.590982,0.000000,0.000000
0.299,0.592230,0.571149,0.671877,0.573661,0.031111,0.475520,0.968889,0.599548,0.000000,0.000000
0.317,0.597119,0.574920,0.671705,0.573588,0.031111,0.475520,0.968889,0.609674,0.000000,0.000000
0.334,0.602614,0.579159,0.671533,0.573514,0.031111,0.475520,0.968889,0.619769,0.000000,0.000000
0.352,0.607798,0.583158,0.671362,0.573441,0.031111,0.475520,0.968889,0.630376,0.000000,0.000000
0.367,0.612977,0.587153,0.671190,0.573367,0.031111,0.475520,0.968889,0.640847,0.000000,0.000000
0.383,0.617846,0.590910,0.671019,0.573294,0.031111,0.475520,0.968889,0.651782,0.000000,0.000000
0.400,0.622710,0.594662,0.670848,0.573221,0.031111,0.475520,0.968889,0.663894,0.000000,0.000000
0.417,0.627874,0.598646,0.670677,0.573147,0.031111,0.487693,0.968889,0.676458,-0.725242,0.688494
0.434,0.633032,0.602625,0.670506,0.573074,0.040930,0.488145,0.968889,0.687542,0.999672,0.025600
0.450,0.638185,0.606600,0.670336,0.573001,0.048636,0.478953,0.968889,0.697398,0.833556,-0.552434
0.467,0.643030,0.610338,0.670166,0.572928,0.056805,0.471164,0.968889,0.706887,0.883701,-0.468052
0.487,0.647871,0.614072,0.669995,0.572855,0.064978,0.461359,0.968889,0.718239,0.832102,-0.554622
0.502,0.653008,0.618035,0.669825,0.572782,0.073843,0.453745,0.968889,0.730615,0.902524,-0.430640
0.518,0.658141,0.621994,0.669656,0.572710,0.065054,0.458902,0.968889,0.743757,-0.950758,0.309933
0.533,0.662966,0.625717,0.669486,0.572637,0.074392,0.453423,0.968889,0.758008,0.950758,-0.309933
