t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.008,0.500000,0.500000,0.675000,0.575000,0.069135,0.489579,0.946585,0.518269,0.849640,-0.527363,1.596668
0.023,0.507600,0.504560,0.674825,0.574925,0.079925,0.480393,0.950310,0.534449,0.854419,-0.519585,1.613177
0.038,0.514393,0.508636,0.674650,0.574850,0.090156,0.471924,0.954194,0.549497,0.860777,-0.508982,1.629072
0.054,0.520780,0.512468,0.674476,0.574775,0.100448,0.463601,0.958484,0.564327,0.865950,-0.500131,1.644760
0.070,0.527161,0.516297,0.674301,0.574700,0.110811,0.455452,0.960000,0.578916,0.871869,-0.489739,1.660082
0.087,0.533536,0.520121,0.674127,0.574626,0.121947,0.447114,0.960000,0.594133,0.881810,-0.471605,1.675086
0.104,0.540302,0.524181,0.673953,0.574551,0.132517,0.439504,0.960000,0.608179,0.889286,-0.457351,1.689681
0.120,0.546663,0.527998,0.673779,0.574477,0.143863,0.431742,0.960000,0.622731,0.898475,-0.439024,1.704134
0.137,0.553416,0.532050,0.673605,0.574402,0.155433,0.424656,0.960000,0.636860,0.916173,-0.400783,1.718450
0.153,0.560162,0.536097,0.673431,0.574328,0.166473,0.418489,0.960000,0.649747,0.928785,-0.370618,1.732401
0.170,0.566504,0.539903,0.673258,0.574253,0.178324,0.412380,0.960000,0.662914,0.938418,-0.345502,1.746038
0.186,0.573237,0.543942,0.673085,0.574179,0.189605,0.407143,0.960000,0.674824,0.949179,-0.314737,1.759172
0.203,0.579567,0.547740,0.672912,0.574105,0.201771,0.402402,0.960000,0.686882,0.963376,-0.268155,1.771827
0.220,0.586285,0.551771,0.672739,0.574031,0.214145,0.398866,0.960000,0.698328,0.979787,-0.200042,1.783928
0.236,0.592998,0.555799,0.672566,0.573957,0.226689,0.396822,0.960000,0.709159,0.993299,-0.115570,1.795401
0.253,0.599703,0.559822,0.672393,0.573883,0.238525,0.398343,0.960000,0.718838,0.995818,0.091363,1.806148
0.271,0.606008,0.563605,0.672221,0.573809,0.238610,0.416022,0.960000,0.729285,0.006796,0.999977,1.815668
0.286,0.612700,0.567620,0.672049,0.573735,0.226818,0.413943,0.960000,0.739836,-0.992161,-0.124967,1.823704
0.303,0.618992,0.571395,0.671877,0.573661,0.216293,0.421674,0.960000,0.751051,-0.885518,0.464606,1.830474
0.318,0.625278,0.575167,0.671705,0.573588,0.207137,0.432285,0.960000,0.762822,-0.770287,0.637697,1.836228
0.334,0.631557,0.578934,0.671533,0.573514,0.216487,0.422011,0.960000,0.774264,0.786638,-0.617415,1.841970
0.351,0.637830,0.582698,0.671362,0.573441,0.205484,0.430688,0.960000,0.787131,-0.871306,0.490741,1.846791
0.367,0.644489,0.586693,0.671190,0.573367,0.216794,0.425574,0.960000,0.798783,0.951615,-0.307292,1.851806
0.384,0.650750,0.590450,0.671019,0.573294,0.204777,0.431007,0.960000,0.811952,-0.951615,0.307292,1.855992
0.402,0.657395,0.594437,0.670848,0.573221,0.216794,0.425574,0.960000,0.824598,0.951615,-0.307292,1.860428
0.417,0.664034,0.598420,0.670677,0.573147,0.205484,0.430688,0.960000,0.837214,-0.951615,0.307292,1.864194
0.433,0.670275,0.602165,0.670506,0.573074,0.216593,0.424771,0.960000,0.849386,0.934660,-0.355543,1.868161
0.449,0.676511,0.605907,0.670336,0.573001,0.216593,0.424771,0.960000,0.861681,0.000000,0.000000,1.871921
0.466,0.682741,0.609644,0.670166,0.572928,0.216593,0.424771,0.960000,0.874877,0.000000,0.000000,1.875496
0.482,0.689353,0.613612,0.669995,0.572855,0.226870,0.416412,0.960000,0.886829,0.864659,-0.502359,1.879167
0.499,0.695570,0.617342,0.669825,0.572782,0.217286,0.426254,0.960000,0.899346,-0.806332,0.591463,1.882481
0.514,0.701780,0.621068,0.669656,0.572710,0.228189,0.419628,0.960000,0.911282,0.917297,-0.398204,1.885883
0.531,0.707985,0.624791,0.669486,0.572637,0.220346,0.433485,0.960000,0.924402,-0.621052,0.783769,1.889040
0.548,0.714571,0.628742,0.669316,0.572564,0.228189,0.419628,0.960000,0.937111,0.621052,-0.783769,1.892171
0.564,0.721150,0.632690,0.669147,0.572492,0.223644,0.435003,0.960000,0.944000,-0.382363,0.924012,1.895134
0.581,0.727336,0.636401,0.668978,0.572419,0.223644,0.435003,0.960000,0.944000,0.000000,0.000000,1.897959
0.597,0.733902,0.640341,0.668809,0.572347,0.218827,0.450215,0.960000,0.944000,-0.405303,0.914182,1.900609
0.614,0.740075,0.644045,0.668640,0.572274,0.218827,0.450215,0.960000,0.944000,0.000000,0.000000,1.903129
0.630,0.746628,0.647977,0.668472,0.572202,0.209586,0.462266,0.960000,0.944000,-0.731750,0.681573,1.905441
0.648,0.753175,0.651905,0.668303,0.572130,0.206550,0.479427,0.960000,0.944000,-0.240425,0.970668,1.907634
0.665,0.759714,0.655829,0.668135,0.572058,0.193946,0.480530,0.960000,0.944000,-0.998053,0.062365,1.909525
0.682,0.766248,0.659749,0.667967,0.571986,0.191939,0.497985,0.960000,0.944000,-0.158885,0.987297,1.911307
0.698,0.772774,0.663665,0.667799,0.571914,0.180054,0.498038,0.960000,0.944000,-0.999995,0.003171,1.912673
0.714,0.778911,0.667347,0.667631,0.571842,0.179964,0.514677,0.960000,0.944000,-0.007534,0.999972,1.914001
0.732,0.785041,0.671025,0.667463,0.571770,0.167627,0.521896,0.960000,0.944000,-0.922653,0.385632,1.914772
0.749,0.791931,0.675159,0.667296,0.571698,0.180249,0.522448,0.960000,0.944000,0.999514,0.031174,1.916046
0.765,0.798432,0.679059,0.667129,0.571626,0.169106,0.528237,0.960000,0.944000,-0.937512,0.347954,1.916845
0.783,0.804544,0.682726,0.666961,0.571555,0.160876,0.542991,0.960000,0.944000,-0.615533,0.788111,1.917242
0.799,0.811413,0.686848,0.666794,0.571483,0.151107,0.552471,0.960000,0.944000,-0.821851,0.569703,1.917062
0.816,0.817513,0.690508,0.666628,0.571412,0.152131,0.570093,0.960000,0.944000,0.081033,0.996711,1.917065
0.834,0.823988,0.694393,0.666461,0.571340,0.141236,0.561153,0.959303,0.944000,-0.862747,-0.505635,1.916252
0.849,0.830456,0.698274,0.666295,0.571269,0.144985,0.576944,0.959208,0.944000,0.315424,0.948951,1.915901
