t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.003,0.500000,0.500000,0.675000,0.575000,0.054134,0.497109,0.961981,0.512459,0.986536,-0.163543
0.018,0.505289,0.504080,0.674825,0.574925,0.063923,0.495654,0.968889,0.523004,0.996609,-0.082284
0.035,0.510572,0.508156,0.674650,0.574850,0.073168,0.495770,0.968889,0.531326,0.999975,0.007005
0.051,0.515540,0.511988,0.674476,0.574775,0.082393,0.496826,0.968889,0.538199,0.997986,0.063428
0.067,0.520503,0.515817,0.674301,0.574700,0.092155,0.498784,0.968889,0.544340,0.993848,0.110753
0.084,0.525771,0.519880,0.674127,0.574626,0.101871,0.501376,0.968889,0.549388,0.989197,0.146594
0.100,0.531033,0.523940,0.673953,0.574551,0.110930,0.504693,0.968889,0.553438,0.979921,0.199387
0.117,0.535981,0.527757,0.673779,0.574477,0.119774,0.509538,0.968889,0.557030,0.956685,0.291124
0.134,0.540924,0.531570,0.673605,0.574402,0.129450,0.516399,0.968889,0.560596,0.930410,0.366521
0.151,0.546480,0.535856,0.673431,0.574328,0.138357,0.523854,0.968889,0.563756,0.906760,0.421648
0.168,0.551721,0.539899,0.673258,0.574253,0.147282,0.531234,0.968889,0.566747,0.908716,0.417414
0.185,0.556958,0.543939,0.673085,0.574179,0.156224,0.538549,0.968889,0.569810,0.910371,0.413793
0.202,0.562189,0.547974,0.672912,0.574105,0.165166,0.545865,0.968889,0.572940,0.910371,0.413793
0.218,0.567414,0.552005,0.672739,0.574031,0.173582,0.552751,0.968889,0.576013,0.910371,0.413793
0.235,0.572328,0.555796,0.672566,0.573957,0.182524,0.560067,0.968889,0.579335,0.910371,0.413793
0.252,0.577543,0.559819,0.672393,0.573883,0.191466,0.567383,0.968889,0.582755,0.910371,0.413793
0.272,0.582753,0.563838,0.672221,0.573809,0.201460,0.575559,0.968889,0.586626,0.910371,0.413793
0.288,0.588570,0.568326,0.672049,0.573735,0.210401,0.582875,0.968889,0.590353,0.910371,0.413793
0.305,0.593770,0.572337,0.671877,0.573661,0.218817,0.589760,0.968889,0.593822,0.910371,0.413793
0.321,0.598659,0.576108,0.671705,0.573588,0.227759,0.597076,0.968889,0.596933,0.910371,0.413793
0.337,0.603848,0.580112,0.671533,0.573514,0.236175,0.603962,0.968889,0.598950,0.910371,0.413793
0.354,0.608728,0.583876,0.671362,0.573441,0.245117,0.611278,0.968889,0.600129,0.910371,0.413793
0.371,0.613906,0.587871,0.671190,0.573367,0.254059,0.618594,0.968889,0.600472,0.910371,0.413793
0.388,0.619080,0.591862,0.671019,0.573294,0.254059,0.618594,0.968889,0.601197,0.000000,0.000000
0.405,0.624249,0.595849,0.670848,0.573221,0.254059,0.618594,0.968889,0.602287,0.000000,0.000000
0.421,0.629412,0.599832,0.670677,0.573147,0.254059,0.618594,0.968889,0.603637,0.000000,0.000000
0.437,0.634267,0.603577,0.670506,0.573074,0.254059,0.618594,0.968889,0.605277,0.000000,0.000000
0.454,0.639117,0.607319,0.670336,0.573001,0.254059,0.618594,0.968889,0.607314,0.000000,0.000000
0.470,0.644265,0.611290,0.670166,0.572928,0.254059,0.618594,0.968889,0.609510,0.000000,0.000000
0.486,0.649105,0.615024,0.669995,0.572855,0.244833,0.617534,0.968889,0.613293,-0.997972,-0.063655
0.503,0.653941,0.618754,0.669825,0.572782,0.235262,0.621505,0.968889,0.619509,-0.974461,0.224557
0.520,0.659073,0.622714,0.669656,0.572710,0.225561,0.618731,0.968889,0.627071,-0.987617,-0.156886
0.537,0.664200,0.626669,0.669486,0.572637,0.216516,0.622169,0.968889,0.635738,-0.978421,0.206624
0.552,0.669021,0.630388,0.669316,0.572564,0.207385,0.619572,0.968889,0.645047,-0.987749,-0.156049
0.570,0.673837,0.634103,0.669147,0.572492,0.197566,0.620009,0.968889,0.656095,-0.999694,0.024723
0.586,0.678949,0.638047,0.668978,0.572419,0.187233,0.617888,0.968889,0.668790,-0.993559,-0.113318
0.603,0.684357,0.642218,0.668809,0.572347,0.177989,0.618057,0.968889,0.681161,-0.999948,0.010153
0.619,0.689158,0.645922,0.668640,0.572274,0.168745,0.617966,0.968889,0.694507,-0.999985,-0.005498
0.635,0.693955,0.649623,0.668472,0.572202,0.159500,0.617995,0.968889,0.708709,-0.999998,0.001743
0.652,0.698747,0.653319,0.668303,0.572130,0.150319,0.619933,0.968889,0.723718,-0.993194,0.116476
0.668,0.703535,0.657012,0.668135,0.572058,0.140496,0.619997,0.968889,0.740209,-0.999993,0.003621
0.684,0.708616,0.660932,0.667967,0.571986,0.131361,0.617450,0.968889,0.755927,-0.988220,-0.153041
