t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.044444,0.500000,0.964912,0.502318,0.000000,0.000000
0.019,0.505289,0.504080,0.674825,0.574925,0.044444,0.500000,0.968889,0.504630,0.000000,0.000000
0.035,0.510262,0.507916,0.674650,0.574850,0.044444,0.500000,0.968889,0.507224,0.000000,0.000000
0.052,0.515540,0.511988,0.674476,0.574775,0.053177,0.491906,0.968889,0.509404,0.889045,-0.457820
0.069,0.520813,0.516056,0.674301,0.574700,0.061895,0.483760,0.968889,0.511340,0.887548,-0.460716
0.086,0.526081,0.520119,0.674127,0.574626,0.070580,0.475505,0.968889,0.512824,0.884307,-0.466906
0.102,0.531343,0.524179,0.673953,0.574551,0.078714,0.467597,0.968889,0.513588,0.879832,-0.475285
0.118,0.536291,0.527996,0.673779,0.574477,0.087316,0.459062,0.968889,0.513618,0.875776,-0.482718
0.136,0.541543,0.532048,0.673605,0.574402,0.095867,0.450363,0.968889,0.512792,0.870572,-0.492040
0.153,0.546790,0.536095,0.673431,0.574328,0.104402,0.441612,0.968889,0.511033,0.868920,-0.494952
0.170,0.552031,0.540139,0.673258,0.574253,0.112966,0.432957,0.968889,0.508327,0.871966,-0.489566
0.186,0.557268,0.544178,0.673085,0.574179,0.121075,0.424966,0.968889,0.504914,0.877152,-0.480213
0.202,0.562191,0.547976,0.672912,0.574105,0.129230,0.417128,0.968889,0.500595,0.882133,-0.471001
0.218,0.567109,0.551770,0.672739,0.574031,0.137446,0.409500,0.968889,0.495354,0.888713,-0.458464
0.235,0.572023,0.555560,0.672566,0.573957,0.146267,0.401723,0.968889,0.489011,0.898080,-0.439833
0.253,0.577238,0.559584,0.672393,0.573883,0.155745,0.394019,0.968889,0.481339,0.911393,-0.411537
0.269,0.582755,0.563839,0.672221,0.573809,0.164243,0.387470,0.968889,0.474314,0.919283,-0.393597
0.286,0.587653,0.567618,0.672049,0.573735,0.173308,0.380662,0.968889,0.467079,0.922886,-0.385072
0.303,0.592853,0.571630,0.671877,0.573661,0.182393,0.373941,0.968889,0.459821,0.924922,-0.380156
0.319,0.598048,0.575637,0.671705,0.573588,0.190937,0.367587,0.968889,0.452505,0.924225,-0.381848
0.335,0.602932,0.579404,0.671533,0.573514,0.199990,0.360727,0.968889,0.443987,0.921669,-0.387977
0.353,0.608116,0.583404,0.671362,0.573441,0.209008,0.353723,0.968889,0.434461,0.918181,-0.396161
0.370,0.613295,0.587399,0.671190,0.573367,0.217971,0.346488,0.968889,0.424767,0.912434,-0.409224
0.386,0.618468,0.591390,0.671019,0.573294,0.226922,0.339211,0.968889,0.415155,0.911372,-0.411584
0.403,0.623637,0.595377,0.670848,0.573221,0.235985,0.332394,0.968889,0.405532,0.922666,-0.385601
0.421,0.628800,0.599360,0.670677,0.573147,0.245390,0.327295,0.968889,0.395600,0.957507,-0.288411
0.438,0.633959,0.603340,0.670506,0.573074,0.237814,0.338548,0.968889,0.385855,-0.771274,0.636503
0.455,0.639112,0.607315,0.670336,0.573001,0.231943,0.352721,0.968889,0.375623,-0.597786,0.801656
0.472,0.644260,0.611286,0.670166,0.572928,0.228186,0.369057,0.968889,0.364373,-0.382468,0.923969
0.489,0.649402,0.615253,0.669995,0.572855,0.223652,0.384741,0.968889,0.352830,-0.461581,0.887098
0.506,0.654540,0.619217,0.669825,0.572782,0.223152,0.402398,0.968889,0.341591,-0.050894,0.998704
0.523,0.659673,0.623176,0.669656,0.572710,0.219013,0.418431,0.968889,0.331197,-0.421455,0.906849
0.540,0.664800,0.627131,0.669486,0.572637,0.228808,0.417115,0.968889,0.319780,0.997226,-0.074435
0.556,0.669922,0.631083,0.669316,0.572564,0.223192,0.430333,0.968889,0.309957,-0.607470,0.794342
0.572,0.674738,0.634798,0.669147,0.572492,0.224509,0.446803,0.968889,0.299984,0.142448,0.989802
0.589,0.679550,0.638510,0.668978,0.572419,0.225579,0.464378,0.968889,0.289339,0.108927,0.994050
0.605,0.684657,0.642449,0.668809,0.572347,0.227879,0.480495,0.968889,0.279915,0.248882,0.968534
0.621,0.689458,0.646154,0.668640,0.572274,0.225579,0.464378,0.968889,0.269891,-0.248882,-0.968534
0.638,0.694255,0.649854,0.668472,0.572202,0.227294,0.482842,0.968889,0.258791,0.164981,0.986297
0.656,0.699646,0.654013,0.668303,0.572130,0.228408,0.500408,0.968889,0.249342,0.113347,0.993555
0.673,0.704733,0.657937,0.668135,0.572058,0.228841,0.518070,0.968889,0.241015,0.044165,0.999024
0.689,0.709814,0.661857,0.667967,0.571986,0.228941,0.534710,0.968889,0.234184,0.010757,0.999942
0.706,0.714592,0.665542,0.667799,0.571914,0.228602,0.517040,0.968889,0.225091,-0.034558,-0.999403
0.722,0.719663,0.669454,0.667631,0.571842,0.228810,0.533676,0.968889,0.217576,0.022525,0.999746
0.739,0.724431,0.673133,0.667463,0.571770,0.228978,0.551353,0.968889,0.210762,0.017115,0.999854
0.756,0.729492,0.677037,0.667296,0.571698,0.228764,0.533677,0.968889,0.202072,-0.021768,-0.999763
0.773,0.734548,0.680937,0.667129,0.571626,0.228943,0.551355,0.968889,0.194599,0.018236,0.999834
0.790,0.739599,0.684834,0.666961,0.571555,0.228764,0.533677,0.968889,0.185112,-0.018236,-0.999834
0.806,0.744645,0.688726,0.666794,0.571483,0.228933,0.550315,0.968889,0.177303,0.018236,0.999834
0.823,0.749390,0.692386,0.666628,0.571412,0.228753,0.532638,0.968889,0.166870,-0.018236,-0.999834
0.840,0.754426,0.696271,0.666461,0.571340,0.228933,0.550315,0.968889,0.157765,0.018236,0.999834
0.856,0.759456,0.700152,0.666295,0.571269,0.228764,0.533677,0.968889,0.147822,-0.018236,-0.999834
0.873,0.764187,0.703801,0.666128,0.571198,0.228943,0.551355,0.968889,0.137915,0.018236,0.999834
0.889,0.769207,0.707674,0.665962,0.571127,0.228775,0.534717,0.968889,0.128202,-0.018236,-0.999834
0.906,0.773928,0.711316,0.665796,0.571055,0.228954,0.552394,0.968889,0.117639,0.018236,0.999834
0.922,0.778939,0.715181,0.665630,0.570984,0.228785,0.535757,0.968889,0.108218,-0.018236,-0.999834
0.939,0.783650,0.718816,0.665465,0.570913,0.228964,0.553434,0.968889,0.097729,0.018236,0.999834
0.955,0.788651,0.722673,0.665299,0.570843,0.228796,0.536797,0.968889,0.088693,-0.018236,-0.999834
0.971,0.793353,0.726301,0.665134,0.570772,0.228964,0.553434,0.968889,0.079103,0.018236,0.999834
0.988,0.798050,0.729924,0.664969,0.570701,0.228785,0.535757,0.968889,0.070494,-0.018236,-0.999834
1.005,0.803035,0.733770,0.664804,0.570630,0.228964,0.553434,0.968889,0.060712,0.018236,0.999834
1.021,0.808016,0.737612,0.664639,0.570560,0.228785,0.535757,0.968889,0.056000,-0.018236,-0.999834
1.038,0.812992,0.741451,0.664474,0.570489,0.228954,0.552394,0.968889,0.056000,0.018236,0.999834
1.054,0.817670,0.745060,0.664310,0.570419,0.228775,0.534717,0.968889,0.056000,-0.018236,-0.999834
1.072,0.822636,0.748891,0.664146,0.570348,0.228954,0.552394,0.968889,0.056000,0.018236,0.999834
1.088,0.827597,0.752718,0.663981,0.570278,0.228785,0.535757,0.968889,0.056000,-0.018236,-0.999834
1.104,0.832261,0.756316,0.663817,0.570207,0.228954,0.552394,0.968889,0.056000,0.018236,0.999834
1.121,0.836921,0.759911,0.663654,0.570137,0.228775,0.534717,0.968889,0.058172,-0.018236,-0.999834
1.137,0.841867,0.763726,0.663490,0.570067,0.228943,0.551355,0.968889,0.057445,0.018236,0.999834
1.153,0.846517,0.767313,0.663327,0.569997,0.228764,0.533677,0.968889,0.064314,-0.018236,-0.999834
1.170,0.851453,0.771121,0.663163,0.569927,0.228933,0.550315,0.968889,0.068410,0.018236,0.999834
1.186,0.856095,0.774702,0.663000,0.569857,0.228764,0.533677,0.968889,0.078616,-0.018236,-0.999834
1.203,0.860731,0.778278,0.662837,0.569787,0.228943,0.551355,0.968889,0.087519,0.018236,0.999834
1.220,0.865652,0.782075,0.662674,0.569718,0.228764,0.533677,0.968889,0.101281,-0.018236,-0.999834
1.236,0.870569,0.785867,0.662512,0.569648,0.228933,0.550315,0.968889,0.113656,0.018236,0.999834
1.252,0.875191,0.789433,0.662349,0.569578,0.228753,0.532638,0.968889,0.129340,-0.018236,-0.999834
1.270,0.880098,0.793218,0.662187,0.569509,0.228964,0.550314,0.968889,0.144883,0.021445,0.999770
1.286,0.884999,0.797000,0.662024,0.569439,0.228766,0.533677,0.968889,0.160504,-0.021445,-0.999770
1.303,0.889608,0.800555,0.661862,0.569370,0.228977,0.551353,0.968889,0.177130,0.021445,0.999770
1.320,0.894500,0.804329,0.661701,0.569300,0.228766,0.533677,0.968889,0.194077,-0.021445,-0.999770
1.336,0.899387,0.808098,0.661539,0.569231,0.228964,0.550314,0.968889,0.210060,0.021445,0.999770
1.353,0.903982,0.811643,0.661377,0.569162,0.228753,0.532638,0.968616,0.227053,-0.021445,-0.999770
1.370,0.908859,0.815405,0.661216,0.569093,0.228964,0.550314,0.967961,0.244012,0.021445,0.999770
1.387,0.913731,0.819164,0.661055,0.569023,0.228753,0.532638,0.966892,0.260903,-0.021445,-0.999770
1.403,0.918599,0.822919,0.660894,0.568954,0.228952,0.549274,0.965565,0.276724,0.021445,0.999770
1.420,0.923175,0.826449,0.660733,0.568886,0.228741,0.531598,0.963898,0.293457,-0.021445,-0.999770
1.436,0.928033,0.830197,0.660572,0.568817,0.228952,0.549274,0.961959,0.310095,0.021445,0.999770
1.454,0.932886,0.833940,0.660412,0.568748,0.228741,0.531598,0.960136,0.326775,-0.021445,-0.999770
1.470,0.937734,0.837680,0.660251,0.568679,0.228939,0.548234,0.957912,0.342266,0.021445,0.999770
