t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.005,0.500000,0.500000,0.675000,0.575000,0.044444,0.500000,0.968630,0.504710,0.000000,0.000000
0.021,0.507467,0.505760,0.674825,0.574925,0.044444,0.500000,0.968889,0.508647,0.000000,0.000000
0.037,0.513372,0.510315,0.674650,0.574850,0.044444,0.500000,0.968889,0.512364,0.000000,0.000000
0.053,0.518650,0.514387,0.674476,0.574775,0.044444,0.500000,0.968889,0.516041,0.000000,0.000000
0.071,0.523613,0.518216,0.674301,0.574700,0.044444,0.500000,0.968889,0.520141,0.000000,0.000000
0.086,0.528881,0.522280,0.674127,0.574626,0.053458,0.492976,0.968889,0.524011,0.917703,-0.397267
0.104,0.534143,0.526339,0.673953,0.574551,0.062627,0.486636,0.968889,0.527683,0.933492,-0.358599
0.121,0.539401,0.530395,0.673779,0.574477,0.071937,0.481001,0.968889,0.531184,0.947837,-0.318756
0.137,0.544653,0.534446,0.673605,0.574402,0.080827,0.476439,0.968889,0.534361,0.961682,-0.274167
0.153,0.549591,0.538256,0.673431,0.574328,0.089841,0.472740,0.968889,0.537435,0.974989,-0.222255
0.169,0.554524,0.542061,0.673258,0.574253,0.099521,0.469750,0.968889,0.540551,0.985598,-0.169103
0.186,0.559760,0.546101,0.673085,0.574179,0.108737,0.468448,0.968889,0.543314,0.996931,-0.078289
0.202,0.564683,0.549899,0.672912,0.574105,0.118560,0.468437,0.968889,0.546157,1.000000,-0.000623
0.221,0.569909,0.553930,0.672739,0.574031,0.128347,0.469931,0.968889,0.549064,0.996421,0.084524
0.236,0.575130,0.557957,0.672566,0.573957,0.137471,0.472606,0.968889,0.551885,0.986995,0.160750
0.253,0.580038,0.561744,0.672393,0.573883,0.147529,0.477367,0.968889,0.555160,0.967122,0.254312
0.270,0.585555,0.565999,0.672221,0.573809,0.156321,0.482507,0.968889,0.558206,0.951089,0.308916
0.287,0.590453,0.569778,0.672049,0.573735,0.165448,0.489043,0.968889,0.561572,0.929165,0.369665
0.304,0.595653,0.573790,0.671877,0.573661,0.174268,0.496821,0.968889,0.565097,0.898031,0.439933
0.321,0.600848,0.577797,0.671705,0.573588,0.182776,0.505658,0.968889,0.568793,0.866128,0.499822
0.337,0.606037,0.581800,0.671533,0.573514,0.190588,0.514553,0.968889,0.572434,0.845119,0.534579
0.353,0.610916,0.585564,0.671362,0.573441,0.198592,0.524802,0.968889,0.576471,0.814818,0.579717
0.371,0.616095,0.589559,0.671190,0.573367,0.206015,0.534721,0.968889,0.580434,0.802955,0.596040
0.387,0.620964,0.593315,0.671019,0.573294,0.213850,0.545382,0.968889,0.584800,0.797704,0.603049
0.403,0.626133,0.597303,0.670848,0.573221,0.221685,0.556044,0.968889,0.589320,0.797704,0.603049
0.420,0.631296,0.601286,0.670677,0.573147,0.229059,0.566079,0.968889,0.593710,0.797704,0.603049
0.436,0.636151,0.605031,0.670506,0.573074,0.236434,0.576114,0.968889,0.598214,0.797704,0.603049
0.452,0.641001,0.608772,0.670336,0.573001,0.244269,0.586776,0.968889,0.603124,0.797704,0.603049
0.469,0.646149,0.612744,0.670166,0.572928,0.252104,0.597438,0.968889,0.608162,0.797704,0.603049
0.487,0.651292,0.616711,0.669995,0.572855,0.260400,0.608727,0.968889,0.613625,0.797704,0.603049
0.505,0.656732,0.620907,0.669825,0.572782,0.268236,0.619389,0.968889,0.618904,0.797704,0.603049
0.520,0.661864,0.624867,0.669656,0.572710,0.275610,0.629423,0.968889,0.623958,0.797704,0.603049
0.536,0.666690,0.628589,0.669486,0.572637,0.282984,0.639458,0.968889,0.629087,0.797704,0.603049
0.553,0.671511,0.632308,0.669316,0.572564,0.290819,0.650120,0.968889,0.634570,0.797704,0.603049
0.570,0.676628,0.636256,0.669147,0.572492,0.298655,0.660782,0.968889,0.640036,0.797704,0.603049
0.587,0.681740,0.640199,0.668978,0.572419,0.306490,0.671444,0.968889,0.645486,0.797704,0.603049
0.605,0.686847,0.644139,0.668809,0.572347,0.314325,0.682106,0.968889,0.650919,0.797704,0.603049
0.621,0.691949,0.648075,0.668640,0.572274,0.322160,0.692768,0.968889,0.656354,0.797704,0.603049
0.638,0.697045,0.652007,0.668472,0.572202,0.329646,0.702532,0.968889,0.661526,0.809707,0.586834
0.655,0.701838,0.655703,0.668303,0.572130,0.337641,0.712802,0.968889,0.667075,0.814016,0.580843
0.671,0.706924,0.659627,0.668135,0.572058,0.345683,0.722954,0.968889,0.672673,0.818702,0.574218
0.688,0.712005,0.663547,0.667967,0.571986,0.353378,0.732176,0.968889,0.677950,0.832392,0.554188
0.705,0.716783,0.667233,0.667799,0.571914,0.362034,0.742550,0.968889,0.683890,0.832392,0.554188
0.723,0.722153,0.671375,0.667631,0.571842,0.370210,0.752348,0.968889,0.689508,0.832392,0.554188
0.739,0.727219,0.675283,0.667463,0.571770,0.377905,0.761570,0.968889,0.694801,0.832392,0.554188
0.755,0.731982,0.678958,0.667296,0.571698,0.385600,0.770791,0.968889,0.700100,0.832392,0.554188
0.771,0.736741,0.682629,0.667129,0.571626,0.393776,0.780590,0.968889,0.705734,0.832392,0.554188
0.788,0.741792,0.686525,0.666961,0.571555,0.402027,0.790183,0.968889,0.711371,0.839989,0.542603
0.806,0.746838,0.690418,0.666794,0.571483,0.410420,0.799365,0.968889,0.717005,0.854553,0.519364
0.823,0.751879,0.694306,0.666628,0.571412,0.419012,0.807934,0.968889,0.722630,0.874712,0.484643
0.839,0.756915,0.698191,0.666461,0.571340,0.427525,0.814421,0.968889,0.727903,0.920878,0.389851
0.857,0.761649,0.701844,0.666295,0.571269,0.437094,0.810433,0.968889,0.733395,0.974228,-0.225567
0.872,0.766675,0.705721,0.666128,0.571198,0.428859,0.802872,0.968889,0.738609,-0.890821,-0.454355
0.889,0.771401,0.709366,0.665962,0.571127,0.438662,0.801777,0.968889,0.744059,0.998080,-0.061940
0.905,0.776416,0.713236,0.665796,0.571055,0.439313,0.785178,0.968889,0.749083,0.070401,-0.997519
0.921,0.781132,0.716874,0.665630,0.570984,0.437867,0.801613,0.968889,0.754254,-0.156450,0.987686
0.937,0.785844,0.720508,0.665465,0.570913,0.441511,0.786321,0.968889,0.759299,0.394218,-0.919017
0.953,0.790550,0.724139,0.665299,0.570843,0.441511,0.786321,0.968889,0.764677,0.000000,0.000000
0.969,0.795546,0.727993,0.665134,0.570772,0.445975,0.771749,0.968889,0.769508,0.482855,-0.875700
0.986,0.800243,0.731616,0.664969,0.570701,0.439753,0.785429,0.968889,0.774893,-0.633484,0.773756
1.005,0.805229,0.735462,0.664804,0.570630,0.446568,0.771289,0.968889,0.780276,0.655297,-0.755371
1.021,0.810503,0.739531,0.664639,0.570560,0.438556,0.781518,0.968889,0.785611,-0.815632,0.578571
1.037,0.815478,0.743369,0.664474,0.570489,0.444475,0.768735,0.968889,0.790373,0.640185,-0.768221
1.054,0.820157,0.746978,0.664310,0.570419,0.448687,0.752764,0.968889,0.795153,0.428908,-0.903348
1.072,0.825122,0.750809,0.664146,0.570348,0.453528,0.737380,0.968889,0.799705,0.492857,-0.870110
1.088,0.830083,0.754636,0.663981,0.570278,0.456936,0.721911,0.968889,0.803890,0.368574,-0.929598
1.105,0.834748,0.758234,0.663817,0.570207,0.460925,0.705755,0.968889,0.808215,0.406130,-0.913815
1.122,0.839699,0.762053,0.663654,0.570137,0.465039,0.689701,0.968889,0.812422,0.418908,-0.908029
1.138,0.844645,0.765869,0.663490,0.570067,0.468889,0.674823,0.968889,0.816282,0.447812,-0.894128
1.154,0.849295,0.769456,0.663327,0.569997,0.468889,0.659037,0.968889,0.820353,0.450329,-0.892863
1.173,0.854231,0.773264,0.663163,0.569927,0.468889,0.642723,0.968889,0.824634,0.490426,-0.871483
1.189,0.859452,0.777292,0.663000,0.569857,0.468889,0.627810,0.968889,0.828657,0.537112,-0.843511
1.205,0.864379,0.781092,0.662837,0.569787,0.468889,0.614104,0.968889,0.832429,0.567101,-0.823648
1.222,0.869010,0.784665,0.662674,0.569718,0.468889,0.600702,0.968889,0.836183,0.592678,-0.805439
1.238,0.873637,0.788235,0.662512,0.569648,0.468889,0.586744,0.968889,0.840150,0.613788,-0.789471
1.256,0.878549,0.792023,0.662349,0.569578,0.468889,0.572195,0.968889,0.844328,0.629285,-0.777175
1.273,0.883744,0.796031,0.662187,0.569509,0.468889,0.559464,0.968889,0.848033,0.643942,-0.765074
1.289,0.888357,0.799590,0.662024,0.569439,0.468889,0.546976,0.968889,0.851724,0.660874,-0.750497
1.305,0.892966,0.803145,0.661862,0.569370,0.468889,0.534731,0.968889,0.855403,0.677116,-0.735876
1.322,0.897570,0.806697,0.661701,0.569300,0.468889,0.522131,0.968889,0.859296,0.701516,-0.712653
1.340,0.902457,0.810467,0.661539,0.569231,0.468889,0.509914,0.968889,0.863179,0.722815,-0.691042
1.355,0.907339,0.814233,0.661377,0.569162,0.468889,0.498132,0.968889,0.867053,0.745625,-0.666366
1.371,0.912216,0.817996,0.661216,0.569093,0.468889,0.487588,0.968889,0.870698,0.773602,-0.633671
1.388,0.916802,0.821533,0.661055,0.569023,0.468889,0.477536,0.968889,0.874341,0.796921,-0.604083
1.405,0.921383,0.825067,0.660894,0.568954,0.468889,0.467199,0.968889,0.878208,0.811266,-0.584678
1.421,0.926246,0.828818,0.660733,0.568886,0.468889,0.457726,0.968889,0.881852,0.822116,-0.569321
1.439,0.930818,0.832345,0.660572,0.568817,0.468889,0.447835,0.968889,0.885722,0.828895,-0.559404
1.456,0.935671,0.836089,0.660412,0.568748,0.468889,0.438142,0.968889,0.889596,0.836306,-0.548263
1.471,0.940519,0.839829,0.660251,0.568679,0.468889,0.429358,0.968889,0.893280,0.849298,-0.527914
1.487,0.941978,0.837506,0.660091,0.568610,0.468889,0.420324,0.968889,0.897134,0.859598,-0.510971
1.505,0.945003,0.837221,0.659931,0.568542,0.468889,0.411816,0.968889,0.900965,0.876619,-0.481184
1.522,0.948249,0.836712,0.659771,0.568473,0.468889,0.403994,0.968889,0.904756,0.896804,-0.442428
1.538,0.951886,0.836510,0.659611,0.568405,0.468889,0.396889,0.968889,0.908494,0.915699,-0.401866
1.555,0.955888,0.836753,0.659451,0.568336,0.468889,0.390691,0.968889,0.911980,0.928038,-0.372485
1.571,0.959893,0.837180,0.659292,0.568268,0.468889,0.384446,0.968889,0.915653,0.935544,-0.353211
1.590,0.964707,0.840894,0.659133,0.568200,0.468889,0.378450,0.968889,0.919371,0.940725,-0.339169
1.605,0.969348,0.841456,0.658974,0.568132,0.468889,0.372589,0.968889,0.923070,0.943453,-0.331507
1.623,0.974153,0.845162,0.658815,0.568063,0.468889,0.366591,0.968889,0.926815,0.940705,-0.339225
1.639,0.978953,0.848865,0.658656,0.567995,0.468889,0.360709,0.968889,0.930385,0.935428,-0.353517
1.655,0.983466,0.852346,0.658497,0.567927,0.468889,0.354199,0.968889,0.934214,0.929752,-0.368188
1.672,0.988256,0.856042,0.341661,0.567859,0.468889,0.347321,0.968889,0.944000,0.921220,-0.389041
1.689,0.983470,0.859733,0.341820,0.567792,0.468889,0.340608,0.968889,0.944000,0.915011,-0.403429
1.706,0.978971,0.863204,0.341978,0.567724,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.721,0.974476,0.866672,0.342136,0.567656,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.739,0.969993,0.866365,0.342294,0.567588,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.755,0.965289,0.865704,0.342451,0.567521,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.772,0.960370,0.865953,0.342609,0.567453,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.788,0.955350,0.867208,0.342766,0.567386,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.807,0.950877,0.870658,0.342924,0.567318,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.822,0.946130,0.874320,0.343081,0.567251,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.838,0.941666,0.877763,0.343238,0.567184,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.856,0.936929,0.881418,0.343394,0.567117,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.872,0.932196,0.885069,0.343551,0.567050,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.889,0.927468,0.888717,0.343707,0.566983,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.907,0.922744,0.892361,0.343864,0.566916,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.924,0.918025,0.896001,0.344020,0.566849,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.942,0.913311,0.899637,0.344176,0.566782,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.957,0.908602,0.903270,0.344332,0.566715,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.974,0.903897,0.906900,0.344487,0.566648,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
1.991,0.899197,0.910525,0.344643,0.566582,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.007,0.894778,0.913934,0.344798,0.566515,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.023,0.890364,0.917340,0.344953,0.566449,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.040,0.885678,0.920955,0.345108,0.566382,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.058,0.880997,0.924566,0.345263,0.566316,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.074,0.876320,0.928173,0.345418,0.566249,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.090,0.871923,0.931565,0.345573,0.566183,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.106,0.867531,0.934954,0.345727,0.566117,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
2.122,0.863142,0.938339,0.345881,0.566051,0.468889,0.340608,0.968889,0.944000,0.000000,0.000000
