t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.015,0.500000,0.500000,0.675000,0.575000,0.460000,0.546991,0.960000,0.479402,0.998245,0.059218
0.032,1.211680,0.205602,0.095123,0.381884,0.444722,0.542575,0.960000,0.458937,-0.979353,-0.202158
0.048,1.192246,0.197664,0.904472,0.382003,0.432247,0.539827,0.960000,0.459513,-0.987841,-0.155470
0.065,1.207962,0.191245,0.095933,0.382121,0.419741,0.537367,0.960000,0.443073,-0.990278,-0.139104
0.082,1.192261,0.184833,0.903663,0.382238,0.407253,0.534742,0.960000,0.444496,-0.988916,-0.148476
0.099,1.207947,0.178426,0.096740,0.382356,0.394768,0.532084,0.960000,0.428211,-0.988634,-0.150346
0.115,1.192277,0.172027,0.902856,0.382474,0.383016,0.529588,0.960000,0.430413,-0.988688,-0.149989
0.131,1.207010,0.166009,0.097546,0.382591,0.371255,0.527189,0.960000,0.415255,-0.989549,-0.144198
0.148,1.192292,0.159998,0.902051,0.382709,0.358756,0.524666,0.960000,0.418820,-0.989762,-0.142730
0.165,1.207914,0.153617,0.098351,0.382826,0.346267,0.522041,0.960000,0.402948,-0.988923,-0.148432
0.183,1.192307,0.147243,0.901247,0.382943,0.333772,0.519480,0.960000,0.408170,-0.989449,-0.144882
0.199,1.207899,0.140875,0.099154,0.383060,0.321271,0.516971,0.960000,0.392592,-0.989879,-0.141914
0.217,1.192323,0.134514,0.900445,0.383177,0.308753,0.514638,0.960000,0.399479,-0.991256,-0.131953
0.234,1.207883,0.128158,0.099955,0.383294,0.296227,0.512381,0.960000,0.384293,-0.991822,-0.127631
0.251,1.192339,0.121810,0.899645,0.383411,0.283698,0.510171,0.960000,0.392488,-0.992154,-0.125021
0.267,1.207868,0.115467,0.100755,0.383527,0.271166,0.507992,0.960000,0.377804,-0.992378,-0.123231
0.283,1.192354,0.109131,0.898846,0.383644,0.259369,0.505957,0.960000,0.386018,-0.992494,-0.122296
0.300,1.206940,0.103174,0.101553,0.383760,0.246835,0.503795,0.960000,0.371945,-0.992494,-0.122296
0.317,1.191458,0.096850,0.898049,0.383876,0.235039,0.501760,0.960000,0.380996,-0.992494,-0.122296
0.332,1.206015,0.090905,0.102349,0.383993,0.223242,0.499725,0.960000,0.368453,-0.992494,-0.122296
0.349,1.191473,0.084965,0.897253,0.384109,0.210709,0.497563,0.960000,0.379733,-0.992494,-0.122296
