t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.028,0.500000,0.500000,0.675000,0.575000,0.095446,0.477278,0.960000,0.529587,0.920752,-0.390149,1.923023
0.038,0.522400,0.513440,0.674825,0.574925,0.108442,0.469568,0.960000,0.540079,0.920752,-0.390149,1.922743
0.055,0.529992,0.517995,0.674650,0.574850,0.120070,0.462671,0.960000,0.549445,0.920752,-0.390149,1.923733
0.072,0.536779,0.522067,0.674476,0.574775,0.131013,0.456178,0.960000,0.558234,0.920752,-0.390149,1.924988
0.089,0.543160,0.525896,0.674301,0.574700,0.142641,0.449281,0.960000,0.567527,0.920752,-0.390149,1.926392
0.105,0.549932,0.529959,0.674127,0.574626,0.153585,0.442789,0.960000,0.576250,0.920752,-0.390149,1.927825
0.122,0.556301,0.533780,0.673953,0.574551,0.165213,0.435891,0.960000,0.585480,0.920752,-0.390149,1.929290
0.138,0.563060,0.537836,0.673779,0.574477,0.176841,0.428993,0.960000,0.594623,0.920752,-0.390149,1.930895
0.156,0.569812,0.541887,0.673605,0.574402,0.188468,0.422095,0.960000,0.603643,0.920752,-0.390149,1.932642
0.172,0.576558,0.545935,0.673431,0.574328,0.199412,0.415603,0.960000,0.612036,0.920752,-0.390149,1.934445
0.189,0.582901,0.549740,0.673258,0.574253,0.211040,0.408705,0.960000,0.620815,0.920752,-0.390149,1.936310
0.206,0.589633,0.553780,0.673085,0.574179,0.222668,0.401807,0.960000,0.629470,0.920752,-0.390149,1.938202
0.222,0.596359,0.557815,0.672912,0.574105,0.233611,0.395315,0.960000,0.637514,0.920752,-0.390149,1.940084
0.239,0.602682,0.561609,0.672739,0.574031,0.221984,0.402213,0.960000,0.646452,-0.920752,0.390149,1.941473
0.255,0.609394,0.565637,0.672566,0.573957,0.232928,0.395721,0.960000,0.654783,0.920752,-0.390149,1.942918
0.272,0.615705,0.569423,0.672393,0.573883,0.221300,0.402619,0.960000,0.663952,-0.920752,0.390149,1.944062
0.289,0.622404,0.573442,0.672221,0.573809,0.232928,0.395721,0.960000,0.673037,0.920752,-0.390149,1.945295
0.306,0.629096,0.577458,0.672049,0.573735,0.221300,0.402619,0.960000,0.682449,-0.920752,0.390149,1.946300
0.322,0.635781,0.581469,0.671877,0.573661,0.232244,0.396127,0.960000,0.691227,0.920752,-0.390149,1.947408
0.339,0.642067,0.585240,0.671705,0.573588,0.220616,0.403025,0.960000,0.700884,-0.920752,0.390149,1.948327
0.355,0.648739,0.589244,0.671533,0.573514,0.231560,0.396532,0.960000,0.709895,0.920752,-0.390149,1.949354
0.371,0.655012,0.593007,0.671362,0.573441,0.219932,0.403430,0.960000,0.719804,-0.920752,0.390149,1.950227
0.389,0.661671,0.597003,0.671190,0.573367,0.231560,0.396532,0.960000,0.729619,0.920752,-0.390149,1.951213
0.405,0.668323,0.600994,0.671019,0.573294,0.219932,0.403430,0.960000,0.739775,-0.920752,0.390149,1.952078
0.423,0.674968,0.604981,0.670848,0.573221,0.231560,0.396532,0.960000,0.749833,0.920752,-0.390149,1.953052
0.439,0.681607,0.608964,0.670677,0.573147,0.219932,0.403430,0.960000,0.760231,-0.920752,0.390149,1.953928
0.457,0.688239,0.612943,0.670506,0.573074,0.231560,0.396532,0.960000,0.770527,0.920752,-0.390149,1.954903
0.474,0.694864,0.616919,0.670336,0.573001,0.219932,0.403430,0.960000,0.781162,-0.920752,0.390149,1.955797
0.490,0.701483,0.620890,0.670166,0.572928,0.231560,0.396532,0.960000,0.791690,0.920752,-0.390149,1.956778
0.507,0.708095,0.624857,0.669995,0.572855,0.219932,0.403430,0.960000,0.802556,-0.920752,0.390149,1.957692
0.523,0.714701,0.628820,0.669825,0.572782,0.230876,0.396938,0.960000,0.812690,0.920752,-0.390149,1.958675
0.540,0.720912,0.632547,0.669656,0.572710,0.219932,0.403430,0.960000,0.823124,-0.920752,0.390149,1.959600
0.556,0.727116,0.636270,0.669486,0.572637,0.230876,0.396938,0.960000,0.833411,0.920752,-0.390149,1.960585
0.573,0.733314,0.639989,0.669316,0.572564,0.218564,0.404242,0.960000,0.845359,-0.920752,0.390149,1.961510
0.590,0.740281,0.644168,0.669147,0.572492,0.230192,0.397344,0.960000,0.856447,0.920752,-0.390149,1.962486
0.607,0.746853,0.648112,0.668978,0.572419,0.218564,0.404242,0.960000,0.867879,-0.920752,0.390149,1.963414
0.625,0.753419,0.652052,0.668809,0.572347,0.230876,0.396938,0.960000,0.879755,0.920752,-0.390149,1.964360
0.643,0.760364,0.656219,0.668640,0.572274,0.219248,0.403836,0.960000,0.891317,-0.920752,0.390149,1.965262
0.659,0.766917,0.660150,0.668472,0.572202,0.230192,0.397344,0.960000,0.902021,0.920752,-0.390149,1.966149
0.675,0.773079,0.663847,0.668303,0.572130,0.218564,0.404242,0.960000,0.913736,-0.920752,0.390149,1.966992
0.692,0.779618,0.667771,0.668135,0.572058,0.229508,0.397750,0.960000,0.924580,0.920752,-0.390149,1.967792
0.708,0.785767,0.671460,0.667967,0.571986,0.217880,0.404648,0.960000,0.936444,-0.920752,0.390149,1.968553
0.725,0.792294,0.675376,0.667799,0.571914,0.229508,0.397750,0.960000,0.944000,0.920752,-0.390149,1.969244
0.742,0.798814,0.679289,0.667631,0.571842,0.218564,0.404242,0.960000,0.944000,-0.920752,0.390149,1.969904
0.759,0.804945,0.682967,0.667463,0.571770,0.230192,0.397344,0.960000,0.944000,0.920752,-0.390149,1.970503
0.776,0.811452,0.686871,0.667296,0.571698,0.218564,0.404242,0.960000,0.944000,-0.920752,0.390149,1.971092
0.792,0.817952,0.690771,0.667129,0.571626,0.229508,0.397750,0.960000,0.944000,0.920752,-0.390149,1.971619
0.809,0.824065,0.694439,0.666961,0.571555,0.217880,0.404648,0.960000,0.944000,-0.920752,0.390149,1.972140
