t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.009,0.500000,0.500000,0.675000,0.575000,0.053607,0.502208,0.964401,0.501577,0.991160,0.132675
0.021,0.504978,0.503840,0.674825,0.574925,0.062752,0.504649,0.968889,0.502908,0.989175,0.146740
0.036,0.509951,0.507676,0.674650,0.574850,0.072446,0.507489,0.968889,0.504069,0.987019,0.160601
0.054,0.515229,0.511748,0.674476,0.574775,0.081567,0.510204,0.968889,0.504974,0.986598,0.163171
0.070,0.520192,0.515576,0.674301,0.574700,0.091265,0.513007,0.968889,0.505730,0.987350,0.158555
0.087,0.525460,0.519640,0.674127,0.574626,0.100405,0.515497,0.968889,0.506281,0.988747,0.149594
0.102,0.530412,0.523461,0.673953,0.574551,0.109572,0.517654,0.968889,0.506607,0.991558,0.129660
0.120,0.535360,0.527278,0.673779,0.574477,0.119347,0.519385,0.968889,0.506631,0.995194,0.097925
0.135,0.540612,0.531330,0.673605,0.574402,0.128555,0.520857,0.968889,0.506375,0.996084,0.088417
0.151,0.545551,0.535139,0.673431,0.574328,0.137763,0.522328,0.968889,0.505837,0.996084,0.088417
0.167,0.550484,0.538945,0.673258,0.574253,0.146980,0.523602,0.968889,0.505033,0.997066,0.076551
0.185,0.555412,0.542746,0.673085,0.574179,0.157350,0.525035,0.968889,0.503718,0.997066,0.076551
0.203,0.560951,0.547019,0.672912,0.574105,0.167155,0.526088,0.968889,0.502021,0.998226,0.059543
0.221,0.566176,0.551050,0.672739,0.574031,0.177535,0.527225,0.968889,0.499720,0.998152,0.060765
0.236,0.571704,0.555315,0.672566,0.573957,0.187352,0.527850,0.968889,0.497090,0.999375,0.035357
0.253,0.576919,0.559338,0.672393,0.573883,0.197167,0.528497,0.968889,0.494010,0.999332,0.036558
0.270,0.582129,0.563357,0.672221,0.573809,0.206405,0.529105,0.968889,0.490713,0.999332,0.036558
0.287,0.587028,0.567136,0.672049,0.573735,0.216221,0.529751,0.968889,0.486771,0.999332,0.036558
0.306,0.592228,0.571147,0.671877,0.573661,0.225733,0.525343,0.968889,0.482330,0.968421,-0.249321
0.321,0.597422,0.575154,0.671705,0.573588,0.215931,0.526466,0.968889,0.478236,-0.997981,0.063519
0.337,0.602612,0.579158,0.671533,0.573514,0.225733,0.525343,0.968889,0.473661,0.997981,-0.063519
0.354,0.607796,0.583157,0.671362,0.573441,0.216566,0.523196,0.968889,0.469614,-0.991636,-0.129067
0.371,0.612670,0.586917,0.671190,0.573367,0.226879,0.525612,0.968889,0.464575,0.991636,0.129067
0.390,0.618148,0.591143,0.671019,0.573294,0.216566,0.523196,0.968889,0.459872,-0.991636,-0.129067
0.407,0.623621,0.595365,0.670848,0.573221,0.226210,0.519838,0.968889,0.454870,0.981805,-0.189893
0.423,0.628784,0.599348,0.670677,0.573147,0.217133,0.522998,0.968889,0.450513,-0.981805,0.189893
0.440,0.633639,0.603093,0.670506,0.573074,0.226777,0.519641,0.968889,0.445289,0.981805,-0.189893
0.457,0.638792,0.607068,0.670336,0.573001,0.217133,0.522998,0.968889,0.440496,-0.981805,0.189893
0.474,0.643940,0.611039,0.670166,0.572928,0.226777,0.519641,0.968889,0.435061,0.981805,-0.189893
0.490,0.649083,0.615007,0.669995,0.572855,0.217770,0.523391,0.968889,0.430357,-0.974269,0.225389
0.508,0.653918,0.618737,0.669825,0.572782,0.227499,0.520958,0.968889,0.424701,0.990487,-0.137609
0.523,0.659051,0.622696,0.669656,0.572710,0.227499,0.520958,0.968889,0.419264,0.000000,0.000000
0.540,0.663876,0.626419,0.669486,0.572637,0.237316,0.520403,0.968889,0.412842,0.999507,-0.031401
0.556,0.668999,0.630370,0.669316,0.572564,0.246552,0.521124,0.968889,0.406277,0.999061,0.043318
0.572,0.673815,0.634086,0.669147,0.572492,0.256347,0.522451,0.968889,0.398745,0.997179,0.075066
0.589,0.678927,0.638029,0.668978,0.572419,0.265510,0.524654,0.968889,0.391066,0.991201,0.132364
0.606,0.683733,0.641737,0.668809,0.572347,0.275246,0.526994,0.968889,0.382397,0.991201,0.132364
0.623,0.688835,0.645673,0.668640,0.572274,0.265512,0.529363,0.968889,0.374309,-0.990984,0.133984
0.639,0.693932,0.649604,0.668472,0.572202,0.269293,0.544547,0.968889,0.367144,0.409006,0.912532
0.655,0.698724,0.653301,0.668303,0.572130,0.260154,0.542042,0.968889,0.359917,-0.988604,-0.150541
0.672,0.703511,0.656994,0.668135,0.572058,0.250514,0.545429,0.968889,0.352522,-0.981478,0.191573
0.690,0.708593,0.660914,0.667967,0.571986,0.240865,0.548742,0.968889,0.345568,-0.982283,0.187403
0.705,0.713669,0.664830,0.667799,0.571914,0.231185,0.551735,0.968889,0.339041,-0.985574,0.169242
0.723,0.718740,0.668742,0.667631,0.571842,0.221488,0.554547,0.968889,0.333009,-0.987270,0.159054
0.739,0.723806,0.672651,0.667463,0.571770,0.212379,0.557389,0.968889,0.327677,-0.985304,0.170810
0.755,0.728570,0.676325,0.667296,0.571698,0.202708,0.560475,0.968889,0.322425,-0.984652,0.174529
0.773,0.733626,0.680226,0.667129,0.571626,0.193043,0.563625,0.968889,0.317642,-0.983998,0.178180
0.790,0.738677,0.684122,0.666961,0.571555,0.183380,0.566804,0.968889,0.313705,-0.983704,0.179796
0.807,0.743723,0.688015,0.666794,0.571483,0.173741,0.570199,0.968889,0.310925,-0.981382,0.192068
0.823,0.748764,0.691903,0.666628,0.571412,0.164139,0.573918,0.968889,0.309535,-0.977628,0.210341
0.841,0.753799,0.695788,0.666461,0.571340,0.154617,0.578256,0.968889,0.309802,-0.969438,0.245336
0.858,0.758830,0.699669,0.666295,0.571269,0.145157,0.583017,0.968889,0.311974,-0.963064,0.269272
0.874,0.763856,0.703546,0.666128,0.571198,0.135698,0.587777,0.968889,0.316252,-0.963064,0.269272
0.892,0.768877,0.707419,0.665962,0.571127,0.126484,0.593905,0.968889,0.322696,-0.938025,0.346566
0.909,0.773893,0.711289,0.665796,0.571055,0.117271,0.600032,0.968889,0.331245,-0.938025,0.346566
0.926,0.778903,0.715154,0.665630,0.570984,0.125693,0.593174,0.968889,0.338430,0.911112,-0.412160
0.942,0.783615,0.718788,0.665465,0.570913,0.118377,0.603346,0.968889,0.347243,-0.791385,0.611318
0.957,0.788321,0.722419,0.665299,0.570843,0.125693,0.593174,0.968889,0.355570,0.791385,-0.611318
0.973,0.793023,0.726046,0.665134,0.570772,0.118377,0.603346,0.968889,0.365568,-0.791385,0.611318
0.989,0.797720,0.729670,0.664969,0.570701,0.125693,0.593174,0.968889,0.375393,0.791385,-0.611318
1.005,0.802413,0.733290,0.664804,0.570630,0.118377,0.603346,0.968889,0.386761,-0.791385,0.611318
1.022,0.807100,0.736906,0.664639,0.570560,0.126608,0.591902,0.968889,0.401275,0.791385,-0.611318
1.039,0.812369,0.740970,0.664474,0.570489,0.119292,0.602074,0.968889,0.414829,-0.791385,0.611318
1.055,0.817047,0.744579,0.664310,0.570419,0.125445,0.588293,0.968889,0.431051,0.626441,-0.779469
1.074,0.822013,0.748410,0.664146,0.570348,0.117411,0.598464,0.968889,0.447504,-0.817950,0.575289
1.090,0.826974,0.752237,0.663981,0.570278,0.108255,0.596172,0.968889,0.463464,-0.990469,-0.137739
1.106,0.831638,0.755835,0.663817,0.570207,0.117377,0.598866,0.968889,0.479395,0.986813,0.161864
1.121,0.836298,0.759430,0.663654,0.570137,0.108173,0.597320,0.968585,0.495386,-0.995674,-0.092913
1.138,0.840953,0.763021,0.663490,0.570067,0.117142,0.593291,0.967934,0.511343,0.970250,-0.242105
1.154,0.845603,0.766608,0.663327,0.569997,0.107479,0.596463,0.966693,0.528196,-0.983779,0.179384
1.171,0.850539,0.770416,0.663163,0.569927,0.109573,0.579189,0.964486,0.544725,0.213211,-0.977006
1.187,0.855470,0.774220,0.663000,0.569857,0.105860,0.595557,0.962492,0.561342,-0.378098,0.925765
1.205,0.860397,0.778020,0.662837,0.569787,0.100140,0.581183,0.959781,0.577626,-0.582272,-0.812994
1.222,0.865318,0.781817,0.662674,0.569718,0.105189,0.595123,0.957388,0.593036,0.546068,0.837741
1.239,0.869945,0.785386,0.662512,0.569648,0.098140,0.582810,0.954342,0.609127,-0.717604,-0.696452
1.256,0.874857,0.789175,0.662349,0.569578,0.105251,0.595006,0.951388,0.625275,0.723945,0.689858
1.271,0.879763,0.792960,0.662187,0.569509,0.099228,0.582382,0.948241,0.640238,-0.651481,-0.758665
1.287,0.884377,0.796519,0.662024,0.569439,0.099228,0.582382,0.944993,0.655132,0.000000,0.000000
1.303,0.888985,0.800074,0.661862,0.569370,0.099228,0.582382,0.941659,0.669964,0.000000,0.000000
1.319,0.893589,0.803626,0.661701,0.569300,0.090081,0.579972,0.938219,0.684716,-0.989450,-0.144872
