t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.007,0.500000,0.500000,0.675000,0.575000,0.069834,0.494107,0.953361,0.510381,0.949159,-0.314797,1.906265
0.025,0.507200,0.504320,0.674825,0.574925,0.082604,0.488555,0.960000,0.520351,0.955003,-0.296597,1.911747
0.039,0.514393,0.508636,0.674650,0.574850,0.094750,0.483713,0.960000,0.529598,0.961767,-0.273868,1.915535
0.056,0.521179,0.512708,0.674476,0.574775,0.106996,0.479392,0.960000,0.538700,0.969675,-0.244399,1.918700
0.073,0.527959,0.516775,0.674301,0.574700,0.119325,0.475568,0.960000,0.547659,0.976327,-0.216301,1.921572
0.089,0.534732,0.520839,0.674127,0.574626,0.130985,0.472341,0.960000,0.555979,0.981021,-0.193899,1.924205
0.106,0.541100,0.524660,0.673953,0.574551,0.143421,0.469262,0.960000,0.564673,0.984716,-0.174167,1.926724
0.123,0.547859,0.528715,0.673779,0.574477,0.155188,0.466919,0.960000,0.572743,0.990036,-0.140814,1.929115
0.140,0.554214,0.532529,0.673605,0.574402,0.167744,0.465028,0.960000,0.581164,0.994268,-0.106912,1.931448
0.156,0.560960,0.536576,0.673431,0.574328,0.180332,0.463599,0.960000,0.589444,0.996726,-0.080848,1.933718
0.173,0.567699,0.540619,0.673258,0.574253,0.192198,0.462657,0.960000,0.597114,0.998397,-0.056602,1.935912
0.190,0.574035,0.544421,0.673085,0.574179,0.204826,0.462887,0.960000,0.605003,0.999915,0.013001,1.938168
0.206,0.580761,0.548457,0.672912,0.574105,0.217438,0.463777,0.960000,0.612598,0.998732,0.050334,1.940479
0.223,0.587480,0.552488,0.672739,0.574031,0.230005,0.465529,0.960000,0.619895,0.995076,0.099115,1.942802
0.240,0.594192,0.556515,0.672566,0.573957,0.242531,0.467775,0.960000,0.626891,0.991898,0.127037,1.945108
0.257,0.600897,0.560538,0.672393,0.573883,0.255016,0.470437,0.960000,0.633582,0.988606,0.150524,1.947373
0.275,0.607596,0.564558,0.672221,0.573809,0.267464,0.473411,0.960000,0.639976,0.985748,0.168231,1.949575
0.293,0.614288,0.568573,0.672049,0.573735,0.279913,0.476385,0.960000,0.646078,0.985748,0.168231,1.951700
0.308,0.620974,0.572584,0.671877,0.573661,0.292361,0.479360,0.960000,0.651893,0.985748,0.168231,1.953740
0.324,0.627652,0.576591,0.671705,0.573588,0.304078,0.482159,0.960000,0.657122,0.985748,0.168231,1.955681
0.340,0.633932,0.580359,0.671533,0.573514,0.315794,0.484958,0.960000,0.662102,0.985748,0.168231,1.957523
0.356,0.640205,0.584123,0.671362,0.573441,0.327510,0.487758,0.960000,0.666774,0.985748,0.168231,1.959280
0.373,0.646472,0.587883,0.671190,0.573367,0.339227,0.490557,0.960000,0.671136,0.985748,0.168231,1.960945
