t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.071157,0.467138,0.968889,0.507688,0.825599,-0.564258
0.019,0.517422,0.513440,0.674825,0.574925,0.079926,0.457072,0.968889,0.510223,0.843156,-0.537668
0.035,0.523017,0.517756,0.674650,0.574850,0.088502,0.448454,0.968889,0.512494,0.873141,-0.487467
0.052,0.528295,0.521828,0.674476,0.574775,0.097381,0.440895,0.968889,0.514657,0.903995,-0.427542
0.070,0.533568,0.525895,0.674301,0.574700,0.106889,0.436459,0.968889,0.516707,0.968017,-0.250883
0.085,0.538836,0.529959,0.674127,0.574626,0.116117,0.437462,0.968889,0.518527,0.998182,0.060275
0.102,0.543789,0.533780,0.673953,0.574551,0.125373,0.443381,0.968889,0.520373,0.942300,0.334771
0.119,0.549046,0.537835,0.673779,0.574477,0.133764,0.452569,0.968889,0.522178,0.854359,0.519683
0.136,0.554298,0.541887,0.673605,0.574402,0.141562,0.463319,0.968889,0.524130,0.793909,0.608037
0.154,0.559545,0.545934,0.673431,0.574328,0.148792,0.475286,0.968889,0.526420,0.736096,0.676877
0.171,0.564786,0.549978,0.673258,0.574253,0.155909,0.487472,0.968889,0.529029,0.724536,0.689237
0.187,0.570022,0.554017,0.673085,0.574179,0.163024,0.499661,0.968889,0.531935,0.724344,0.689439
0.204,0.575253,0.558053,0.672912,0.574105,0.170257,0.511622,0.968889,0.535110,0.736466,0.676475
0.221,0.580479,0.562084,0.672739,0.574031,0.177894,0.522741,0.968889,0.538516,0.777472,0.628917
0.238,0.585700,0.566111,0.672566,0.573957,0.185979,0.532780,0.968889,0.542111,0.823160,0.567809
0.254,0.590915,0.570134,0.672393,0.573883,0.194372,0.539755,0.968889,0.545609,0.907899,0.419189
0.271,0.595819,0.573917,0.672221,0.573809,0.203928,0.543845,0.968889,0.549366,0.972875,0.231331
0.288,0.601023,0.577932,0.672049,0.573735,0.213723,0.545166,0.968889,0.553125,0.997203,0.074736
0.305,0.606223,0.581944,0.671877,0.573661,0.223533,0.544289,0.968889,0.556855,0.998768,-0.049615
0.324,0.611418,0.585951,0.671705,0.573588,0.233162,0.540803,0.968889,0.560523,0.980374,-0.197148
0.341,0.616607,0.589954,0.671533,0.573514,0.242554,0.532762,0.968889,0.564378,0.903043,-0.429550
0.359,0.622096,0.594188,0.671362,0.573441,0.250722,0.522943,0.968889,0.568111,0.831583,-0.555401
0.374,0.627275,0.598184,0.671190,0.573367,0.258058,0.512817,0.968889,0.571668,0.793539,-0.608520
0.390,0.632144,0.601940,0.671019,0.573294,0.265527,0.501337,0.968889,0.575397,0.760493,-0.649346
0.406,0.637313,0.605927,0.670848,0.573221,0.272261,0.489936,0.968889,0.578874,0.728429,-0.685122
