t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.018,0.500000,0.500000,0.675000,0.575000,0.054064,0.496424,0.946111,0.500000,0.979333,-0.202254
0.037,0.505289,0.504080,0.674825,0.574925,0.065380,0.492217,0.935013,0.500982,0.979333,-0.202254
0.053,0.511505,0.508875,0.674650,0.574850,0.075000,0.488641,0.925642,0.503095,0.979333,-0.202254
0.070,0.516783,0.512947,0.674476,0.574775,0.084053,0.485276,0.916949,0.506435,0.979333,-0.202254
0.086,0.521746,0.516776,0.674301,0.574700,0.093672,0.481700,0.908005,0.511892,0.979333,-0.202254
0.103,0.527014,0.520839,0.674127,0.574626,0.102726,0.478335,0.900453,0.520333,0.979333,-0.202254
0.119,0.531967,0.524660,0.673953,0.574551,0.111779,0.474969,0.898807,0.536056,0.979333,-0.202254
0.135,0.536915,0.528477,0.673779,0.574477,0.120832,0.471604,0.901231,0.520662,0.979333,-0.202254
0.152,0.541858,0.532290,0.673605,0.574402,0.130452,0.468028,0.899463,0.537362,0.979333,-0.202254
0.168,0.547105,0.536338,0.673431,0.574328,0.140071,0.464452,0.905944,0.524996,0.979333,-0.202254
0.186,0.552346,0.540381,0.673258,0.574253,0.149690,0.460876,0.900552,0.538953,0.979333,-0.202254
0.203,0.557582,0.544421,0.673085,0.574179,0.159309,0.457300,0.898864,0.555679,0.979333,-0.202254
0.220,0.562813,0.548456,0.672912,0.574105,0.168929,0.453724,0.901437,0.539322,0.979333,-0.202254
0.236,0.568039,0.552487,0.672739,0.574031,0.178548,0.450149,0.899616,0.556003,0.979333,-0.202254
0.253,0.573260,0.556515,0.672566,0.573957,0.187601,0.446783,0.906761,0.565521,0.979333,-0.202254
0.269,0.578168,0.560301,0.672393,0.573883,0.197220,0.443207,0.898082,0.558820,0.979333,-0.202254
0.287,0.583378,0.564320,0.672221,0.573809,0.206840,0.439631,0.903103,0.573218,0.979333,-0.202254
0.304,0.588583,0.568336,0.672049,0.573735,0.216459,0.436056,0.895992,0.562030,0.979333,-0.202254
0.320,0.593783,0.572347,0.671877,0.573661,0.225512,0.432690,0.901086,0.575142,0.979333,-0.202254
0.336,0.598672,0.576118,0.671705,0.573588,0.235132,0.429114,0.892636,0.582734,0.979333,-0.202254
0.353,0.603861,0.580121,0.671533,0.573514,0.244185,0.425749,0.901357,0.579640,0.979333,-0.202254
0.369,0.608740,0.583885,0.671362,0.573441,0.253804,0.422173,0.896647,0.594376,0.979333,-0.202254
0.387,0.613919,0.587880,0.671190,0.573367,0.263423,0.418597,0.903076,0.581922,0.979333,-0.202254
