t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.003,0.500000,0.500000,0.675000,0.575000,0.053284,0.507709,0.953178,0.516452,0.899924,0.436046
0.021,0.505289,0.504080,0.674825,0.574925,0.062104,0.515489,0.951134,0.533050,0.897976,0.440044
0.035,0.510572,0.508156,0.674650,0.574850,0.070880,0.523429,0.949445,0.549775,0.893501,0.449062
0.053,0.515851,0.512228,0.674476,0.574775,0.079548,0.531744,0.948123,0.566608,0.882493,0.470326
0.069,0.521124,0.516296,0.674301,0.574700,0.087535,0.540123,0.947209,0.582523,0.863962,0.503557
0.085,0.526082,0.520120,0.674127,0.574626,0.095253,0.551059,0.946512,0.599477,0.785734,0.618564
0.102,0.531344,0.524180,0.673953,0.574551,0.100690,0.565783,0.945835,0.616433,0.553604,0.832780
0.119,0.536601,0.528235,0.673779,0.574477,0.095482,0.579531,0.944792,0.632323,-0.563405,0.826181
0.135,0.541544,0.532049,0.673605,0.574402,0.086085,0.584676,0.943202,0.649080,-0.956717,0.291020
0.153,0.546791,0.536096,0.673431,0.574328,0.076459,0.588192,0.941214,0.665699,-0.980030,0.198850
0.171,0.552033,0.540139,0.673258,0.574253,0.066235,0.591625,0.938844,0.683187,-0.983041,0.183386
0.188,0.557577,0.544416,0.673085,0.574179,0.066235,0.591625,0.936737,0.698731,0.000000,0.000000
0.203,0.562500,0.548214,0.672912,0.574105,0.066235,0.591625,0.934630,0.714274,0.000000,0.000000
0.220,0.567419,0.552009,0.672739,0.574031,0.066235,0.591625,0.932390,0.730789,0.000000,0.000000
0.236,0.572639,0.556036,0.672566,0.573957,0.066235,0.591625,0.930150,0.747304,0.000000,0.000000
0.252,0.577855,0.560059,0.672393,0.573883,0.066235,0.591625,0.928040,0.762847,0.000000,0.000000
0.270,0.582758,0.563842,0.672221,0.573809,0.066235,0.591625,0.925791,0.779358,0.000000,0.000000
0.287,0.587963,0.567857,0.672049,0.573735,0.066235,0.591625,0.923535,0.795866,0.000000,0.000000
0.303,0.593163,0.571868,0.671877,0.573661,0.066235,0.591625,0.921406,0.811400,0.000000,0.000000
0.320,0.598052,0.575640,0.671705,0.573588,0.066235,0.591625,0.919136,0.827902,0.000000,0.000000
0.336,0.603241,0.579643,0.671533,0.573514,0.066235,0.591625,0.916978,0.843423,0.000000,0.000000
0.353,0.608120,0.583407,0.671362,0.573441,0.066235,0.591625,0.914654,0.859900,0.000000,0.000000
0.370,0.613299,0.587402,0.671190,0.573367,0.066235,0.591625,0.912298,0.876363,0.000000,0.000000
0.386,0.618473,0.591393,0.671019,0.573294,0.066235,0.591625,0.910050,0.891843,0.000000,0.000000
0.402,0.623337,0.595146,0.670848,0.573221,0.066235,0.591625,0.907774,0.907309,0.000000,0.000000
0.418,0.628197,0.598895,0.670677,0.573147,0.066235,0.591625,0.905326,0.923728,0.000000,0.000000
0.435,0.633355,0.602874,0.670506,0.573074,0.066235,0.591625,0.902840,0.940129,0.000000,0.000000
0.453,0.638508,0.606849,0.670336,0.573001,0.066235,0.591625,0.900310,0.944000,0.000000,0.000000
0.469,0.643656,0.610821,0.670166,0.572928,0.066235,0.591625,0.897898,0.944000,0.000000,0.000000
0.485,0.648497,0.614554,0.669995,0.572855,0.066235,0.591625,0.895460,0.944000,0.000000,0.000000
0.502,0.653332,0.618285,0.669825,0.572782,0.059324,0.604187,0.892759,0.944000,-0.703639,0.710557
0.518,0.658464,0.622244,0.669656,0.572710,0.053408,0.616974,0.890159,0.944000,-0.639911,0.768449
0.534,0.663290,0.625967,0.669486,0.572637,0.048070,0.630560,0.887518,0.944000,-0.577428,0.816441
0.550,0.668111,0.629686,0.669316,0.572564,0.045943,0.646753,0.884893,0.944000,-0.230084,0.973171
0.566,0.672927,0.633401,0.669147,0.572492,0.050478,0.662437,0.882191,0.944000,0.461651,0.887062
0.583,0.678039,0.637345,0.668978,0.572419,0.059645,0.660299,0.879741,0.944000,0.991717,-0.128441
0.600,0.682846,0.641052,0.668809,0.572347,0.069184,0.656082,0.877232,0.944000,0.971130,-0.238549
0.617,0.687948,0.644988,0.668640,0.572274,0.078476,0.650351,0.874812,0.944000,0.946010,-0.324139
0.633,0.693044,0.648920,0.668472,0.572202,0.087224,0.644974,0.872620,0.944000,0.946351,-0.323141
0.649,0.697836,0.652617,0.668303,0.572130,0.096498,0.639147,0.870402,0.944000,0.944123,-0.329594
0.666,0.702923,0.656540,0.668135,0.572058,0.105771,0.633319,0.868343,0.944000,0.944123,-0.329594
0.683,0.708004,0.660460,0.667967,0.571986,0.115045,0.627492,0.866527,0.944000,0.944123,-0.329594
0.700,0.713081,0.664376,0.667799,0.571914,0.123772,0.622008,0.865074,0.944000,0.944123,-0.329594
0.716,0.717853,0.668058,0.667631,0.571842,0.133046,0.616181,0.863904,0.944000,0.944123,-0.329594
0.734,0.722920,0.671967,0.667463,0.571770,0.133046,0.616181,0.862710,0.944000,0.000000,0.000000
0.751,0.727981,0.675871,0.667296,0.571698,0.133046,0.616181,0.861482,0.944000,0.000000,0.000000
0.767,0.733037,0.679771,0.667129,0.571626,0.133046,0.616181,0.860280,0.944000,0.000000,0.000000
0.783,0.737791,0.683439,0.666961,0.571555,0.133046,0.616181,0.859033,0.944000,0.000000,0.000000
0.800,0.742540,0.687102,0.666794,0.571483,0.133046,0.616181,0.857662,0.944000,0.000000,0.000000
0.816,0.747581,0.690991,0.666628,0.571412,0.135180,0.599990,0.856607,0.944000,0.230868,-0.972985
0.832,0.752320,0.694647,0.666461,0.571340,0.129380,0.614258,0.855029,0.944000,-0.590508,0.807032
0.849,0.757351,0.698528,0.666295,0.571269,0.126878,0.598239,0.853526,0.944000,-0.270646,-0.962679
0.866,0.762081,0.702177,0.666128,0.571198,0.118132,0.590191,0.851608,0.944000,-0.890387,-0.455205
0.882,0.767102,0.706050,0.665962,0.571127,0.127953,0.589830,0.850063,0.944000,0.999791,-0.020450
0.901,0.772118,0.709919,0.665796,0.571055,0.119298,0.581469,0.848181,0.944000,-0.881110,-0.472911
0.916,0.777129,0.713785,0.665630,0.570984,0.112638,0.568475,0.846112,0.944000,-0.678123,-0.734949
0.934,0.782134,0.717646,0.665465,0.570913,0.109631,0.550555,0.843940,0.944000,-0.289134,-0.957289
0.952,0.787429,0.721731,0.665299,0.570843,0.111727,0.566761,0.841873,0.944000,0.226781,0.973946
0.969,0.792131,0.725358,0.665134,0.570772,0.107624,0.550698,0.839628,0.944000,-0.417743,-0.908565
0.985,0.797122,0.729208,0.664969,0.570701,0.110720,0.568569,0.837137,0.944000,0.297691,0.954662
1.002,0.802401,0.733281,0.664804,0.570630,0.107796,0.551690,0.834780,0.944000,-0.297691,-0.954662
1.020,0.807381,0.737123,0.664639,0.570560,0.110720,0.568569,0.832326,0.944000,0.297691,0.954662
1.036,0.812357,0.740961,0.664474,0.570489,0.107968,0.552683,0.830008,0.944000,-0.297691,-0.954662
1.052,0.817036,0.744570,0.664310,0.570419,0.110892,0.569562,0.827456,0.944000,0.297691,0.954662
1.068,0.822001,0.748401,0.664146,0.570348,0.108140,0.553676,0.825044,0.944000,-0.297691,-0.954662
1.085,0.826670,0.752003,0.663981,0.570278,0.106762,0.570130,0.822439,0.944000,-0.149034,0.988832
1.101,0.831335,0.755601,0.663817,0.570207,0.106596,0.552453,0.819735,0.944000,-0.016953,-0.999856
1.118,0.836286,0.759420,0.663654,0.570137,0.100588,0.565101,0.816923,0.944000,-0.649821,0.760087
1.134,0.840941,0.763011,0.663490,0.570067,0.092568,0.573375,0.813924,0.944000,-0.867616,0.497234
1.150,0.845591,0.766599,0.663327,0.569997,0.092568,0.573375,0.810892,0.944000,0.000000,0.000000
1.166,0.850237,0.770183,0.663163,0.569927,0.082834,0.575745,0.807469,0.944000,-0.990970,0.134083
1.183,0.855168,0.773987,0.663000,0.569857,0.092652,0.576251,0.804181,0.944000,0.999590,0.028619
1.201,0.860094,0.777787,0.662837,0.569787,0.082832,0.575904,0.800691,0.944000,-0.999807,-0.019662
1.217,0.865016,0.781583,0.662674,0.569718,0.082832,0.575904,0.797168,0.944000,0.000000,0.000000
1.234,0.869932,0.785376,0.662512,0.569648,0.082832,0.575904,0.793613,0.944000,0.000000,0.000000
1.251,0.874843,0.789165,0.662349,0.569578,0.073015,0.576454,0.789881,0.944000,-0.999516,0.031107
1.268,0.879750,0.792950,0.662187,0.569509,0.082253,0.575854,0.786465,0.944000,0.999350,-0.036049
1.284,0.884363,0.796509,0.662024,0.569439,0.072861,0.570679,0.782655,0.944000,-0.956200,-0.292714
1.300,0.889260,0.800286,0.661862,0.569370,0.081701,0.575549,0.779168,0.944000,0.956200,0.292714
1.317,0.893864,0.803838,0.661701,0.569300,0.072309,0.570374,0.775263,0.944000,-0.956200,-0.292714
1.335,0.898751,0.807608,0.661539,0.569231,0.082570,0.573425,0.771266,0.944000,0.986634,0.162949
1.352,0.903920,0.811596,0.661377,0.569162,0.072879,0.570544,0.767282,0.944000,-0.986634,-0.162949
