t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.006,0.500000,0.500000,0.675000,0.575000,0.053584,0.493524,0.962134,0.512198,0.930511,-0.366265
0.019,0.505289,0.504080,0.674825,0.574925,0.062186,0.487430,0.968889,0.521538,0.930511,-0.366265
0.036,0.510262,0.507916,0.674650,0.574850,0.071326,0.480954,0.968889,0.529155,0.930511,-0.366265
0.053,0.515540,0.511988,0.674476,0.574775,0.080466,0.474479,0.968889,0.534462,0.930511,-0.366265
0.070,0.520813,0.516056,0.674301,0.574700,0.089605,0.468003,0.968889,0.538226,0.930511,-0.366265
0.087,0.526081,0.520119,0.674127,0.574626,0.098745,0.461528,0.968889,0.540930,0.930511,-0.366265
0.103,0.531343,0.524179,0.673953,0.574551,0.107347,0.455433,0.968889,0.542606,0.930511,-0.366265
0.119,0.536291,0.527996,0.673779,0.574477,0.115949,0.449338,0.968889,0.543609,0.930511,-0.366265
0.135,0.541234,0.531809,0.673605,0.574402,0.124551,0.443244,0.968889,0.544081,0.930511,-0.366265
0.152,0.546172,0.535619,0.673431,0.574328,0.133691,0.436768,0.968889,0.543827,0.930511,-0.366265
0.169,0.551414,0.539662,0.673258,0.574253,0.142830,0.430292,0.968889,0.542625,0.930511,-0.366265
0.186,0.556650,0.543702,0.673085,0.574179,0.151970,0.423817,0.968889,0.540704,0.930511,-0.366265
0.203,0.561881,0.547737,0.672912,0.574105,0.161110,0.417341,0.968889,0.538221,0.930511,-0.366265
0.220,0.567107,0.551768,0.672739,0.574031,0.170249,0.410866,0.968889,0.535222,0.930511,-0.366265
0.236,0.572327,0.555795,0.672566,0.573957,0.178852,0.404771,0.968889,0.531999,0.930511,-0.366265
0.253,0.577236,0.559582,0.672393,0.573883,0.187991,0.398296,0.968889,0.528157,0.930511,-0.366265
0.269,0.582446,0.563601,0.672221,0.573809,0.197131,0.391820,0.968889,0.523948,0.930511,-0.366265
0.287,0.587651,0.567616,0.672049,0.573735,0.206271,0.385344,0.968889,0.519409,0.930511,-0.366265
0.304,0.592851,0.571628,0.671877,0.573661,0.215410,0.378869,0.968889,0.514570,0.930511,-0.366265
