t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.001,0.500000,0.500000,0.675000,0.575000,0.468889,0.229939,0.968889,0.269068,0.969877,-0.243597
0.021,0.831644,0.755840,0.674825,0.574925,0.458493,0.239019,0.968889,0.265707,-0.899685,0.436539
0.037,0.837860,0.760635,0.674650,0.574850,0.449656,0.246737,0.968889,0.263231,-0.899685,0.436539
0.053,0.843139,0.764707,0.674476,0.574775,0.441339,0.254001,0.968889,0.261916,-0.899685,0.436539
0.070,0.848102,0.768536,0.674301,0.574700,0.433021,0.261265,0.968889,0.261564,-0.899685,0.436539
0.086,0.853060,0.772360,0.674127,0.574626,0.424185,0.268983,0.968889,0.262213,-0.899685,0.436539
0.103,0.858322,0.776420,0.673953,0.574551,0.415348,0.276701,0.968889,0.263830,-0.899685,0.436539
0.120,0.863579,0.780475,0.673779,0.574477,0.406511,0.284419,0.968889,0.266351,-0.899685,0.436539
0.137,0.868831,0.784527,0.673605,0.574402,0.397674,0.292137,0.968889,0.269707,-0.899685,0.436539
0.154,0.874078,0.788574,0.673431,0.574328,0.388837,0.299855,0.968889,0.273841,-0.899685,0.436539
0.171,0.879319,0.792618,0.673258,0.574253,0.380000,0.307573,0.968889,0.278720,-0.899685,0.436539
0.188,0.884556,0.796657,0.673085,0.574179,0.371163,0.315291,0.968889,0.284226,-0.899685,0.436539
0.205,0.889787,0.800693,0.672912,0.574105,0.362846,0.322555,0.968889,0.289940,-0.899685,0.436539
0.221,0.894705,0.804487,0.672739,0.574031,0.354009,0.330273,0.968889,0.296617,-0.899685,0.436539
0.238,0.899926,0.808514,0.672566,0.573957,0.345172,0.337991,0.968889,0.303934,-0.899685,0.436539
0.255,0.905141,0.812537,0.672393,0.573883,0.336335,0.345709,0.968889,0.311910,-0.899685,0.436539
0.271,0.910351,0.816557,0.672221,0.573809,0.328018,0.352973,0.968889,0.320026,-0.899685,0.436539
0.288,0.915250,0.820336,0.672049,0.573735,0.319181,0.360691,0.968889,0.329329,-0.899685,0.436539
0.306,0.920449,0.824347,0.671877,0.573661,0.310344,0.368409,0.968889,0.339331,-0.899685,0.436539
0.321,0.925644,0.828354,0.671705,0.573588,0.302027,0.375673,0.968889,0.349375,-0.899685,0.436539
0.338,0.930528,0.832122,0.671533,0.573514,0.293190,0.383391,0.968889,0.360731,-0.899685,0.436539
0.354,0.935712,0.836121,0.671362,0.573441,0.284873,0.390655,0.968889,0.372034,-0.899685,0.436539
0.371,0.940586,0.839881,0.671190,0.573367,0.276036,0.398373,0.968889,0.384700,-0.899685,0.436539
0.388,0.945760,0.843872,0.671019,0.573294,0.284873,0.390655,0.968889,0.397023,0.899685,-0.436539
0.405,0.950929,0.847859,0.670848,0.573221,0.276036,0.398373,0.968889,0.410004,-0.899685,0.436539
0.421,0.956092,0.851842,0.670677,0.573147,0.284353,0.391109,0.968889,0.421929,0.899685,-0.436539
0.438,0.960947,0.855588,0.670506,0.573074,0.276036,0.398373,0.968889,0.434427,-0.899685,0.436539
0.454,0.965797,0.859329,0.670336,0.573001,0.284353,0.391109,0.968889,0.446630,0.899685,-0.436539
0.469,0.970642,0.863067,0.670166,0.572928,0.276440,0.382506,0.968889,0.459318,-0.855988,-0.516996
0.486,0.975482,0.866801,0.669995,0.572855,0.284848,0.391647,0.968889,0.472544,0.855988,0.516996
0.503,0.980620,0.870764,0.669825,0.572782,0.278967,0.377487,0.968889,0.486142,-0.598793,-0.800904
0.521,0.985752,0.874723,0.669656,0.572710,0.286530,0.388767,0.968889,0.499518,0.769997,0.638048
0.536,0.990880,0.878679,0.330514,0.572637,0.279565,0.377825,0.964387,0.513313,-0.753382,-0.657583
0.553,0.986059,0.882398,0.330684,0.572564,0.286530,0.388767,0.960339,0.527558,0.753382,0.657583
0.570,0.981243,0.886113,0.330853,0.572492,0.280023,0.375523,0.956178,0.542819,-0.662456,-0.749101
0.586,0.976131,0.890056,0.331022,0.572419,0.280023,0.375523,0.952350,0.558360,0.000000,0.000000
0.604,0.971024,0.893996,0.331191,0.572347,0.279908,0.357845,0.948844,0.574145,-0.011669,-0.999932
0.620,0.965922,0.897932,0.331360,0.572274,0.280023,0.375523,0.945688,0.590169,0.011669,0.999932
0.637,0.960825,0.901864,0.331528,0.572202,0.279954,0.358884,0.943027,0.605434,-0.007444,-0.999972
0.654,0.956033,0.905560,0.331697,0.572130,0.280043,0.376563,0.940524,0.621827,0.009077,0.999959
0.669,0.950947,0.909484,0.331865,0.572058,0.280000,0.359923,0.938475,0.637396,-0.004693,-0.999989
0.687,0.946164,0.913173,0.332033,0.571986,0.280000,0.359923,0.936608,0.654060,0.000000,0.000000
0.703,0.941088,0.917089,0.332201,0.571914,0.280000,0.343283,0.935153,0.669844,0.000023,-1.000000
0.720,0.936315,0.920771,0.332369,0.571842,0.286245,0.329637,0.934149,0.686748,0.635835,-0.771825
0.738,0.931249,0.924680,0.332537,0.571770,0.287016,0.312012,0.933493,0.703707,0.078453,-0.996918
0.753,0.926188,0.928584,0.332704,0.571698,0.296838,0.311950,0.933557,0.720707,0.999994,-0.003519
0.772,0.921132,0.932484,0.332871,0.571626,0.287486,0.306548,0.933526,0.737707,-0.952178,-0.305542
0.788,0.916081,0.936381,0.333039,0.571555,0.296152,0.298227,0.934149,0.754670,0.882333,-0.470626
0.805,0.911035,0.940273,0.333206,0.571483,0.286880,0.304059,0.934657,0.771645,-0.944019,0.329890
0.821,0.905994,0.944162,0.333372,0.571412,0.294950,0.293981,0.935769,0.788527,0.821623,-0.570031
0.839,0.900958,0.948047,0.333539,0.571340,0.286880,0.304059,0.936797,0.805426,-0.821623,0.570031
0.855,0.895927,0.951928,0.333705,0.571269,0.294950,0.293981,0.938401,0.822179,0.821623,-0.570031
0.873,0.890901,0.955805,0.333872,0.571198,0.286880,0.304059,0.939907,0.838961,-0.821623,0.570031
0.889,0.885881,0.959678,0.334038,0.571127,0.294305,0.292486,0.941935,0.855565,0.755956,-0.654623
0.906,0.880865,0.963547,0.334204,0.571055,0.286880,0.304059,0.943878,0.872201,-0.755956,0.654623
0.923,0.875854,0.967413,0.334370,0.570984,0.293868,0.293167,0.946154,0.887668,0.755956,-0.654623
0.939,0.871143,0.971047,0.334535,0.570913,0.293868,0.293167,0.948752,0.904012,0.000000,0.000000
0.956,0.866142,0.974905,0.334701,0.570843,0.293868,0.293167,0.951577,0.920234,0.000000,0.000000
0.973,0.861146,0.976000,0.334866,0.429228,0.293868,0.293167,0.952694,0.937114,0.000000,0.000000
0.990,0.856156,0.972150,0.335031,0.429299,0.293868,0.293167,0.954100,0.944000,0.000000,0.000000
1.006,0.851170,0.968304,0.335196,0.429370,0.293868,0.293167,0.955691,0.944000,0.000000,0.000000
1.023,0.846482,0.964688,0.335361,0.429440,0.293868,0.293167,0.957642,0.944000,0.000000,0.000000
1.039,0.841506,0.960849,0.335526,0.429511,0.293868,0.293167,0.959731,0.944000,0.000000,0.000000
1.056,0.836828,0.957240,0.335690,0.429581,0.293868,0.293167,0.962198,0.944000,0.000000,0.000000
1.074,0.831862,0.953409,0.335854,0.429652,0.293868,0.293167,0.965062,0.944000,0.000000,0.000000
1.091,0.826610,0.949357,0.336019,0.429722,0.293868,0.293167,0.967821,0.944000,0.000000,0.000000
1.107,0.821945,0.945759,0.336183,0.429792,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.123,0.817286,0.942164,0.336346,0.429863,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.140,0.812340,0.938349,0.336510,0.429933,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.157,0.807689,0.934762,0.336673,0.430003,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.173,0.802753,0.930954,0.336837,0.430073,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.190,0.797822,0.927150,0.337000,0.430143,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.207,0.792896,0.923349,0.337163,0.430213,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.223,0.788264,0.919776,0.337326,0.430282,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
1.240,0.783348,0.915984,0.337488,0.430352,0.293868,0.293167,0.968889,0.944000,0.000000,0.000000
