t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.003,0.500000,0.500000,0.675000,0.575000,0.070732,0.492953,0.968889,0.502815,0.989090,-0.147311
0.017,0.514311,0.511040,0.674825,0.574925,0.079962,0.492008,0.968889,0.503788,0.998386,-0.056789
0.032,0.519284,0.514876,0.674650,0.574850,0.089197,0.492750,0.968889,0.504470,0.999004,0.044618
0.049,0.524252,0.518708,0.674476,0.574775,0.098870,0.495819,0.968889,0.504913,0.984822,0.173567
0.065,0.529525,0.522776,0.674301,0.574700,0.107638,0.501092,0.968889,0.505110,0.948459,0.316899
0.081,0.534483,0.526601,0.674127,0.574626,0.115621,0.509483,0.968889,0.505138,0.863545,0.504272
0.097,0.539436,0.530422,0.673953,0.574551,0.121649,0.522099,0.968889,0.505152,0.652028,0.758195
0.114,0.544384,0.534239,0.673779,0.574477,0.125574,0.538307,0.968889,0.505284,0.399575,0.916700
0.131,0.549636,0.538290,0.673605,0.574402,0.127609,0.555603,0.968889,0.505454,0.207253,0.978287
0.148,0.554882,0.542338,0.673431,0.574328,0.128030,0.572226,0.968889,0.505640,0.045542,0.998962
0.164,0.559815,0.546143,0.673258,0.574253,0.127753,0.588858,0.968889,0.505860,-0.030000,0.999550
0.179,0.564744,0.549945,0.673085,0.574179,0.127475,0.606531,0.968889,0.506068,-0.028266,0.999600
0.197,0.569975,0.553980,0.672912,0.574105,0.126842,0.624174,0.968889,0.506264,-0.064490,0.997918
0.214,0.575200,0.558012,0.672739,0.574031,0.126242,0.641821,0.968889,0.506577,-0.061093,0.998132
0.231,0.580421,0.562039,0.672566,0.573957,0.125741,0.659478,0.968889,0.507034,-0.051015,0.998698
0.247,0.585636,0.566062,0.672393,0.573883,0.125269,0.676096,0.968889,0.507598,-0.051015,0.998698
0.263,0.590540,0.569845,0.672221,0.573809,0.127504,0.659950,0.968889,0.508032,0.241778,-0.970332
0.279,0.595439,0.573624,0.672049,0.573735,0.134267,0.671294,0.968889,0.508384,0.731609,0.681724
0.296,0.600332,0.577399,0.671877,0.573661,0.137243,0.654445,0.968889,0.508600,0.302936,-0.953011
0.312,0.605527,0.581407,0.671705,0.573588,0.146485,0.654055,0.968889,0.508614,0.999725,-0.023450
0.329,0.610411,0.585174,0.671533,0.573514,0.155469,0.646908,0.968889,0.508412,0.914659,-0.404227
0.346,0.615595,0.589173,0.671362,0.573441,0.164264,0.639038,0.968889,0.508012,0.895473,-0.445116
0.363,0.620774,0.593169,0.671190,0.573367,0.173212,0.631747,0.968889,0.507428,0.910999,-0.412408
0.380,0.625948,0.597160,0.671019,0.573294,0.182158,0.624447,0.968889,0.506312,0.910795,-0.412859
0.397,0.631116,0.601147,0.670848,0.573221,0.191034,0.616873,0.968889,0.504625,0.903586,-0.428407
0.415,0.636280,0.605130,0.670677,0.573147,0.199839,0.609039,0.968889,0.502341,0.896479,-0.443086
0.430,0.641438,0.609109,0.670506,0.573074,0.208150,0.601753,0.968889,0.499642,0.899026,-0.437895
0.446,0.646288,0.612851,0.670336,0.573001,0.216417,0.594307,0.968889,0.496376,0.894306,-0.447456
0.463,0.651133,0.616588,0.670166,0.572928,0.225175,0.586301,0.968889,0.492258,0.891600,-0.452823
0.479,0.656276,0.620556,0.669995,0.572855,0.233327,0.578456,0.968889,0.487812,0.881877,-0.471480
0.495,0.661111,0.624286,0.669825,0.572782,0.241311,0.570066,0.968889,0.482790,0.863600,-0.504178
0.512,0.665942,0.628012,0.669656,0.572710,0.249432,0.560121,0.968889,0.476840,0.826801,-0.562494
0.528,0.671069,0.631968,0.669486,0.572637,0.256515,0.549430,0.968889,0.470607,0.766247,-0.642546
0.544,0.675890,0.635687,0.669316,0.572564,0.262798,0.537222,0.968889,0.463703,0.679564,-0.733617
0.560,0.680706,0.639402,0.669147,0.572492,0.268096,0.523586,0.968889,0.455808,0.573121,-0.819471
0.577,0.685518,0.643114,0.668978,0.572419,0.272470,0.507756,0.968889,0.445782,0.445337,-0.895363
0.593,0.690625,0.647053,0.668809,0.572347,0.275040,0.491772,0.968889,0.434798,0.278010,-0.960578
0.609,0.695426,0.650757,0.668640,0.572274,0.276507,0.475343,0.968889,0.422487,0.158680,-0.987330
0.626,0.700223,0.654458,0.668472,0.572202,0.277946,0.458906,0.968889,0.409765,0.155684,-0.987807
0.642,0.705015,0.658155,0.668303,0.572130,0.279256,0.441384,0.968889,0.396147,0.133389,-0.991064
0.659,0.710102,0.662078,0.668135,0.572058,0.280567,0.423862,0.968889,0.382417,0.133389,-0.991064
0.676,0.715183,0.665998,0.667967,0.571986,0.281877,0.406340,0.968889,0.368723,0.133389,-0.991064
0.693,0.720259,0.669914,0.667799,0.571914,0.283266,0.388838,0.968889,0.355988,0.141478,-0.989941
0.711,0.725331,0.673827,0.667631,0.571842,0.285152,0.371487,0.968889,0.344498,0.192023,-0.981391
0.726,0.730397,0.677735,0.667463,0.571770,0.281995,0.387126,0.968889,0.333435,-0.341563,0.939859
0.743,0.735160,0.681409,0.667296,0.571698,0.276169,0.401360,0.968889,0.321745,-0.593134,0.805104
0.760,0.740216,0.685310,0.667129,0.571626,0.266962,0.407518,0.968889,0.311292,-0.937376,0.348318
