t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.054113,0.509358,0.965852,0.504184,0.880755,0.473572
0.018,0.505911,0.504560,0.674825,0.574925,0.062759,0.517747,0.968889,0.507824,0.880246,0.474517
0.034,0.511195,0.508636,0.674650,0.574850,0.070883,0.525689,0.968889,0.511141,0.878753,0.477276
0.050,0.516163,0.512468,0.674476,0.574775,0.078992,0.533678,0.968889,0.514457,0.877219,0.480090
0.068,0.521125,0.516297,0.674301,0.574700,0.087572,0.542285,0.968889,0.518187,0.873481,0.486858
0.083,0.526393,0.520360,0.674127,0.574626,0.096052,0.551205,0.968889,0.522117,0.863419,0.504488
0.102,0.531656,0.524420,0.673953,0.574551,0.104492,0.560250,0.968889,0.526235,0.859216,0.511613
0.118,0.536913,0.528476,0.673779,0.574477,0.112877,0.569459,0.968889,0.530532,0.853656,0.520837
0.134,0.542165,0.532527,0.673605,0.574402,0.120732,0.578230,0.968889,0.534723,0.849787,0.527126
0.150,0.547103,0.536337,0.673431,0.574328,0.128525,0.587182,0.968889,0.539062,0.842939,0.538009
0.166,0.552036,0.540142,0.673258,0.574253,0.136792,0.596730,0.968889,0.543833,0.841657,0.540012
0.182,0.557272,0.544182,0.673085,0.574179,0.144572,0.605716,0.968889,0.548447,0.841657,0.540012
0.200,0.562196,0.547980,0.672912,0.574105,0.152839,0.615263,0.968889,0.553487,0.841657,0.540012
0.216,0.567421,0.552011,0.672739,0.574031,0.161106,0.624810,0.968889,0.558651,0.841657,0.540012
0.233,0.572642,0.556038,0.672566,0.573957,0.168887,0.633796,0.968889,0.563612,0.841657,0.540012
0.249,0.577551,0.559825,0.672393,0.573883,0.177154,0.643344,0.968889,0.568993,0.841657,0.540012
0.266,0.582761,0.563844,0.672221,0.573809,0.185421,0.652891,0.968889,0.574476,0.841657,0.540012
0.283,0.587965,0.567859,0.672049,0.573735,0.193202,0.661877,0.968889,0.579718,0.841657,0.540012
