t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.072164,0.498435,0.968889,0.502764,0.999509,-0.031343
0.020,0.514933,0.511520,0.674825,0.574925,0.083137,0.497816,0.968889,0.503804,0.999509,-0.031343
0.036,0.520839,0.516075,0.674650,0.574850,0.092376,0.497294,0.968889,0.504435,0.999509,-0.031343
0.053,0.525806,0.519908,0.674476,0.574775,0.102194,0.496740,0.968889,0.504777,0.999509,-0.031343
0.069,0.531079,0.523976,0.674301,0.574700,0.112011,0.496186,0.968889,0.504782,0.999509,-0.031343
0.086,0.536347,0.528039,0.674127,0.574626,0.121829,0.495632,0.968889,0.504445,0.999509,-0.031343
0.104,0.541610,0.532099,0.673953,0.574551,0.131646,0.495078,0.968889,0.503767,0.999509,-0.031343
0.120,0.546867,0.536154,0.673779,0.574477,0.140886,0.494556,0.968889,0.502828,0.999509,-0.031343
0.137,0.551810,0.539968,0.673605,0.574402,0.150703,0.494002,0.968889,0.501482,0.999509,-0.031343
0.153,0.557057,0.544015,0.673431,0.574328,0.160521,0.493448,0.968889,0.499793,0.999509,-0.031343
0.170,0.562298,0.548059,0.673258,0.574253,0.169761,0.492926,0.968889,0.497755,0.999509,-0.031343
0.186,0.567226,0.551860,0.673085,0.574179,0.179578,0.492372,0.968889,0.495086,0.999509,-0.031343
0.204,0.572457,0.555896,0.672912,0.574105,0.189395,0.491818,0.968889,0.491914,0.999509,-0.031343
0.221,0.577683,0.559927,0.672739,0.574031,0.199213,0.491264,0.968889,0.488240,0.999509,-0.031343
0.237,0.582904,0.563954,0.672566,0.573957,0.208453,0.490742,0.968889,0.484318,0.999509,-0.031343
0.254,0.587812,0.567741,0.672393,0.573883,0.218270,0.490188,0.968889,0.479578,0.999509,-0.031343
0.270,0.593022,0.571760,0.672221,0.573809,0.228087,0.489634,0.968889,0.474024,0.999509,-0.031343
0.288,0.598227,0.575775,0.672049,0.573735,0.237905,0.489080,0.968889,0.467638,0.999509,-0.031343
0.306,0.603427,0.579786,0.671877,0.573661,0.248300,0.488493,0.968889,0.460010,0.999509,-0.031343
0.323,0.608927,0.584029,0.671705,0.573588,0.258117,0.487939,0.968889,0.452149,0.999509,-0.031343
0.339,0.614116,0.588033,0.671533,0.573514,0.267935,0.487385,0.968889,0.443615,0.999509,-0.031343
0.357,0.619300,0.592032,0.671362,0.573441,0.277752,0.486831,0.968889,0.434461,0.999509,-0.031343
0.373,0.624479,0.596027,0.671190,0.573367,0.287569,0.486277,0.968889,0.424818,0.999509,-0.031343
0.391,0.629653,0.600018,0.671019,0.573294,0.297387,0.485722,0.968889,0.414695,0.999509,-0.031343
0.408,0.634822,0.604005,0.670848,0.573221,0.307204,0.485168,0.968889,0.404104,0.999509,-0.031343
0.428,0.639985,0.607988,0.670677,0.573147,0.317599,0.484582,0.968889,0.392396,0.999509,-0.031343
0.442,0.645447,0.612202,0.670506,0.573074,0.326839,0.484060,0.968889,0.381602,0.999509,-0.031343
0.458,0.650297,0.615943,0.670336,0.573001,0.336656,0.483506,0.968889,0.369756,0.999509,-0.031343
0.476,0.655445,0.619914,0.670166,0.572928,0.346474,0.482952,0.968889,0.357682,0.999509,-0.031343
0.493,0.660587,0.623882,0.669995,0.572855,0.356291,0.482397,0.968889,0.345427,0.999509,-0.031343
0.509,0.665725,0.627845,0.669825,0.572782,0.365531,0.481876,0.968889,0.333732,0.999509,-0.031343
0.525,0.670556,0.631571,0.669656,0.572710,0.356291,0.482397,0.968889,0.321941,-0.999509,0.031343
0.542,0.675381,0.635294,0.669486,0.572637,0.366109,0.481843,0.968889,0.309255,0.999509,-0.031343
0.559,0.680504,0.639246,0.669316,0.572564,0.356291,0.482397,0.968889,0.296455,-0.999509,0.031343
0.575,0.685621,0.643193,0.669147,0.572492,0.365531,0.481876,0.968889,0.284258,0.999509,-0.031343
0.591,0.690432,0.646905,0.668978,0.572419,0.356291,0.482397,0.968889,0.271954,-0.999509,0.031343
0.608,0.695238,0.650613,0.668809,0.572347,0.366109,0.481843,0.968889,0.258737,0.999509,-0.031343
0.625,0.700340,0.654548,0.668640,0.572274,0.356869,0.482365,0.968889,0.246176,-0.999509,0.031343
0.640,0.705137,0.658249,0.668472,0.572202,0.366109,0.481843,0.968889,0.233489,0.999509,-0.031343
