t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.020,0.500000,0.500000,0.675000,0.575000,0.053576,0.493488,0.946111,0.500000,0.929701,-0.368316
0.035,0.505289,0.504080,0.674825,0.574925,0.062181,0.487407,0.937233,0.500786,0.930839,-0.365430
0.050,0.510262,0.507916,0.674650,0.574850,0.071332,0.480984,0.927842,0.502584,0.931676,-0.363291
0.067,0.515540,0.511988,0.674476,0.574775,0.079953,0.474976,0.919105,0.505535,0.932523,-0.361110
0.083,0.520503,0.515817,0.674301,0.574700,0.088577,0.468981,0.910589,0.510118,0.932850,-0.360266
0.100,0.525461,0.519641,0.674127,0.574626,0.097739,0.462611,0.902140,0.517716,0.932850,-0.360266
0.115,0.530723,0.523701,0.673953,0.574551,0.106368,0.456640,0.897329,0.531170,0.933396,-0.358848
0.132,0.535671,0.527518,0.673779,0.574477,0.115536,0.450296,0.904850,0.520887,0.933396,-0.358848
0.150,0.540923,0.531569,0.673605,0.574402,0.124704,0.443951,0.898873,0.534051,0.933396,-0.358848
0.166,0.546170,0.535617,0.673431,0.574328,0.133872,0.437607,0.906348,0.544442,0.933396,-0.358848
0.184,0.551411,0.539660,0.673258,0.574253,0.143040,0.431262,0.897636,0.537880,0.933396,-0.358848
0.200,0.556648,0.543700,0.673085,0.574179,0.151669,0.425291,0.902882,0.550795,0.933396,-0.358848
0.216,0.561571,0.547498,0.672912,0.574105,0.160837,0.418947,0.894912,0.541676,0.933396,-0.358848
0.233,0.566797,0.551529,0.672739,0.574031,0.169473,0.413008,0.900964,0.553395,0.934143,-0.356899
0.249,0.571710,0.555319,0.672566,0.573957,0.178654,0.406726,0.894640,0.566022,0.934757,-0.355288
0.266,0.576926,0.559343,0.672393,0.573883,0.187851,0.400521,0.902405,0.556345,0.936386,-0.350973
0.283,0.582136,0.563362,0.672221,0.573809,0.197065,0.394394,0.897446,0.570813,0.938034,-0.346544
0.299,0.587341,0.567377,0.672049,0.573735,0.205742,0.388656,0.904566,0.561235,0.938668,-0.344821
0.317,0.592234,0.571152,0.671877,0.573661,0.214969,0.382591,0.898540,0.574324,0.939311,-0.343067
0.333,0.597429,0.575159,0.671705,0.573588,0.224199,0.376546,0.907541,0.579473,0.939726,-0.341929
0.350,0.602618,0.579163,0.671533,0.573514,0.233435,0.370533,0.898099,0.579084,0.940389,-0.340100
0.367,0.607802,0.583162,0.671362,0.573441,0.242135,0.364905,0.903813,0.591339,0.941063,-0.338233
0.383,0.612677,0.586922,0.671190,0.573367,0.250839,0.359297,0.896339,0.582681,0.941501,-0.337010
0.399,0.617546,0.590678,0.671019,0.573294,0.260086,0.353338,0.902345,0.595800,0.941501,-0.337010
0.416,0.622715,0.594665,0.670848,0.573221,0.268790,0.347730,0.893761,0.591646,0.941501,-0.337010
0.432,0.627574,0.598414,0.670677,0.573147,0.278038,0.341772,0.901850,0.600421,0.941501,-0.337010
0.449,0.632732,0.602394,0.670506,0.573074,0.287285,0.335814,0.893724,0.609086,0.941501,-0.337010
0.467,0.637886,0.606369,0.670336,0.573001,0.296533,0.329855,0.902907,0.605110,0.941501,-0.337010
0.483,0.643033,0.610340,0.670166,0.572928,0.305781,0.323897,0.896227,0.617128,0.941501,-0.337010
0.500,0.648176,0.614307,0.669995,0.572855,0.315028,0.317939,0.904949,0.610607,0.941501,-0.337010
0.517,0.653314,0.618271,0.669825,0.572782,0.324276,0.311980,0.897789,0.621694,0.941501,-0.337010
0.535,0.658446,0.622230,0.669656,0.572710,0.333523,0.306022,0.907149,0.623964,0.941501,-0.337010
0.551,0.663574,0.626185,0.669486,0.572637,0.342771,0.300064,0.897842,0.626856,0.941501,-0.337010
0.568,0.668696,0.630137,0.669316,0.572564,0.352019,0.294105,0.905057,0.637827,0.941501,-0.337010
0.585,0.673813,0.634084,0.669147,0.572492,0.361266,0.288147,0.896322,0.631362,0.941501,-0.337010
0.602,0.678925,0.638028,0.668978,0.572419,0.369970,0.282539,0.902586,0.642714,0.941501,-0.337010
0.619,0.683732,0.641736,0.668809,0.572347,0.379218,0.276581,0.893344,0.639217,0.941501,-0.337010
0.636,0.688833,0.645671,0.668640,0.572274,0.388465,0.270623,0.901658,0.647279,0.941501,-0.337010
0.652,0.693930,0.649603,0.668472,0.572202,0.397169,0.265015,0.894644,0.657108,0.941501,-0.337010
0.668,0.698722,0.653300,0.668303,0.572130,0.405873,0.259407,0.902911,0.651230,0.941501,-0.337010
0.684,0.703509,0.656993,0.668135,0.572058,0.414576,0.253799,0.896931,0.663067,0.941501,-0.337010
0.701,0.708292,0.660682,0.667967,0.571986,0.423824,0.247841,0.905602,0.656329,0.941501,-0.337010
0.717,0.713368,0.664598,0.667799,0.571914,0.433071,0.241882,0.898299,0.667109,0.941501,-0.337010
0.735,0.718439,0.668510,0.667631,0.571842,0.442341,0.236036,0.906887,0.674186,0.943738,-0.330695
