t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.018,0.500000,0.500000,0.675000,0.575000,0.082384,0.501243,0.960000,0.505211,0.999382,0.035143,1.994070
0.036,0.513600,0.508160,0.674825,0.574925,0.103172,0.502266,0.960000,0.508417,0.999382,0.035143,1.995245
0.052,0.524789,0.514873,0.674650,0.574850,0.115792,0.502887,0.960000,0.510356,0.999382,0.035143,1.995525
0.068,0.531575,0.518945,0.674476,0.574775,0.128413,0.503509,0.960000,0.512314,0.999382,0.035143,1.995590
0.085,0.538355,0.523013,0.674301,0.574700,0.141034,0.504130,0.960000,0.514286,0.999382,0.035143,1.995567
0.102,0.545128,0.527077,0.674127,0.574626,0.152912,0.504715,0.960000,0.516162,0.999382,0.035143,1.995493
0.118,0.551496,0.530897,0.673953,0.574551,0.164724,0.506566,0.960000,0.518072,0.993794,0.111239,1.995380
0.136,0.557857,0.534714,0.673779,0.574477,0.177156,0.509676,0.960000,0.520150,0.984401,0.175940,1.995234
0.152,0.564610,0.538766,0.673605,0.574402,0.189420,0.513891,0.960000,0.522298,0.971166,0.238403,1.995049
0.169,0.571356,0.542813,0.673431,0.574328,0.200856,0.518429,0.960000,0.524393,0.962110,0.272663,1.994830
0.185,0.577698,0.546619,0.673258,0.574253,0.212089,0.523866,0.960000,0.526566,0.945098,0.326788,1.994582
0.201,0.584035,0.550421,0.673085,0.574179,0.223697,0.530830,0.960000,0.528968,0.919168,0.393866,1.994304
0.218,0.590760,0.554456,0.672912,0.574105,0.234388,0.538099,0.960000,0.531330,0.899527,0.436865,1.993993
0.242,0.597084,0.558250,0.672739,0.574031,0.245932,0.547546,0.960000,0.534108,0.863329,0.504642,1.993650
0.253,0.604191,0.562514,0.672566,0.573957,0.257306,0.557388,0.960000,0.537215,0.850630,0.525765,1.993188
0.270,0.611291,0.566774,0.672393,0.573883,0.267521,0.567785,0.960000,0.540317,0.808840,0.588029,1.992685
0.287,0.617989,0.570794,0.672221,0.573809,0.277350,0.578885,0.960000,0.543553,0.778363,0.627815,1.992159
0.303,0.624681,0.574809,0.672049,0.573735,0.286215,0.589969,0.960000,0.546806,0.745862,0.666100,1.991575
0.320,0.630973,0.578584,0.671877,0.573661,0.295463,0.602008,0.960000,0.550483,0.732321,0.680960,1.990936
0.337,0.637652,0.582591,0.671705,0.573588,0.304105,0.613433,0.960000,0.554050,0.727019,0.686618,1.990297
0.352,0.643932,0.586359,0.671533,0.573514,0.313172,0.625739,0.960000,0.557936,0.717997,0.696046,1.989664
0.369,0.650597,0.590358,0.671362,0.573441,0.321683,0.637354,0.960000,0.561679,0.716107,0.697991,1.989038
0.385,0.656864,0.594118,0.671190,0.573367,0.330677,0.649765,0.960000,0.565746,0.712178,0.701999,1.988418
0.402,0.663516,0.598109,0.671019,0.573294,0.339618,0.662251,0.960000,0.569903,0.707991,0.706222,1.987804
0.420,0.670161,0.602097,0.670848,0.573221,0.347979,0.674079,0.960000,0.573894,0.703410,0.710785,1.987197
0.438,0.676409,0.605846,0.670677,0.573147,0.356337,0.685909,0.960000,0.577960,0.703226,0.710967,1.986598
0.452,0.682651,0.609591,0.670506,0.573074,0.365284,0.698386,0.960000,0.582359,0.708513,0.705698,1.986007
0.470,0.689277,0.613566,0.670336,0.573001,0.374384,0.710645,0.960000,0.586830,0.720547,0.693406,1.985426
0.486,0.695895,0.617537,0.670166,0.572928,0.383697,0.722586,0.960000,0.591368,0.737465,0.675386,1.984857
0.503,0.702507,0.621504,0.669995,0.572855,0.393184,0.734255,0.960000,0.595966,0.751238,0.660032,1.984300
0.519,0.709113,0.625468,0.669825,0.572782,0.402286,0.744957,0.960000,0.600343,0.765772,0.643112,1.983759
0.536,0.715324,0.629194,0.669656,0.572710,0.412059,0.756154,0.960000,0.605040,0.773895,0.633314,1.983234
0.552,0.721916,0.633150,0.669486,0.572637,0.421349,0.766533,0.960000,0.609501,0.781623,0.623751,1.982726
0.569,0.728114,0.636869,0.669316,0.572564,0.431613,0.776834,0.960000,0.614271,0.812733,0.582636,1.982239
0.585,0.734694,0.640816,0.669147,0.572492,0.441094,0.786869,0.960000,0.618792,0.797691,0.603067,1.981769
0.601,0.740880,0.644528,0.668978,0.572419,0.452296,0.792431,0.960000,0.623299,0.942491,0.334232,1.981331
0.618,0.747059,0.648236,0.668809,0.572347,0.442312,0.781605,0.960000,0.628129,-0.790606,-0.612326,1.980905
0.635,0.753619,0.652171,0.668640,0.572274,0.432330,0.772572,0.960000,0.632734,-0.839836,-0.542840,1.980485
0.650,0.759786,0.655872,0.668472,0.572202,0.421865,0.762676,0.960000,0.637686,-0.828677,-0.559727,1.980073
0.667,0.766332,0.659799,0.668303,0.572130,0.411524,0.754473,0.960000,0.642421,-0.870048,-0.492967,1.979662
