t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.010,0.500000,0.500000,0.675000,0.575000,0.074849,0.486809,0.960000,0.499955,0.882789,-0.469770,1.999989
0.024,0.510800,0.506480,0.674825,0.574925,0.086653,0.478015,0.960000,0.499941,0.882789,-0.469770,1.999978
0.041,0.517993,0.510796,0.674650,0.574850,0.097146,0.470198,0.960000,0.499846,0.882789,-0.469770,1.999971
0.057,0.524380,0.514628,0.674476,0.574775,0.107638,0.462381,0.960000,0.499641,0.882789,-0.469770,1.999967
0.074,0.530761,0.518457,0.674301,0.574700,0.119443,0.453587,0.960000,0.499245,0.882789,-0.469770,1.999968
0.091,0.537932,0.522759,0.674127,0.574626,0.129935,0.445770,0.960000,0.498822,0.882789,-0.469770,1.999964
0.106,0.544300,0.526580,0.673953,0.574551,0.140428,0.437953,0.960000,0.498302,0.882789,-0.469770,1.999960
0.122,0.550662,0.530397,0.673779,0.574477,0.150920,0.430136,0.960000,0.497740,0.882789,-0.469770,1.999950
0.139,0.557017,0.534210,0.673605,0.574402,0.162069,0.421830,0.960000,0.497402,0.882789,-0.469770,1.999899
0.156,0.563763,0.538258,0.673431,0.574328,0.173217,0.413525,0.960000,0.497345,0.882789,-0.469770,1.999785
0.173,0.570502,0.542301,0.673258,0.574253,0.184365,0.405219,0.960000,0.497558,0.882789,-0.469770,1.999600
0.190,0.577234,0.546341,0.673085,0.574179,0.194858,0.397402,0.960000,0.498005,0.882789,-0.469770,1.999339
0.206,0.583564,0.550139,0.672912,0.574105,0.206006,0.389097,0.960000,0.498720,0.882789,-0.469770,1.999009
0.222,0.590283,0.554170,0.672739,0.574031,0.216499,0.381280,0.960000,0.499625,0.882789,-0.469770,1.998603
0.239,0.596600,0.557960,0.672566,0.573957,0.226991,0.373463,0.960000,0.500742,0.882789,-0.469770,1.998132
0.256,0.602911,0.561747,0.672393,0.573883,0.238140,0.365157,0.960000,0.502144,0.882789,-0.469770,1.997598
0.272,0.609610,0.565766,0.672221,0.573809,0.249288,0.356852,0.960000,0.503392,0.882789,-0.469770,1.997137
0.289,0.616302,0.569781,0.672049,0.573735,0.260437,0.348546,0.960000,0.504641,0.882789,-0.469770,1.996680
0.306,0.622987,0.573792,0.671877,0.573661,0.271585,0.340241,0.960000,0.505949,0.882789,-0.469770,1.996203
0.323,0.629666,0.577800,0.671705,0.573588,0.282733,0.331935,0.960000,0.507324,0.882789,-0.469770,1.995703
0.340,0.636338,0.581803,0.671533,0.573514,0.293226,0.324118,0.960000,0.508611,0.882789,-0.469770,1.995202
0.357,0.642611,0.585567,0.671362,0.573441,0.304374,0.315813,0.960000,0.509947,0.882789,-0.469770,1.994710
0.373,0.649270,0.589562,0.671190,0.573367,0.315523,0.307507,0.960000,0.511260,0.882789,-0.469770,1.994215
0.390,0.655922,0.593553,0.671019,0.573294,0.326015,0.299690,0.960000,0.512481,0.882789,-0.469770,1.993713
0.406,0.662176,0.597306,0.670848,0.573221,0.337164,0.291385,0.960000,0.513759,0.882789,-0.469770,1.993204
0.423,0.668815,0.601289,0.670677,0.573147,0.347656,0.283568,0.960000,0.514951,0.882789,-0.469770,1.992680
0.439,0.675057,0.605034,0.670506,0.573074,0.358149,0.275751,0.960000,0.516130,0.882789,-0.469770,1.992142
0.455,0.681292,0.608775,0.670336,0.573001,0.369297,0.267445,0.960000,0.517369,0.882789,-0.469770,1.991587
0.471,0.687911,0.612747,0.670166,0.572928,0.379790,0.259628,0.960000,0.518528,0.882789,-0.469770,1.991008
0.488,0.694134,0.616481,0.669995,0.572855,0.390938,0.251323,0.960000,0.519748,0.882789,-0.469770,1.990407
0.504,0.700740,0.620444,0.669825,0.572782,0.401431,0.243506,0.960000,0.520890,0.882789,-0.469770,1.989775
0.521,0.706951,0.624170,0.669656,0.572710,0.412579,0.235200,0.960000,0.522093,0.882789,-0.469770,1.989116
0.537,0.713543,0.628126,0.669486,0.572637,0.423209,0.227757,0.960000,0.523223,0.894392,-0.447284,1.988418
0.554,0.719741,0.631845,0.669316,0.572564,0.435004,0.221440,0.960000,0.524422,0.933994,-0.357288,1.987683
0.571,0.726321,0.635792,0.669147,0.572492,0.425483,0.233055,0.960000,0.525709,-0.753968,0.656911,1.986874
0.588,0.732893,0.639736,0.668978,0.572419,0.413966,0.240307,0.960000,0.527073,-0.912002,0.410186,1.985991
0.604,0.739459,0.643675,0.668809,0.572347,0.402894,0.246360,0.960000,0.528452,-0.931495,0.363753,1.985022
0.621,0.745633,0.647380,0.668640,0.572274,0.391787,0.252284,0.960000,0.529890,-0.934480,0.356017,1.983986
0.637,0.751800,0.651080,0.668472,0.572202,0.380102,0.258989,0.960000,0.531494,-0.925295,0.379249,1.982875
0.653,0.758346,0.655008,0.668303,0.572130,0.369197,0.265608,0.960000,0.533077,-0.917486,0.397769,1.981677
0.670,0.764502,0.658701,0.668135,0.572058,0.357607,0.272628,0.960000,0.534815,-0.917797,0.397051,1.980403
0.688,0.771035,0.662621,0.667967,0.571986,0.346255,0.280376,0.960000,0.536630,-0.898849,0.438258,1.979035
0.703,0.777561,0.666537,0.667799,0.571914,0.335741,0.288135,0.960000,0.538423,-0.884621,0.466311,1.977561
0.721,0.783698,0.670219,0.667631,0.571842,0.324656,0.296605,0.960000,0.540443,-0.877781,0.479061,1.975977
0.737,0.790212,0.674127,0.667463,0.571770,0.314362,0.304923,0.960000,0.542471,-0.866109,0.499855,1.974258
