t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.038485,0.457658,0.968889,0.506416,-0.245576,-0.969377
0.023,0.513067,0.510080,0.674825,0.574925,0.035505,0.436486,0.968889,0.512043,-0.245576,-0.969377
0.039,0.519593,0.515115,0.674650,0.574850,0.033093,0.419348,0.968889,0.520067,-0.245576,-0.969377
0.055,0.524872,0.519187,0.674476,0.574775,0.031111,0.403217,0.968889,0.531186,-0.245576,-0.969377
0.071,0.529835,0.523015,0.674301,0.574700,0.031111,0.387125,0.968889,0.545217,-0.254416,-0.967095
0.088,0.534793,0.526840,0.674127,0.574626,0.031111,0.371555,0.968889,0.560651,-0.352850,-0.935680
0.104,0.539745,0.530661,0.673953,0.574551,0.031111,0.356728,0.968889,0.577486,-0.544691,-0.838637
0.120,0.545003,0.534716,0.673779,0.574477,0.031111,0.349520,0.968889,0.593417,-0.901320,-0.433154
0.136,0.549946,0.538530,0.673605,0.574402,0.031111,0.350090,0.968889,0.609367,-0.999414,0.034237
0.154,0.554884,0.542339,0.673431,0.574328,0.031111,0.349970,0.968889,0.627329,-0.999979,-0.006436
0.171,0.560434,0.546620,0.673258,0.574253,0.031111,0.350008,0.968889,0.644306,-0.999998,0.002170
0.188,0.565670,0.550660,0.673085,0.574179,0.031111,0.349998,0.968889,0.661293,-1.000000,-0.000570
0.205,0.570901,0.554695,0.672912,0.574105,0.031111,0.350002,0.968889,0.678287,-1.000000,0.000210
0.222,0.576127,0.558726,0.672739,0.574031,0.031111,0.354286,0.968889,0.695283,-0.970188,0.242352
0.238,0.581347,0.562754,0.672566,0.573957,0.031111,0.360839,0.968889,0.711278,-0.919201,0.393788
0.255,0.586256,0.566540,0.672393,0.573883,0.031111,0.360839,0.968889,0.728277,0.000000,0.000000
0.272,0.591466,0.570559,0.672221,0.573809,0.040724,0.357210,0.968889,0.745267,0.978701,-0.205289
0.288,0.596671,0.574575,0.672049,0.573735,0.032505,0.364827,0.968889,0.761267,-0.889060,0.457791
0.304,0.601565,0.578350,0.671877,0.573661,0.041638,0.367401,0.968889,0.777258,0.987963,0.154693
0.321,0.606454,0.582121,0.671705,0.573588,0.032579,0.370712,0.968861,0.793258,-0.980006,0.198966
0.338,0.611338,0.585889,0.671533,0.573514,0.041815,0.370030,0.968889,0.809253,0.999160,-0.040986
0.353,0.616217,0.589653,0.671362,0.573441,0.047917,0.383885,0.968889,0.826220,0.621178,0.783670
0.369,0.621396,0.593648,0.671190,0.573367,0.042504,0.370395,0.968889,0.842218,-0.585473,-0.810692
0.385,0.626265,0.597404,0.671019,0.573294,0.048470,0.383107,0.968889,0.858201,0.645300,0.763929
0.402,0.631130,0.601157,0.670848,0.573221,0.048470,0.383107,0.968889,0.875188,0.000000,0.000000
0.419,0.636293,0.605140,0.670677,0.573147,0.051900,0.398559,0.968889,0.891148,0.371047,0.928614
0.435,0.641148,0.608885,0.670506,0.573074,0.051900,0.398559,0.968889,0.908116,0.000000,0.000000
0.451,0.646301,0.612861,0.670336,0.573001,0.053424,0.414972,0.968889,0.924028,0.164803,0.986327
0.469,0.651146,0.616598,0.670166,0.572928,0.053197,0.432647,0.968889,0.940746,-0.023097,0.999733
0.485,0.656289,0.620566,0.669995,0.572855,0.061115,0.441233,0.968889,0.944000,0.856595,0.515990
0.500,0.661124,0.624296,0.669825,0.572782,0.052107,0.444969,0.968889,0.944000,-0.974465,0.224538
0.519,0.665955,0.628022,0.669656,0.572710,0.057151,0.460140,0.968889,0.944000,0.513511,0.858083
0.535,0.671082,0.631978,0.669486,0.572637,0.048227,0.464487,0.968889,0.944000,-0.965276,0.261231
0.551,0.675903,0.635697,0.669316,0.572564,0.056651,0.473582,0.968889,0.944000,0.857561,0.514382
0.568,0.681020,0.639644,0.669147,0.572492,0.049897,0.486420,0.968889,0.944000,-0.687545,0.726142
0.584,0.686132,0.643588,0.668978,0.572419,0.057388,0.496172,0.968889,0.944000,0.810259,0.586072
0.600,0.690939,0.647296,0.668809,0.572347,0.047742,0.492834,0.968889,0.944000,-0.982018,-0.188786
0.617,0.696041,0.651231,0.668640,0.572274,0.053714,0.505536,0.968889,0.944000,0.645992,0.763344
0.632,0.700837,0.654932,0.668472,0.572202,0.044514,0.507175,0.968889,0.944000,-0.995137,0.098500
0.649,0.705629,0.658628,0.668303,0.572130,0.054070,0.511267,0.968889,0.944000,0.972851,0.231432
