t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy,ai_error_avg
0.009,0.500000,0.500000,0.675000,0.575000,0.069667,0.502269,0.952881,0.509595,0.991734,0.128311,1.910748
0.022,0.506800,0.504080,0.674825,0.574925,0.081455,0.504404,0.960000,0.517899,0.991734,0.128311,1.919549
0.039,0.513194,0.507916,0.674650,0.574850,0.093979,0.506672,0.960000,0.526224,0.991734,0.128311,1.925982
0.055,0.519980,0.511988,0.674476,0.574775,0.105766,0.508807,0.960000,0.533729,0.991734,0.128311,1.931023
0.071,0.526361,0.515817,0.674301,0.574700,0.118290,0.511076,0.960000,0.541345,0.991734,0.128311,1.935391
0.088,0.533134,0.519880,0.674127,0.574626,0.130078,0.513211,0.960000,0.548255,0.991734,0.128311,1.939155
0.104,0.539502,0.523701,0.673953,0.574551,0.142602,0.515479,0.960000,0.555303,0.991734,0.128311,1.942546
0.121,0.546261,0.527757,0.673779,0.574477,0.154389,0.517614,0.960000,0.561727,0.991734,0.128311,1.945561
0.138,0.552616,0.531570,0.673605,0.574402,0.166914,0.519883,0.960000,0.568307,0.991734,0.128311,1.948318
0.154,0.559362,0.535617,0.673431,0.574328,0.179438,0.522152,0.960000,0.574678,0.991734,0.128311,1.950835
0.171,0.566101,0.539661,0.673258,0.574253,0.191962,0.524420,0.960000,0.580857,0.991734,0.128311,1.953144
0.187,0.572833,0.543700,0.673085,0.574179,0.203749,0.526555,0.960000,0.586528,0.991734,0.128311,1.955252
0.204,0.579163,0.547498,0.672912,0.574105,0.216274,0.528824,0.960000,0.592378,0.991734,0.128311,1.957208
0.221,0.585882,0.551529,0.672739,0.574031,0.228798,0.531092,0.960000,0.598069,0.991734,0.128311,1.959025
0.238,0.592594,0.555557,0.672566,0.573957,0.241322,0.533361,0.960000,0.603555,0.991734,0.128311,1.960748
0.256,0.599300,0.559580,0.672393,0.573883,0.254582,0.535773,0.960000,0.609091,0.991666,0.128834,1.962406
0.274,0.606393,0.563836,0.672221,0.573809,0.267097,0.538135,0.960000,0.614114,0.991035,0.133604,1.963976
0.292,0.613085,0.567851,0.672049,0.573735,0.279603,0.540596,0.960000,0.618880,0.990262,0.139214,1.965480
0.307,0.619770,0.571862,0.671877,0.573661,0.292099,0.543150,0.960000,0.623363,0.989508,0.144475,1.966923
0.324,0.626449,0.575869,0.671705,0.573588,0.303860,0.545554,0.960000,0.627308,0.989508,0.144475,1.968304
0.340,0.632728,0.579637,0.671533,0.573514,0.316356,0.548109,0.960000,0.631091,0.989508,0.144475,1.969640
0.358,0.639393,0.583636,0.671362,0.573441,0.328852,0.550663,0.960000,0.634471,0.989508,0.144475,1.970917
0.374,0.646052,0.587631,0.671190,0.573367,0.340613,0.553067,0.960000,0.637276,0.989508,0.144475,1.972128
0.391,0.652313,0.591388,0.671019,0.573294,0.353109,0.555621,0.960000,0.639766,0.989508,0.144475,1.973272
0.406,0.658958,0.595375,0.670848,0.573221,0.364870,0.558025,0.960000,0.641694,0.989508,0.144475,1.974338
0.424,0.665206,0.599124,0.670677,0.573147,0.377366,0.560580,0.960000,0.643257,0.989508,0.144475,1.975324
0.441,0.671838,0.603103,0.670506,0.573074,0.389139,0.562870,0.960000,0.644321,0.990483,0.137634,1.976227
