t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.004,0.500000,0.500000,0.675000,0.575000,0.053874,0.492104,0.945695,0.497010,0.906699,-0.421779
0.018,0.505600,0.504320,0.674825,0.574925,0.062803,0.484738,0.936463,0.493423,0.909081,-0.416618
0.034,0.510884,0.508396,0.674650,0.574850,0.071241,0.477939,0.927920,0.488998,0.912709,-0.408609
0.050,0.515851,0.512228,0.674476,0.574775,0.079702,0.471235,0.919649,0.483137,0.915248,-0.402890
0.066,0.520814,0.516057,0.674301,0.574700,0.088165,0.464541,0.911906,0.475279,0.915520,-0.402273
0.082,0.525772,0.519881,0.674127,0.574626,0.097158,0.457429,0.904940,0.463800,0.915520,-0.402273
0.099,0.531035,0.523941,0.673953,0.574551,0.105621,0.450735,0.900836,0.449608,0.915520,-0.402273
0.116,0.535983,0.527758,0.673779,0.574477,0.115143,0.443205,0.900720,0.431609,0.915520,-0.402273
0.133,0.541544,0.532048,0.673605,0.574402,0.124135,0.436093,0.904310,0.415885,0.915520,-0.402273
0.151,0.546790,0.536095,0.673431,0.574328,0.133135,0.429010,0.910052,0.402388,0.916256,-0.400592
0.168,0.552032,0.540139,0.673258,0.574253,0.141590,0.422282,0.916520,0.391412,0.914612,-0.404334
0.183,0.556960,0.543941,0.673085,0.574179,0.150052,0.415584,0.923678,0.381925,0.915415,-0.402512
0.199,0.561883,0.547739,0.672912,0.574105,0.158509,0.408862,0.931513,0.374371,0.914758,-0.404003
0.216,0.566802,0.551533,0.672739,0.574031,0.167487,0.401691,0.940287,0.368078,0.914070,-0.405556
0.232,0.572022,0.555560,0.672566,0.573957,0.176474,0.394557,0.949337,0.363216,0.914974,-0.403513
0.249,0.577238,0.559583,0.672393,0.573883,0.185454,0.387393,0.958555,0.359517,0.914225,-0.405207
0.269,0.582448,0.563602,0.672221,0.573809,0.195490,0.379386,0.968889,0.356528,0.914225,-0.405207
0.286,0.588265,0.568090,0.672049,0.573735,0.203941,0.372644,0.968889,0.354727,0.914225,-0.405207
0.300,0.593159,0.571865,0.671877,0.573661,0.212393,0.365901,0.968889,0.353439,0.914225,-0.405207
0.317,0.598048,0.575637,0.671705,0.573588,0.221373,0.358737,0.968889,0.352432,0.914225,-0.405207
0.334,0.603237,0.579640,0.671533,0.573514,0.230352,0.351573,0.968889,0.351738,0.914225,-0.405207
0.351,0.608421,0.583639,0.671362,0.573441,0.239332,0.344409,0.968889,0.351311,0.914225,-0.405207
0.368,0.613600,0.587634,0.671190,0.573367,0.248312,0.337245,0.968889,0.351114,0.914225,-0.405207
0.385,0.618774,0.591625,0.671019,0.573294,0.257291,0.330081,0.968889,0.351118,0.914225,-0.405207
0.402,0.623942,0.595613,0.670848,0.573221,0.265743,0.323338,0.968889,0.351285,0.914225,-0.405207
0.418,0.628802,0.599362,0.670677,0.573147,0.274723,0.316174,0.968889,0.351532,0.914225,-0.405207
0.435,0.633960,0.603341,0.670506,0.573074,0.283741,0.309169,0.968889,0.351910,0.918157,-0.396217
0.453,0.639113,0.607316,0.670336,0.573001,0.292810,0.302381,0.968889,0.352414,0.923364,-0.383926
0.469,0.644261,0.611287,0.670166,0.572928,0.301382,0.296150,0.968889,0.353112,0.927240,-0.374467
0.486,0.649101,0.615021,0.669995,0.572855,0.310552,0.289812,0.968889,0.354234,0.933536,-0.358484
0.503,0.654239,0.618984,0.669825,0.572782,0.319780,0.283757,0.968889,0.355799,0.939528,-0.342472
0.520,0.659372,0.622944,0.669656,0.572710,0.329032,0.277819,0.968889,0.357763,0.941902,-0.335889
0.536,0.664499,0.626899,0.669486,0.572637,0.337762,0.272345,0.968889,0.359963,0.944357,-0.328921
0.553,0.669320,0.630618,0.669316,0.572564,0.346504,0.266934,0.968889,0.362519,0.945645,-0.325201
0.568,0.674136,0.634334,0.669147,0.572492,0.355792,0.261184,0.968889,0.365587,0.945645,-0.325201
0.585,0.679248,0.638277,0.668978,0.572419,0.364534,0.255773,0.968889,0.368774,0.945645,-0.325201
0.601,0.684055,0.641985,0.668809,0.572347,0.373276,0.250362,0.968889,0.372225,0.945645,-0.325201
0.617,0.688856,0.645689,0.668640,0.572274,0.382018,0.244950,0.968889,0.375917,0.945645,-0.325201
0.634,0.693653,0.649390,0.668472,0.572202,0.391928,0.239271,0.968889,0.380326,0.952873,-0.303369
0.651,0.699044,0.653548,0.668303,0.572130,0.400741,0.234247,0.968889,0.384456,0.953326,-0.301944
0.668,0.703831,0.657241,0.668135,0.572058,0.409958,0.235530,0.968889,0.388707,0.997022,0.077113
0.684,0.708614,0.660931,0.667967,0.571986,0.406236,0.251892,0.968889,0.393176,-0.378851,0.925458
0.700,0.713690,0.664847,0.667799,0.571914,0.398864,0.261931,0.968889,0.397395,-0.797520,0.603292
0.716,0.718463,0.668529,0.667631,0.571842,0.391774,0.274168,0.968889,0.401863,-0.721759,0.692144
0.733,0.723529,0.672437,0.667463,0.571770,0.385090,0.285662,0.968889,0.406068,-0.723087,0.690757
0.748,0.728293,0.676112,0.667296,0.571698,0.378463,0.297264,0.968889,0.410266,-0.716851,0.697227
0.765,0.733051,0.679783,0.667129,0.571626,0.372075,0.309293,0.968889,0.414453,-0.690983,0.722871
0.780,0.737805,0.683450,0.666961,0.571555,0.365852,0.321597,0.968889,0.418654,-0.673186,0.739474
0.797,0.742554,0.687113,0.666794,0.571483,0.359245,0.334680,0.968889,0.423417,-0.672635,0.739974
0.816,0.747595,0.691002,0.666628,0.571412,0.352326,0.348656,0.968889,0.428828,-0.665335,0.746545
0.832,0.752927,0.695115,0.666461,0.571340,0.346158,0.361050,0.968889,0.433989,-0.667197,0.744881
0.848,0.757662,0.698768,0.666295,0.571269,0.339659,0.374307,0.968889,0.439861,-0.661656,0.749807
0.866,0.762688,0.702645,0.666128,0.571198,0.333086,0.387445,0.968889,0.446173,-0.669172,0.743108
0.883,0.767709,0.706518,0.665962,0.571127,0.326171,0.401426,0.968889,0.453383,-0.664973,0.746868
0.900,0.773020,0.710615,0.665796,0.571055,0.319615,0.414592,0.968889,0.460738,-0.667441,0.744663
0.917,0.778030,0.714481,0.665630,0.570984,0.313402,0.426913,0.968889,0.468172,-0.672098,0.740462
0.933,0.782742,0.718115,0.665465,0.570913,0.306819,0.440035,0.968889,0.476637,-0.670214,0.742167
0.950,0.787742,0.721973,0.665299,0.570843,0.300416,0.453443,0.968889,0.485840,-0.651844,0.758353
