t,px,py,vx,vy,hx,hy,ax,ay,action_hx,action_hy
0.001,0.500000,0.500000,0.675000,0.575000,0.056870,0.488919,0.968831,0.502226,0.896058,-0.443937
0.017,0.507467,0.505760,0.674825,0.574925,0.065671,0.481071,0.968889,0.503653,0.896058,-0.443937
0.033,0.512750,0.509836,0.674650,0.574850,0.073955,0.473683,0.968889,0.504697,0.896058,-0.443937
0.049,0.517718,0.513668,0.674476,0.574775,0.082756,0.465835,0.968889,0.505226,0.896058,-0.443937
0.067,0.522991,0.517736,0.674301,0.574700,0.091039,0.458447,0.968889,0.505102,0.896058,-0.443937
0.083,0.527949,0.521561,0.674127,0.574626,0.099841,0.450599,0.968889,0.504224,0.896058,-0.443937
0.100,0.533212,0.525620,0.673953,0.574551,0.108642,0.442750,0.968889,0.502554,0.896058,-0.443937
0.116,0.538469,0.529676,0.673779,0.574477,0.116926,0.435363,0.968889,0.500236,0.896058,-0.443937
0.133,0.543412,0.533489,0.673605,0.574402,0.126245,0.427052,0.968889,0.496656,0.896058,-0.443937
0.152,0.548967,0.537775,0.673431,0.574328,0.135046,0.419203,0.968889,0.492352,0.896058,-0.443937
0.167,0.554209,0.541818,0.673258,0.574253,0.143847,0.411355,0.968889,0.487099,0.896058,-0.443937
0.185,0.559445,0.545857,0.673085,0.574179,0.152648,0.403506,0.968889,0.480936,0.896058,-0.443937
0.201,0.564676,0.549893,0.672912,0.574105,0.160932,0.396119,0.968889,0.474418,0.896058,-0.443937
0.219,0.569594,0.553687,0.672739,0.574031,0.169733,0.388270,0.968889,0.466722,0.896058,-0.443937
0.234,0.574815,0.557714,0.672566,0.573957,0.178535,0.380421,0.968889,0.458389,0.896058,-0.443937
0.252,0.580030,0.561738,0.672393,0.573883,0.186818,0.373034,0.968889,0.450214,0.896058,-0.443937
0.269,0.584934,0.565520,0.672221,0.573809,0.195619,0.365185,0.968889,0.441050,0.896058,-0.443937
0.285,0.590139,0.569536,0.672049,0.573735,0.203903,0.357798,0.968889,0.431850,0.896058,-0.443937
0.301,0.595032,0.573311,0.671877,0.573661,0.212704,0.349949,0.968889,0.421229,0.896058,-0.443937
0.317,0.600227,0.577318,0.671705,0.573588,0.221505,0.342100,0.968889,0.410199,0.896058,-0.443937
0.335,0.605416,0.581321,0.671533,0.573514,0.230307,0.334252,0.968889,0.399388,0.896058,-0.443937
0.352,0.610600,0.585320,0.671362,0.573441,0.238590,0.326864,0.968889,0.389428,0.896058,-0.443937
0.370,0.615475,0.589080,0.671190,0.573367,0.247909,0.318554,0.968889,0.378387,0.896058,-0.443937
0.386,0.620953,0.593306,0.671019,0.573294,0.256711,0.310705,0.968889,0.368174,0.896058,-0.443937
0.403,0.626121,0.597294,0.670848,0.573221,0.265512,0.302856,0.968889,0.358137,0.896058,-0.443937
0.420,0.631285,0.601277,0.670677,0.573147,0.273795,0.295469,0.968889,0.348861,0.896058,-0.443937
0.435,0.636140,0.605022,0.670506,0.573074,0.282079,0.288082,0.968889,0.339978,0.896058,-0.443937
0.451,0.640989,0.608763,0.670336,0.573001,0.290363,0.280695,0.968889,0.331670,0.896058,-0.443937
0.468,0.645835,0.612501,0.670166,0.572928,0.298646,0.273308,0.968889,0.323882,0.896058,-0.443937
0.483,0.650675,0.616235,0.669995,0.572855,0.307447,0.265459,0.968889,0.316108,0.896058,-0.443937
0.501,0.655813,0.620198,0.669825,0.572782,0.316249,0.257610,0.968889,0.308816,0.896058,-0.443937
0.517,0.660945,0.624158,0.669656,0.572710,0.324532,0.250223,0.968889,0.302364,0.896058,-0.443937
0.533,0.665771,0.627880,0.669486,0.572637,0.332816,0.242836,0.968889,0.296263,0.896058,-0.443937
0.550,0.670592,0.631599,0.669316,0.572564,0.342135,0.234525,0.968889,0.289750,0.896058,-0.443937
0.567,0.676010,0.635779,0.669147,0.572492,0.350418,0.227138,0.968889,0.284297,0.896058,-0.443937
0.584,0.680821,0.639491,0.668978,0.572419,0.359220,0.219290,0.968889,0.278766,0.896058,-0.443937
0.601,0.685928,0.643430,0.668809,0.572347,0.368021,0.211441,0.968889,0.273436,0.896058,-0.443937
0.618,0.691030,0.647366,0.668640,0.572274,0.376822,0.203592,0.968889,0.267993,0.896058,-0.443937
0.634,0.696126,0.651298,0.668472,0.572202,0.385623,0.195743,0.968889,0.262439,0.896058,-0.443937
0.651,0.701218,0.655225,0.668303,0.572130,0.393907,0.188356,0.968889,0.257201,0.896058,-0.443937
0.668,0.706005,0.658918,0.668135,0.572058,0.402900,0.181244,0.968889,0.251538,0.915532,-0.402246
0.686,0.711087,0.662838,0.667967,0.571986,0.412643,0.179010,0.968889,0.245489,0.991985,-0.126358
0.701,0.716163,0.666754,0.667799,0.571914,0.419321,0.191975,0.968889,0.238595,0.679927,0.733280
0.721,0.721234,0.670667,0.667631,0.571842,0.419402,0.209654,0.968889,0.231092,0.008251,0.999966
0.736,0.726301,0.674575,0.667463,0.571770,0.416175,0.226352,0.968889,0.223297,-0.328597,0.944470
0.755,0.731362,0.678479,0.667296,0.571698,0.412182,0.242505,0.968889,0.215268,-0.406567,0.913621
0.771,0.736418,0.682379,0.667129,0.571626,0.407383,0.257932,0.968889,0.206710,-0.488546,0.872538
0.789,0.741469,0.686276,0.666961,0.571555,0.402201,0.272951,0.968889,0.197639,-0.527593,0.849497
0.805,0.746515,0.690168,0.666794,0.571483,0.396587,0.287458,0.968889,0.188087,-0.571566,0.820556
0.820,0.751556,0.694057,0.666628,0.571412,0.391095,0.300844,0.968889,0.178693,-0.594015,0.804454
0.838,0.756295,0.697713,0.666461,0.571340,0.385097,0.314844,0.968889,0.168230,-0.610722,0.791845
0.855,0.761326,0.701594,0.666295,0.571269,0.378830,0.328458,0.968889,0.157297,-0.638003,0.770034
0.871,0.766352,0.705471,0.666128,0.571198,0.372394,0.341814,0.968889,0.146193,-0.655280,0.755386
0.888,0.771372,0.709345,0.665962,0.571127,0.365817,0.354945,0.968889,0.134926,-0.669610,0.742713
0.907,0.776388,0.713214,0.665796,0.571055,0.358493,0.368236,0.968889,0.122818,-0.704206,0.709995
0.924,0.781694,0.717307,0.665630,0.570984,0.351302,0.380279,0.968889,0.111289,-0.732122,0.681174
0.940,0.786699,0.721168,0.665465,0.570913,0.343306,0.390548,0.968889,0.099801,-0.814037,0.580813
0.957,0.791700,0.725026,0.665299,0.570843,0.335148,0.398373,0.968889,0.089226,-0.882508,0.470298
0.975,0.796402,0.728653,0.665134,0.570772,0.326127,0.402011,0.968889,0.079436,-0.975819,0.218579
0.990,0.801099,0.732276,0.664969,0.570701,0.316305,0.401853,0.968889,0.070646,-0.999960,-0.008935
1.005,0.806085,0.736123,0.664804,0.570630,0.307321,0.397936,0.968889,0.064594,-0.971909,-0.235356
1.022,0.810773,0.739739,0.664639,0.570560,0.298660,0.389597,0.968889,0.061203,-0.881774,-0.471672
1.039,0.815748,0.743577,0.664474,0.570489,0.290910,0.380524,0.968889,0.060561,-0.838253,-0.545281
1.054,0.820427,0.747186,0.664310,0.570419,0.283386,0.370858,0.968889,0.062078,-0.813984,-0.580887
1.071,0.825100,0.750792,0.664146,0.570348,0.275390,0.360588,0.968889,0.065621,-0.813984,-0.580887
1.087,0.830061,0.754619,0.663981,0.570278,0.267395,0.350318,0.968889,0.071519,-0.813984,-0.580887
1.105,0.835017,0.758442,0.663817,0.570207,0.258889,0.341479,0.968889,0.079398,-0.866071,-0.499922
1.122,0.839968,0.762261,0.663654,0.570137,0.249644,0.341596,0.968889,0.088032,-0.999975,0.007041
1.138,0.844623,0.765852,0.663490,0.570067,0.242329,0.351770,0.968889,0.097288,-0.791333,0.611385
1.154,0.849274,0.769440,0.663327,0.569997,0.235679,0.364782,0.968889,0.107701,-0.676977,0.736004
1.172,0.854210,0.773247,0.663163,0.569927,0.230379,0.378415,0.968889,0.118267,-0.573349,0.819311
1.187,0.858851,0.776828,0.663000,0.569857,0.225709,0.392776,0.968889,0.129995,-0.505176,0.863016
1.203,0.863487,0.780404,0.662837,0.569787,0.220888,0.408179,0.968889,0.143537,-0.490871,0.871233
1.220,0.868409,0.784201,0.662674,0.569718,0.216503,0.424001,0.968889,0.158098,-0.446352,0.894857
1.238,0.873325,0.787993,0.662512,0.569648,0.212391,0.440056,0.968889,0.173647,-0.418662,0.908142
1.254,0.878236,0.791782,0.662349,0.569578,0.208279,0.456112,0.968889,0.189915,-0.418662,0.908142
1.270,0.883143,0.795567,0.662187,0.569509,0.204196,0.472192,0.968889,0.206613,-0.415703,0.909500
1.288,0.888044,0.799349,0.662024,0.569439,0.199873,0.489218,0.968889,0.224567,-0.415703,0.909500
1.306,0.893229,0.803348,0.661862,0.569370,0.195938,0.505418,0.968369,0.241541,-0.400546,0.916277
1.323,0.898121,0.807122,0.661701,0.569300,0.192471,0.520843,0.966559,0.257206,-0.375095,0.926986
1.340,0.902721,0.810670,0.661539,0.569231,0.188805,0.537245,0.964222,0.273677,-0.373253,0.927729
1.355,0.907603,0.814436,0.661377,0.569162,0.185354,0.552683,0.961639,0.288986,-0.373253,0.927729
1.372,0.912193,0.817977,0.661216,0.569093,0.181760,0.569136,0.958481,0.305008,-0.365951,0.930634
